e	gp_n	xx	yy	xy	zz
0	0	6.928221128324177e-07	-2.227932091726220e-06	-1.762960267473839e-06	0.000000000000000e+00
0	1	-3.092934424762707e-06	-3.200139870522843e-06	-3.448637520559702e-06	0.000000000000000e+00
0	2	-3.028287001642125e-06	1.313345860923143e-07	-6.531083626366209e-06	0.000000000000000e+00
0	3	8.565672525999635e-07	3.453082218777224e-06	-6.848617301092340e-06	0.000000000000000e+00
0	4	-4.078579680841683e-07	6.241872574752710e-06	-1.290819956153252e-06	0.000000000000000e+00
0	5	-4.230586208849027e-06	6.904645715314658e-06	7.887657390766415e-07	0.000000000000000e+00
0	6	-3.426468557005751e-06	3.900933417136625e-06	2.718110711371566e-06	0.000000000000000e+00
0	7	1.628887673656756e-06	5.808751916194207e-07	2.501567095848016e-06	0.000000000000000e+00
0	8	4.641436617310834e-07	5.604682185980183e-06	3.990628136820370e-06	0.000000000000000e+00
0	9	-1.209550920862697e-06	6.820987897057286e-06	7.847098453293469e-07	0.000000000000000e+00
0	10	-1.458899496632396e-06	3.058837516017175e-06	1.272425944063697e-06	0.000000000000000e+00
0	11	-1.674301183110228e-07	1.275168212951294e-07	1.834215003818700e-06	0.000000000000000e+00
0	12	8.034584352928218e-07	-3.841868490606068e-06	6.563801001654847e-06	0.000000000000000e+00
0	13	1.287528656266741e-06	-3.412036346545576e-06	-1.522792576222030e-06	0.000000000000000e+00
0	14	-1.652717531858433e-07	-2.001605976276070e-06	-3.174016060283876e-06	0.000000000000000e+00
0	15	-2.876332569778542e-06	2.304773034433223e-06	-7.155531113924447e-07	0.000000000000000e+00
1	0	3.782980886261817e-06	4.668356378845673e-06	-5.437987096623515e-06	0.000000000000000e+00
1	1	1.903826354385341e-06	5.725151751096599e-06	6.879870466474217e-07	0.000000000000000e+00
1	2	-1.685887679813715e-05	6.947080930261666e-06	1.159820001884714e-05	0.000000000000000e+00
1	3	-4.374097756133501e-05	9.805111861447573e-06	1.851718052309959e-05	0.000000000000000e+00
1	4	5.346347273959102e-06	-9.586336651514601e-07	1.551598561839038e-06	0.000000000000000e+00
1	5	4.432191249350527e-06	-2.633013998532363e-06	-7.649705571058082e-08	0.000000000000000e+00
1	6	-1.426229080015555e-05	-1.166042316959447e-06	-1.133540097254252e-07	0.000000000000000e+00
1	7	-4.200481427765500e-05	3.883199648545597e-06	2.763423113759939e-06	0.000000000000000e+00
1	8	7.051610761890360e-07	-2.310840073187663e-07	1.162166287574409e-06	0.000000000000000e+00
1	9	-3.396661257658142e-06	2.113424425862542e-06	-2.085586125202268e-06	0.000000000000000e+00
1	10	-2.126246351862160e-05	9.934953967046374e-06	-5.309438960572312e-06	0.000000000000000e+00
1	11	-4.454704151855601e-05	1.850588679588294e-05	-2.471861977519064e-06	0.000000000000000e+00
1	12	-5.002311142021423e-06	6.511163325495878e-06	8.036350234056125e-07	0.000000000000000e+00
1	13	-1.232115504980129e-05	1.774738226987420e-05	1.063142416955007e-06	0.000000000000000e+00
