patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-2.799431403789360e-05	 9.337278879124630e-21
1	 9.997942209309062e-01	 2.028585204427908e-02	-2.798962808997876e-05	 2.095794624293936e-06
1	 9.991701818187483e-01	 4.073018247306789e-02	-2.797569372451909e-05	 4.208164890496661e-06
1	 9.981180433968323e-01	 6.132186759777695e-02	-2.795209426076257e-05	 6.335573591265953e-06
1	 9.966282799005903e-01	 8.204920293574097e-02	-2.791844101314674e-05	 8.476451560340599e-06
1	 9.946917154369740e-01	 1.028999088485992e-01	-2.787437349798515e-05	 1.062920493528415e-05
1	 9.922995607885995e-01	 1.238611386139841e-01	-2.781955956331761e-05	 1.279222228744901e-05
1	 9.894434504817674e-01	 1.449194890231616e-01	-2.775369544636045e-05	 1.496388155416635e-05
1	 9.861154799348201e-01	 1.660610135851266e-01	-2.767650576262136e-05	 1.714255671036027e-05
1	 9.823082424914590e-01	 1.872712384039294e-01	-2.758774343019490e-05	 1.932662411982647e-05
1	 9.780148661327976e-01	 2.085351807807159e-01	-2.748718953204062e-05	 2.151446851034885e-05
1	 9.732290496522831e-01	 2.298373705751832e-01	-2.737460835597950e-05	 2.370438278928036e-05
1	 9.679450980693772e-01	 2.511618743429501e-01	-2.724961065648791e-05	 2.589425073801236e-05
1	 9.621579570512621e-01	 2.724923222458603e-01	-2.711178401410223e-05	 2.808186024463989e-05
1	 9.558632461069742e-01	 2.938119377115879e-01	-2.696073718026491e-05	 3.026501296404303e-05
1	 9.490572903155012e-01	 3.151035697972945e-01	-2.679610021261957e-05	 3.244152913638703e-05
1	 9.417371503486140e-01	 3.363497281896808e-01	-2.661752458539692e-05	 3.460925192817775e-05
1	 9.339006505507231e-01	 3.575326207508009e-01	-2.642468326867797e-05	 3.676605128998884e-05
1	 9.255464048419428e-01	 3.786341934957203e-01	-2.621727076910148e-05	 3.890982733523535e-05
1	 9.166738402169075e-01	 3.996361728647543e-01	-2.599500312356596e-05	 4.103851325511307e-05
1	 9.072832176207859e-01	 4.205201101299123e-01	-2.575761783671936e-05	 4.315007779583309e-05
1	 8.973756499953728e-01	 4.412674277525846e-01	-2.550489113272335e-05	 4.524247375656921e-05
1	 8.869531173021131e-01	 4.618594674877455e-01	-2.523669040532914e-05	 4.731347739376964e-05
1	 8.760184783453765e-01	 4.822775400093309e-01	-2.495292257033310e-05	 4.936084817562548e-05
1	 8.645754792381196e-01	 5.025029758122590e-01	-2.465351617810218e-05	 5.138238394511219e-05
1	 8.526287583731883e-01	 5.225171771291306e-01	-2.433842065331829e-05	 5.337592281743386e-05
1	 8.401838477866392e-01	 5.423016705842215e-01	-2.400760541814697e-05	 5.533934503162286e-05
1	 8.272471708245099e-01	 5.618381602942648e-01	-2.366105889625589e-05	 5.727057483523998e-05
1	 8.138260360510750e-01	 5.811085811149189e-01	-2.329878739753552e-05	 5.916758248196729e-05
1	 7.999286273645809e-01	 6.000951517239724e-01	-2.292081388608555e-05	 6.102838642015212e-05
1	 7.855639903154131e-01	 6.187804272274013e-01	-2.252717663695364e-05	 6.285105574592351e-05
1	 7.707420146512741e-01	 6.371473509725164e-01	-2.211798712950380e-05	 6.463376976404168e-05
1	 7.554734131438946e-01	 6.551793052536952e-01	-2.169360699317393e-05	 6.637499193462539e-05
1	 7.397696967816780e-01	 6.728601606006588e-01	-2.125446874276308e-05	 6.807330349845625e-05
1	 7.236431464421306e-01	 6.901743233468870e-01	-2.080101393540865e-05	 6.972734997221133e-05
1	 7.071067811865475e-01	 7.071067811865477e-01	-2.033369045679810e-05	 7.133584473408464e-05
1	 6.901743233468870e-01	 7.236431464421306e-01	-1.985294979014445e-05	 7.289757308412396e-05
1	 6.728601606006588e-01	 7.397696967816780e-01	-1.935924429688019e-05	 7.441139676437598e-05
1	 6.551793052536952e-01	 7.554734131438944e-01	-1.885302453882312e-05	 7.587625890620418e-05
1	 6.371473509725165e-01	 7.707420146512741e-01	-1.833473667164829e-05	 7.729118935500573e-05
1	 6.187804272274013e-01	 7.855639903154132e-01	-1.780481993884193e-05	 7.865531030659578e-05
1	 6.000951517239723e-01	 7.999286273645809e-01	-1.726377992033291e-05	 7.996788847348479e-05
1	 5.811085811149190e-01	 8.138260360510750e-01	-1.671241209381576e-05	 8.122847931749787e-05
1	 5.618381602942650e-01	 8.272471708245098e-01	-1.615157044236339e-05	 8.243679269188942e-05
1	 5.423016705842216e-01	 8.401838477866392e-01	-1.558208855620501e-05	 8.359265165014149e-05
1	 5.225171771291308e-01	 8.526287583731881e-01	-1.500477681936940e-05	 8.469599752304640e-05
1	 5.025029758122596e-01	 8.645754792381194e-01	-1.442041986153846e-05	 8.574689472876123e-05
1	 4.822775400093313e-01	 8.760184783453757e-01	-1.382977428858502e-05	 8.674553521043573e-05
1	 4.618594674877461e-01	 8.869531173021130e-01	-1.323356670053357e-05	 8.769224240108667e-05
1	 4.412674277525853e-01	 8.973756499953723e-01	-1.263249200101749e-05	 8.858747462290199e-05
