要素番号	ガウス点番号	disp_x	disp_y
0	0	5.955915320275468e-08	-1.619869473757153e-07
0	1	-1.668993014341544e-07	-2.139567102935758e-07
0	2	-8.734089073750628e-07	-2.742260575271220e-08
0	3	-1.082363245250244e-06	1.636797257224325e-07
0	4	1.648464172005946e-08	2.449408827274457e-07
0	5	-3.882128019246032e-07	1.826762861917706e-07
0	6	-1.263160606492996e-06	3.305509396874781e-07
0	7	-1.450132923428823e-06	4.448586063394318e-07
0	8	3.218576838673826e-08	1.650072159160926e-06
0	9	-4.137637754077207e-08	1.805511936005558e-06
0	10	-3.447063065482273e-07	1.135182877371145e-06
0	11	-4.857827693135238e-07	4.535373614755858e-07
0	12	2.573936048914725e-08	1.884472546818332e-06
0	13	2.037019356912337e-07	2.179493506531762e-06
0	14	3.552519209099172e-07	1.265148203259753e-06
0	15	1.398502200498621e-07	6.119636792178620e-07
1	0	-8.856046780927557e-07	2.384794653000172e-07
1	1	-3.111916431875969e-07	3.126601241958508e-07
1	2	-1.498838863190060e-06	3.740931817297718e-07
1	3	-6.004667426857435e-06	4.803109735049838e-07
1	4	-1.157720469787718e-06	4.542405873301889e-07
1	5	-2.595981913315875e-07	4.166719219396823e-07
1	6	-9.123088377475004e-07	6.329131714040700e-07
1	7	-5.075956422010186e-06	1.339517418277672e-06
1	8	-4.570192028536389e-07	1.830159996749642e-07
1	9	-5.569808288326881e-07	6.938417381007734e-08
1	10	-2.786625189700174e-06	1.100550958999618e-06
1	11	-7.723981036850177e-06	3.156590750336175e-06
1	12	-1.761205832788168e-07	5.957704942343964e-07
1	13	-1.444716189017120e-06	1.458554817451846e-06
1	14	-5.427842520994100e-06	4.365107511913521e-06
1	15	-1.116497080449177e-05	7.975076550936960e-06
2	0	-1.030916974035161e-05	5.836846274252552e-07
2	1	-2.164317880265027e-05	8.649385448044859e-07
2	2	-3.911995413274511e-05	1.305936157150369e-06
2	3	-5.122947912298548e-05	1.612536854153996e-06
2	4	-9.268459827908636e-06	2.008292593040099e-06
2	5	-2.054232790159098e-05	3.755596969609842e-06
2	6	-3.814360888805201e-05	6.385009140731069e-06
2	7	-5.042067485380972e-05	8.111039154395342e-06
2	8	-1.198112707558969e-05	4.807279365907005e-06
2	9	-2.269625145282440e-05	8.750306095468038e-06
2	10	-3.882536751766258e-05	1.430050561170313e-05
2	11	-4.994154874469167e-05	1.773478777661852e-05
2	12	-1.543983247132877e-05	1.039108547507346e-05
2	13	-2.540074906520377e-05	1.555242201901535e-05
2	14	-3.970283232870745e-05	2.220849566980129e-05
2	15	-4.940998629815245e-05	2.607172643294021e-05
3	0	-5.622126261009100e-05	1.738278280841429e-06
3	1	-6.244117491917658e-05	1.890395822023706e-06
3	2	-6.630642045380544e-05	1.964054748911389e-06
3	3	-6.777022565886983e-05	1.961252321031579e-06
3	4	-5.550210254240158e-05	8.760880976625774e-06
3	5	-6.186879088086775e-05	9.412007605805972e-06
3	6	-6.587902697396902e-05	9.491905473055584e-06
3	7	-6.741499238244293e-05	9.278470807770018e-06
3	8	-5.455446870035271e-05	1.893508683500196e-05
3	9	-6.041522903195900e-05	1.991691643860412e-05
3	10	-6.430453922327099e-05	1.956522758587195e-05
3	11	-6.598298429518269e-05	1.882722263692079e-05
3	12	-5.346079395497283e-05	2.733827620522629e-05
3	13	-5.872604014692688e-05	2.818058122223065e-05
3	14	-6.249490892642225e-05	2.735990370485898e-05
3	15	-6.435902937272177e-05	2.625045461769954e-05
4	0	-6.854940116283381e-05	1.949767354266722e-06
4	1	-7.039889378350256e-05	1.921133409529352e-06
4	2	-7.332975546162849e-05	1.880623036827084e-06
4	3	-7.574062379698891e-05	1.856526691137515e-06
4	4	-6.821786432251584e-05	9.162444167354104e-06
4	5	-7.008897728383148e-05	9.012351041546757e-06
4	6	-7.302802318994369e-05	8.915340974117166e-06
4	7	-7.545215522457025e-05	8.883672583160903e-06
4	8	-6.689132816011203e-05	1.850377957207795e-05
4	9	-6.896501602661404e-05	1.818118847797490e-05
4	10	-7.215237410375889e-05	1.812351876580703e-05
4	11	-7.473342014617031e-05	1.817616121345579e-05
4	12	-6.539682001765864e-05	2.578734977178496e-05
4	13	-6.770830556966352e-05	2.534071460009386e-05
4	14	-7.117232520487659e-05	2.528776369423203e-05
4	15	-7.392030270815203e-05	2.537619181325822e-05
5	0	-7.701375015193618e-05	1.848957819330929e-06
5	1	-7.934027579934564e-05	1.844990113343968e-06
5	2	-8.233199544426586e-05	1.851058266946212e-06
5	3	-8.466433235310911e-05	1.856301382432457e-06
5	4	-7.674151894934429e-05	8.871945795824202e-06
5	5	-7.911607470644727e-05	8.851004767708069e-06
5	6	-8.218183799428145e-05	8.824712359226024e-06
5	7	-8.455870012604043e-05	8.804669754267700e-06
5	8	-7.608822968120112e-05	1.818387897463862e-05
5	9	-7.855111502588301e-05	1.812840316250498e-05
5	10	-8.168616015065924e-05	1.798023807283597e-05
