要素番号	頂点番号	disp_x	disp_y
0	0	0.000000000000000e+00	0.000000000000000e+00
0	1	-3.786407766990295e-05	0.000000000000000e+00
0	2	0.000000000000000e+00	8.834951456310678e-05
0	3	-3.786407766990293e-05	8.834951456310680e-05
1	0	-3.786407766990295e-05	0.000000000000000e+00
1	1	-7.572815533980588e-05	0.000000000000000e+00
1	2	-3.786407766990293e-05	8.834951456310680e-05
1	3	-7.572815533980581e-05	8.834951456310669e-05
2	0	0.000000000000000e+00	8.834951456310678e-05
2	1	-3.786407766990293e-05	8.834951456310680e-05
2	2	0.000000000000000e+00	1.766990291262136e-04
2	3	-3.786407766990286e-05	1.766990291262135e-04
3	0	-3.786407766990293e-05	8.834951456310680e-05
3	1	-7.572815533980581e-05	8.834951456310669e-05
3	2	-3.786407766990286e-05	1.766990291262135e-04
3	3	-7.572815533980573e-05	1.766990291262135e-04
