要素番号	ガウス点番号	x	y
0	0	1.388636884059474e-01	1.388636884059474e-01
0	1	6.600189564151437e-01	1.388636884059474e-01
0	2	1.339981043584856e+00	1.388636884059474e-01
0	3	1.861136311594053e+00	1.388636884059475e-01
0	4	1.388636884059474e-01	6.600189564151437e-01
0	5	6.600189564151437e-01	6.600189564151437e-01
0	6	1.339981043584856e+00	6.600189564151439e-01
0	7	1.861136311594052e+00	6.600189564151439e-01
0	8	1.388636884059474e-01	1.339981043584856e+00
0	9	6.600189564151439e-01	1.339981043584856e+00
0	10	1.339981043584856e+00	1.339981043584856e+00
0	11	1.861136311594052e+00	1.339981043584856e+00
0	12	1.388636884059474e-01	1.861136311594052e+00
0	13	6.600189564151437e-01	1.861136311594052e+00
0	14	1.339981043584856e+00	1.861136311594053e+00
0	15	1.861136311594052e+00	1.861136311594052e+00
1	0	2.138863688405948e+00	1.388636884059474e-01
1	1	2.660018956415144e+00	1.388636884059474e-01
1	2	3.339981043584857e+00	1.388636884059474e-01
1	3	3.861136311594053e+00	1.388636884059474e-01
1	4	2.138863688405948e+00	6.600189564151437e-01
1	5	2.660018956415144e+00	6.600189564151437e-01
1	6	3.339981043584857e+00	6.600189564151437e-01
1	7	3.861136311594053e+00	6.600189564151437e-01
1	8	2.138863688405948e+00	1.339981043584856e+00
1	9	2.660018956415144e+00	1.339981043584856e+00
1	10	3.339981043584856e+00	1.339981043584856e+00
1	11	3.861136311594052e+00	1.339981043584856e+00
1	12	2.138863688405947e+00	1.861136311594052e+00
1	13	2.660018956415144e+00	1.861136311594052e+00
1	14	3.339981043584856e+00	1.861136311594052e+00
1	15	3.861136311594052e+00	1.861136311594052e+00
2	0	1.388636884059474e-01	2.138863688405948e+00
2	1	6.600189564151437e-01	2.138863688405948e+00
2	2	1.339981043584856e+00	2.138863688405948e+00
2	3	1.861136311594053e+00	2.138863688405948e+00
2	4	1.388636884059474e-01	2.660018956415144e+00
2	5	6.600189564151437e-01	2.660018956415143e+00
2	6	1.339981043584856e+00	2.660018956415143e+00
2	7	1.861136311594052e+00	2.660018956415144e+00
2	8	1.388636884059475e-01	3.339981043584857e+00
2	9	6.600189564151437e-01	3.339981043584857e+00
2	10	1.339981043584856e+00	3.339981043584857e+00
2	11	1.861136311594053e+00	3.339981043584856e+00
2	12	1.388636884059474e-01	3.861136311594052e+00
2	13	6.600189564151437e-01	3.861136311594052e+00
2	14	1.339981043584856e+00	3.861136311594052e+00
2	15	1.861136311594052e+00	3.861136311594052e+00
3	0	2.138863688405948e+00	2.138863688405948e+00
3	1	2.660018956415144e+00	2.138863688405948e+00
3	2	3.339981043584857e+00	2.138863688405948e+00
3	3	3.861136311594052e+00	2.138863688405948e+00
3	4	2.138863688405948e+00	2.660018956415144e+00
3	5	2.660018956415144e+00	2.660018956415144e+00
3	6	3.339981043584856e+00	2.660018956415143e+00
3	7	3.861136311594053e+00	2.660018956415144e+00
3	8	2.138863688405948e+00	3.339981043584857e+00
3	9	2.660018956415143e+00	3.339981043584856e+00
3	10	3.339981043584857e+00	3.339981043584857e+00
3	11	3.861136311594052e+00	3.339981043584856e+00
3	12	2.138863688405947e+00	3.861136311594052e+00
3	13	2.660018956415144e+00	3.861136311594052e+00
3	14	3.339981043584856e+00	3.861136311594052e+00
3	15	3.861136311594052e+00	3.861136311594052e+00
