要素番号	頂点番号	x	y
0	0	0.000000000000000e+00	0.000000000000000e+00
0	1	2.000000000000000e+00	0.000000000000000e+00
0	2	0.000000000000000e+00	2.000000000000000e+00
0	3	2.000000000000000e+00	2.000000000000000e+00
1	0	2.000000000000000e+00	0.000000000000000e+00
1	1	4.000000000000000e+00	0.000000000000000e+00
1	2	2.000000000000000e+00	2.000000000000000e+00
1	3	4.000000000000000e+00	2.000000000000000e+00
2	0	0.000000000000000e+00	2.000000000000000e+00
2	1	2.000000000000000e+00	2.000000000000000e+00
2	2	0.000000000000000e+00	4.000000000000000e+00
2	3	2.000000000000000e+00	4.000000000000000e+00
3	0	2.000000000000000e+00	2.000000000000000e+00
3	1	4.000000000000000e+00	2.000000000000000e+00
3	2	2.000000000000000e+00	4.000000000000000e+00
3	3	4.000000000000000e+00	4.000000000000000e+00
