コントロールポイント番号	rf_x	rf_y
0	3.361531164873155e-15	-6.666666666666666e+00
1	-1.590873744691468e-16	-1.333333333333333e+01
2	-6.311491012699840e-16	-1.333333333333333e+01
3	-6.299610603004637e-16	-6.666666666666663e+00
4	4.419652465833296e-15	-2.814788203539928e-15
5	-3.736728705627202e-15	3.997813560068969e-16
6	-3.932157510834047e-15	4.935336396255744e-15
7	-9.206488026639156e-17	-2.504089697049960e-15
8	-6.724138164922558e-16	-3.470377921713612e-15
9	-8.053485458954691e-16	8.760363266988759e-16
10	2.021286928513003e-15	1.870394850636310e-15
11	1.011015298094444e-15	4.043276507638037e-15
12	-1.137751711125071e-15	6.666666666666667e+00
13	-3.218176148926221e-16	1.333333333333334e+01
14	2.202337060194759e-15	1.333333333333332e+01
15	-8.973425963360001e-16	6.666666666666661e+00
