要素番号	ガウス点番号	xx	yy	xy	zz
0	0	6.928221081381215e-07	-2.227932072281169e-06	-1.762960274440949e-06	0.000000000000000e+00
0	1	-3.092934437700120e-06	-3.200139869131087e-06	-3.448637529625105e-06	0.000000000000000e+00
0	2	-3.028287011189535e-06	1.313345494379087e-07	-6.531083615258766e-06	0.000000000000000e+00
0	3	8.565672564921909e-07	3.453082172464287e-06	-6.848617287825934e-06	0.000000000000000e+00
0	4	-4.078579728582403e-07	6.241872553324882e-06	-1.290819939932010e-06	0.000000000000000e+00
0	5	-4.230586210039354e-06	6.904645718139103e-06	7.887657359159868e-07	0.000000000000000e+00
0	6	-3.426468563651430e-06	3.900933430222643e-06	2.718110712051435e-06	0.000000000000000e+00
0	7	1.628887655064855e-06	5.808752027708128e-07	2.501567109872023e-06	0.000000000000000e+00
0	8	4.641436659536710e-07	5.604682151422978e-06	3.990628195240701e-06	0.000000000000000e+00
0	9	-1.209550913023585e-06	6.820987889818899e-06	7.847098725052343e-07	0.000000000000000e+00
0	10	-1.458899503690717e-06	3.058837546320554e-06	1.272425950944961e-06	0.000000000000000e+00
0	11	-1.674301518220756e-07	1.275168621556668e-07	1.834215007429466e-06	0.000000000000000e+00
0	12	8.034584336773034e-07	-3.841868504416354e-06	6.563801049798280e-06	0.000000000000000e+00
0	13	1.287528665538801e-06	-3.412036370641910e-06	-1.522792544136726e-06	0.000000000000000e+00
0	14	-1.652717557761325e-07	-2.001605969320702e-06	-3.174016043087149e-06	0.000000000000000e+00
0	15	-2.876332601440144e-06	2.304773063370432e-06	-7.155531102434921e-07	0.000000000000000e+00
1	0	3.782980900597804e-06	4.668356343432114e-06	-5.437987096775279e-06	0.000000000000000e+00
1	1	1.903826384470107e-06	5.725151763212650e-06	6.879869838515446e-07	0.000000000000000e+00
1	2	-1.685887675711989e-05	6.947081010546423e-06	1.159819983691374e-05	0.000000000000000e+00
1	3	-4.374097751930816e-05	9.805111956184973e-06	1.851718025598381e-05	0.000000000000000e+00
1	4	5.346347246990466e-06	-9.586336565153291e-07	1.551598581422330e-06	0.000000000000000e+00
1	5	4.432191216121669e-06	-2.633013995667164e-06	-7.649705700744500e-08	0.000000000000000e+00
1	6	-1.426229082026719e-05	-1.166042323385194e-06	-1.133540855783243e-07	0.000000000000000e+00
1	7	-4.200481427139911e-05	3.883199633864783e-06	2.763422962876716e-06	0.000000000000000e+00
1	8	7.051610246305440e-07	-2.310839731575845e-07	1.162166291966489e-06	0.000000000000000e+00
1	9	-3.396661325908683e-06	2.113424426453231e-06	-2.085586128529529e-06	0.000000000000000e+00
1	10	-2.126246356988765e-05	9.934953913605343e-06	-5.309438988425792e-06	0.000000000000000e+00
1	11	-4.454704152709455e-05	1.850588672121300e-05	-2.471862029308357e-06	0.000000000000000e+00
1	12	-5.002311194610965e-06	6.511163354734596e-06	8.036350123590242e-07	0.000000000000000e+00
1	13	-1.232115512250088e-05	1.774738227622917e-05	1.063142388822885e-06	0.000000000000000e+00
1	14	-2.882465214832304e-05	3.506473972982008e-05	5.937390206420371e-07	0.000000000000000e+00
1	15	-4.680393756579644e-05	4.684284409330087e-05	4.107746921561120e-06	0.000000000000000e+00
2	0	-6.150207278764509e-05	1.261952792392289e-05	2.055655117455841e-05	0.000000000000000e+00
2	1	-8.351683061739871e-05	2.022486274717331e-05	2.041750699263706e-05	0.000000000000000e+00
2	2	-8.638102021377683e-05	3.202451553242961e-05	1.505846759966326e-05	0.000000000000000e+00
2	3	-6.875676451611356e-05	4.007614323199742e-05	9.460101449878443e-06	0.000000000000000e+00
2	4	-6.050459908752165e-05	8.296680011187928e-06	5.554005482808135e-06	0.000000000000000e+00
2	5	-8.365810500124964e-05	1.923657059892696e-05	1.027567371651725e-05	0.000000000000000e+00
2	6	-8.736318553246519e-05	3.497791995932657e-05	1.355055060118906e-05	0.000000000000000e+00
2	7	-6.988917932519459e-05	4.478719529950677e-05	1.269104455101982e-05	0.000000000000000e+00
2	8	-5.953192188073209e-05	2.365772113045373e-05	2.008067887286663e-06	0.000000000000000e+00
2	9	-7.780034387306553e-05	3.368263866300107e-05	1.130846479676138e-05	0.000000000000000e+00
2	10	-7.928155504559805e-05	4.542587410876746e-05	1.999054083371496e-05	0.000000000000000e+00
2	11	-6.328367436774465e-05	5.157703687063019e-05	2.017861255419499e-05	0.000000000000000e+00
