要素番号	頂点番号	xx	yy	xy	zz
0	0	-1.893203883495147e-05	4.417475728155338e-05	0.000000000000000e+00	0.000000000000000e+00
0	1	-1.893203883495148e-05	4.417475728155340e-05	-1.524659305057741e-20	0.000000000000000e+00
0	2	-1.893203883495148e-05	4.417475728155341e-05	4.404571325722362e-20	0.000000000000000e+00
0	3	-1.893203883495146e-05	4.417475728155340e-05	8.470329472543003e-21	0.000000000000000e+00
1	0	-1.893203883495148e-05	4.417475728155340e-05	-1.524659305057741e-20	0.000000000000000e+00
1	1	-1.893203883495144e-05	4.417475728155332e-05	-1.355252715606881e-20	0.000000000000000e+00
1	2	-1.893203883495146e-05	4.417475728155340e-05	8.470329472543003e-21	0.000000000000000e+00
1	3	-1.893203883495143e-05	4.417475728155337e-05	3.388131789017201e-21	0.000000000000000e+00
2	0	-1.893203883495148e-05	4.417475728155341e-05	4.404571325722362e-20	0.000000000000000e+00
2	1	-1.893203883495146e-05	4.417475728155340e-05	8.470329472543003e-21	0.000000000000000e+00
2	2	-1.893203883495145e-05	4.417475728155340e-05	8.131516293641283e-20	0.000000000000000e+00
2	3	-1.893203883495141e-05	4.417475728155334e-05	-9.994988777600744e-20	0.000000000000000e+00
3	0	-1.893203883495146e-05	4.417475728155340e-05	8.470329472543003e-21	0.000000000000000e+00
3	1	-1.893203883495143e-05	4.417475728155337e-05	3.388131789017201e-21	0.000000000000000e+00
3	2	-1.893203883495141e-05	4.417475728155334e-05	-9.994988777600744e-20	0.000000000000000e+00
3	3	-1.893203883495146e-05	4.417475728155340e-05	5.421010862427522e-20	0.000000000000000e+00
