要素番号	頂点番号	xx	yy	xy	zz
0	0	3.125972108632519e-01	-7.660082126346173e-01	0.000000000000000e+00	-1.360233005314096e-01
0	1	1.091779028849214e+00	1.813336551437219e+00	-8.480697087192186e-01	8.715346740859297e-01
0	2	-8.878698287738288e-01	-2.073260330120856e+00	8.052725953444473e-01	-8.883390476684053e-01
0	3	-6.685267255803774e-01	1.080249719638239e+00	3.404204708636096e-02	1.235168982173586e-01
1	0	1.091779028849213e+00	1.813336551437217e+00	-8.480697087192183e-01	8.715346740859288e-01
1	1	-1.310940328662430e+01	-2.244794965936017e+00	2.053515107807886e+00	-4.606259475768095e+00
1	2	-6.685267255803765e-01	1.080249719638240e+00	3.404204708636116e-02	1.235168982173589e-01
1	3	-7.395372076142207e+00	1.026689349170596e+01	7.201559501892092e-01	8.614564246691259e-01
2	0	-1.310940328662429e+01	-2.244794965936015e+00	2.053515107807886e+00	-4.606259475768093e+00
2	1	-1.175308783797826e+01	4.118578779096861e+00	6.023241153005586e-01	-2.290352717664421e+00
2	2	-7.395372076142204e+00	1.026689349170596e+01	7.201559501892074e-01	8.614564246691266e-01
2	3	-6.373274906175348e+00	1.035627330700522e+01	1.832112575265045e+00	1.194899520248961e+00
3	0	-1.175308783797827e+01	4.118578779096851e+00	6.023241153005520e-01	-2.290352717664426e+00
3	1	3.066726039515479e+00	1.218983368262505e+01	-1.312321738364303e-01	4.576967916642158e+00
3	2	-6.373274906175357e+00	1.035627330700522e+01	1.832112575265046e+00	1.194899520248958e+00
3	3	2.166819176208871e+00	1.201288092745717e+01	4.404283238341393e-01	4.253910031099813e+00
4	0	3.066726039515479e+00	1.218983368262505e+01	-1.312321738364303e-01	4.576967916642158e+00
4	1	1.044144805814758e+00	1.068806757397151e+01	6.477094337468824e-02	3.519663713935881e+00
4	2	2.166819176208874e+00	1.201288092745718e+01	4.404283238341380e-01	4.253910031099815e+00
4	3	7.144982023529884e-01	1.098419756427265e+01	4.964025120641514e-01	3.509608729987692e+00
5	0	1.044144805814758e+00	1.068806757397151e+01	6.477094337468824e-02	3.519663713935881e+00
5	1	1.081137113664691e+00	1.076651937715427e+01	-4.669505945021676e-02	3.554296947245688e+00
5	2	7.144982023529884e-01	1.098419756427265e+01	4.964025120641514e-01	3.509608729987692e+00
5	3	8.721674179899361e-01	1.072938140583284e+01	2.626733578559853e-01	3.480464647146832e+00
6	0	1.081137113664689e+00	1.076651937715426e+01	-4.669505945020709e-02	3.554296947245686e+00
6	1	6.091261839408535e-01	1.041839300951616e+01	2.587882014809761e-02	3.308255758037103e+00
6	2	8.721674179899352e-01	1.072938140583283e+01	2.626733578559872e-01	3.480464647146831e+00
6	3	5.239020005779258e-01	1.051365326894782e+01	2.099202676824270e-01	3.311266580857724e+00
7	0	6.091261839408579e-01	1.041839300951616e+01	2.587882014809761e-02	3.308255758037105e+00
7	1	5.237308598135684e-01	1.038968143477250e+01	-1.560659244338092e-02	3.274023688375820e+00
7	2	5.239020005779276e-01	1.051365326894782e+01	2.099202676824270e-01	3.311266580857724e+00
7	3	4.469941549171157e-01	1.038682169507327e+01	1.364591683937856e-01	3.250144754997114e+00
8	0	5.237308598135684e-01	1.038968143477250e+01	-1.560659244338092e-02	3.274023688375820e+00
8	1	3.472065186506512e-01	1.026378495982343e+01	7.939620309942750e-03	3.183297443542224e+00
8	2	4.469941549171157e-01	1.038682169507327e+01	1.364591683937856e-01	3.250144754997114e+00
8	3	3.177019529707179e-01	1.029265149745783e+01	1.053381369419757e-01	3.183106035128565e+00
9	0	3.472065186506512e-01	1.026378495982343e+01	7.939620309942750e-03	3.183297443542224e+00
9	1	2.756103883730088e-01	1.020906150164438e+01	-4.425068950709747e-03	3.145401567005216e+00
9	2	3.177019529707179e-01	1.029265149745783e+01	1.053381369419757e-01	3.183106035128565e+00
9	3	2.448639587847801e-01	1.021444470996281e+01	7.830541157828985e-02	3.137792600624276e+00
10	0	2.756103883730088e-01	1.020906150164438e+01	-4.425068950709747e-03	3.145401567005216e+00
10	1	1.912062866589865e-01	1.013789377768957e+01	2.044546788846557e-03	3.098730019304568e+00
10	2	2.448639587847801e-01	1.021444470996281e+01	7.830541157828985e-02	3.137792600624276e+00
10	3	1.781893022499155e-01	1.014733936991999e+01	6.172552738790850e-02	3.097658601650971e+00
11	0	1.912062866589865e-01	1.013789377768957e+01	2.044546788846557e-03	3.098730019304568e+00
11	1	1.398710785501560e-01	1.007860560710044e+01	-1.106533326029007e-03	3.065543005695178e+00
11	2	1.781893022499155e-01	1.014733936991999e+01	6.172552738790850e-02	3.097658601650971e+00
11	3	1.276459411522621e-01	1.008358167641329e+01	4.933106900417814e-02	3.063368285269664e+00
12	0	1.398710785501471e-01	1.007860560710043e+01	-1.106533326032228e-03	3.065543005695174e+00
12	1	9.137634348127843e-02	1.001560606770172e+01	4.368939805134869e-04	3.032094723354900e+00
12	2	1.276459411522586e-01	1.008358167641328e+01	4.933106900417841e-02	3.063368285269661e+00
12	3	8.563071478618589e-02	1.001997154108244e+01	3.983690833967698e-02	3.031680676760587e+00
13	0	9.137634348127044e-02	1.001560606770172e+01	4.368939805220771e-04	3.032094723354896e+00
13	1	5.590432247997690e-02	9.948687879160220e+00	-2.608341061433283e-04	3.001377660492059e+00
13	2	8.563071478619211e-02	1.001997154108244e+01	3.983690833967684e-02	3.031680676760589e+00
13	3	5.174835118767529e-02	9.952842929984994e+00	3.184255279120668e-02	3.001377384351801e+00
14	0	5.590432247997690e-02	9.948687879160220e+00	-2.608341061433283e-04	3.001377660492059e+00
14	1	2.688403956323793e-02	9.873479993360270e+00	7.146161886008698e-05	2.970109209877052e+00
14	2	5.174835118767529e-02	9.952842929984994e+00	3.184255279120668e-02	3.001377384351801e+00
14	3	2.521434095642050e-02	9.877697768575317e+00	2.369473525649964e-02	2.970873632859521e+00
15	0	2.688403956323793e-02	9.873479993360270e+00	7.146161886008698e-05	2.970109209877052e+00
15	1	7.569096628619043e-03	9.783522562569109e+00	-8.550759760315157e-05	2.937327497759318e+00
15	2	2.521434095642050e-02	9.877697768575317e+00	2.369473525649964e-02	2.970873632859521e+00
15	3	7.077995388366176e-03	9.789443599138067e+00	1.389736272800112e-02	2.938956478357930e+00
16	0	7.569096628619043e-03	9.783522562569109e+00	-8.550759760315157e-05	2.937327497759318e+00
16	1	-7.995014023887137e-05	9.671234948156746e+00	-7.963277029141068e-06	2.901346499404952e+00
16	2	7.077995388366176e-03	9.789443599138067e+00	1.389736272800112e-02	2.938956478357930e+00
16	3	-1.142616190925594e-04	9.679939879120390e+00	6.088723162296862e-05	2.903947685250389e+00
17	0	-8.878698287738280e-01	-2.073260330120855e+00	8.052725953444468e-01	-8.883390476684047e-01
17	1	-6.685267255803766e-01	1.080249719638240e+00	3.404204708636137e-02	1.235168982173590e-01
17	2	1.151305846793747e+01	3.291334180972070e+01	-1.755243555627620e+00	1.332792008329745e+01
17	3	1.026122016714967e+01	3.264208572729306e+01	4.443450105269973e+00	1.287099176833282e+01
18	0	-6.685267255803757e-01	1.080249719638240e+00	3.404204708636133e-02	1.235168982173592e-01
18	1	-7.395372076142208e+00	1.026689349170595e+01	7.201559501892093e-01	8.614564246691225e-01
18	2	1.026122016714968e+01	3.264208572729308e+01	4.443450105269974e+00	1.287099176833283e+01
18	3	1.924919275190810e+00	2.348652612037013e+01	2.432589751421995e+00	7.623433618668282e+00
19	0	-7.395372076142208e+00	1.026689349170595e+01	7.201559501892087e-01	8.614564246691218e-01
19	1	-6.373274906175349e+00	1.035627330700521e+01	1.832112575265045e+00	1.194899520248959e+00
19	2	1.924919275190813e+00	2.348652612037014e+01	2.432589751421995e+00	7.623433618668285e+00
19	3	-1.272189154901693e+00	1.278324275877458e+01	-3.323440485556723e-01	3.453316081161866e+00
20	0	-6.373274906175366e+00	1.035627330700521e+01	1.832112575265047e+00	1.194899520248953e+00
20	1	2.166819176208872e+00	1.201288092745718e+01	4.404283238341416e-01	4.253910031099815e+00
20	2	-1.272189154901691e+00	1.278324275877458e+01	-3.323440485556747e-01	3.453316081161866e+00
20	3	2.776048874975583e-01	1.199411261931918e+01	5.338164436251831e-01	3.681515252045021e+00
21	0	2.166819176208872e+00	1.201288092745718e+01	4.404283238341380e-01	4.253910031099815e+00
21	1	7.144982023529831e-01	1.098419756427265e+01	4.964025120641512e-01	3.509608729987689e+00
21	2	2.776048874975539e-01	1.199411261931918e+01	5.338164436251850e-01	3.681515252045020e+00
21	3	1.055504448245372e-01	1.106268758953689e+01	4.882243064969196e-01	3.350471410308429e+00
22	0	7.144982023529831e-01	1.098419756427265e+01	4.964025120641512e-01	3.509608729987689e+00
22	1	8.721674179899406e-01	1.072938140583284e+01	2.626733578559861e-01	3.480464647146834e+00
22	2	1.055504448245372e-01	1.106268758953689e+01	4.882243064969196e-01	3.350471410308429e+00
22	3	4.101667537750284e-01	1.089188827257570e+01	3.851887603262116e-01	3.390616507905217e+00
23	0	8.721674179899352e-01	1.072938140583284e+01	2.626733578559861e-01	3.480464647146831e+00
23	1	5.239020005779214e-01	1.051365326894782e+01	2.099202676824262e-01	3.311266580857722e+00
23	2	4.101667537750329e-01	1.089188827257571e+01	3.851887603262131e-01	3.390616507905222e+00
23	3	2.686196234712197e-01	1.057061545777781e+01	3.048702319652941e-01	3.251770524374709e+00
24	0	5.239020005779249e-01	1.051365326894782e+01	2.099202676824274e-01	3.311266580857723e+00
