要素番号	ガウス点番号	disp_x	disp_y
0	0	5.955915334954268e-08	-1.619869485209460e-07
0	1	-1.668992996763562e-07	-2.139567104016012e-07
0	2	-8.734089029193312e-07	-2.742260390494152e-08
0	3	-1.082363240162353e-06	1.636797280494959e-07
0	4	1.648464201328677e-08	2.449408818720278e-07
0	5	-3.882128011113119e-07	1.826762854349569e-07
0	6	-1.263160604984010e-06	3.305509427882827e-07
0	7	-1.450132919998969e-06	4.448586108995980e-07
0	8	3.218576828530862e-08	1.650072164363920e-06
0	9	-4.137637862542359e-08	1.805511935290254e-06
0	10	-3.447063078367324e-07	1.135182874930070e-06
0	11	-4.857827674589942e-07	4.535373596307590e-07
0	12	2.573936064387175e-08	1.884472555883081e-06
0	13	2.037019350883348e-07	2.179493507972901e-06
0	14	3.552519194188992e-07	1.265148197290072e-06
0	15	1.398502211842570e-07	6.119636713463366e-07
1	0	-8.856046737449578e-07	2.384794670790297e-07
1	1	-3.111916424076455e-07	3.126601235934329e-07
1	2	-1.498838869943432e-06	3.740931776731957e-07
1	3	-6.004667440318614e-06	4.803109686234259e-07
1	4	-1.157720464434524e-06	4.542405908353579e-07
1	5	-2.595981810556053e-07	4.166719202227382e-07
1	6	-9.123088216196921e-07	6.329131621702705e-07
1	7	-5.075956404679236e-06	1.339517407870312e-06
1	8	-4.570191974209764e-07	1.830159980239288e-07
1	9	-5.569808137693561e-07	6.938417200347668e-08
1	10	-2.786625161930807e-06	1.100550957671766e-06
1	11	-7.723981004276592e-06	3.156590751449913e-06
1	12	-1.761205786126633e-07	5.957704872344374e-07
1	13	-1.444716174330360e-06	1.458554815285194e-06
1	14	-5.427842492788929e-06	4.365107518824112e-06
1	15	-1.116497077120204e-05	7.975076563762111e-06
2	0	-1.030916975733228e-05	5.836846233737832e-07
2	1	-2.164317882558633e-05	8.649385445420338e-07
2	2	-3.911995416120236e-05	1.305936163247689e-06
2	3	-5.122947915308299e-05	1.612536863529226e-06
2	4	-9.268459811949995e-06	2.008292585163904e-06
2	5	-2.054232789184823e-05	3.755596971953736e-06
2	6	-3.814360888982717e-05	6.385009159515751e-06
2	7	-5.042067486364092e-05	8.111039181258079e-06
2	8	-1.198112704371399e-05	4.807279369517490e-06
2	9	-2.269625142833416e-05	8.750306105552794e-06
2	10	-3.882536750900528e-05	1.430050563005306e-05
2	11	-4.994154874772836e-05	1.773478779782880e-05
2	12	-1.543983243888080e-05	1.039108548972913e-05
2	13	-2.540074904094113e-05	1.555242203423524e-05
2	14	-3.970283232163817e-05	2.220849568191038e-05
2	15	-4.940998630340750e-05	2.607172644134858e-05
3	0	-5.622126263988591e-05	1.738278290593834e-06
3	1	-6.244117494636430e-05	1.890395829826523e-06
3	2	-6.630642047528275e-05	1.964054751533091e-06
3	3	-6.777022567573050e-05	1.961252320000523e-06
3	4	-5.550210255523491e-05	8.760881004121855e-06
3	5	-6.186879089646317e-05	9.412007627447008e-06
3	6	-6.587902698930795e-05	9.491905480177769e-06
3	7	-6.741499239624954e-05	9.278470804791352e-06
3	8	-5.455446870790370e-05	1.893508685550800e-05
3	9	-6.041522904403138e-05	1.991691645375065e-05
3	10	-6.430453923604597e-05	1.956522759040711e-05
3	11	-6.598298430685230e-05	1.882722263444873e-05
3	12	-5.346079396473578e-05	2.733827621168875e-05
3	13	-5.872604016054896e-05	2.818058122552731e-05
3	14	-6.249490893929551e-05	2.735990370508245e-05
3	15	-6.435902938355155e-05	2.625045461645851e-05
4	0	-6.854940117761029e-05	1.949767352104875e-06
4	1	-7.039889379539528e-05	1.921133407032653e-06
4	2	-7.332975547149008e-05	1.880623035937706e-06
4	3	-7.574062380635281e-05	1.856526691712400e-06
4	4	-6.821786433552188e-05	9.162444161249333e-06
4	5	-7.008897729573430e-05	9.012351034485616e-06
4	6	-7.302802320100997e-05	8.915340971439531e-06
4	7	-7.545215523528217e-05	8.883672584507517e-06
4	8	-6.689132817131443e-05	1.850377956744179e-05
4	9	-6.896501603761149e-05	1.818118847259833e-05
4	10	-7.215237411516087e-05	1.812351876331223e-05
4	11	-7.473342015779677e-05	1.817616121368764e-05
4	12	-6.539682002777063e-05	2.578734977010271e-05
4	13	-6.770830557962040e-05	2.534071459814965e-05
4	14	-7.117232521586246e-05	2.528776369265984e-05
4	15	-7.392030271985008e-05	2.537619181216086e-05
5	0	-7.701375016132821e-05	1.848957820367145e-06
5	1	-7.934027580915454e-05	1.844990114459617e-06
5	2	-8.233199545481536e-05	1.851058267275538e-06
5	3	-8.466433236391357e-05	1.856301382075108e-06
5	4	-7.674151895991600e-05	8.871945798452643e-06
5	5	-7.911607471679011e-05	8.851004770604031e-06
5	6	-8.218183800433748e-05	8.824712360039342e-06
5	7	-8.455870013583720e-05	8.804669753236746e-06
5	8	-7.608822969273667e-05	1.818387897577572e-05
5	9	-7.855111503680656e-05	1.812840316395352e-05
5	10	-8.168616016037863e-05	1.798023807308228e-05
5	11	-8.410057298438536e-05	1.786538686346296e-05
5	12	-7.534229906732769e-05	2.538565669430686e-05
5	13	-7.789203330278744e-05	2.528688216741087e-05
5	14	-8.109188045726520e-05	2.503475407842509e-05
5	15	-8.354453143406887e-05	2.484412873473574e-05
6	0	-8.594309578861020e-05	1.856893293934214e-06
6	1	-8.841861179646975e-05	1.852934830446191e-06
6	2	-9.175481802733360e-05	1.842587669530278e-06
6	3	-9.435444258312139e-05	1.835036163010196e-06
6	4	-8.585057963364181e-05	8.793827478196747e-06
6	5	-8.832999785989554e-05	8.773538622796374e-06
6	6	-9.165027720887801e-05	8.749495584418525e-06
6	7	-9.423940361065709e-05	8.735019856698356e-06
6	8	-8.541287785239419e-05	1.782080425497893e-05
6	9	-8.793496107127973e-05	1.777620528470309e-05
6	10	-9.131324379504144e-05	1.776635057021936e-05
6	11	-9.394290385879842e-05	1.776991822807919e-05
6	12	-8.488090587243464e-05	2.477265890028900e-05
6	13	-8.745851969860659e-05	2.470761503241132e-05
6	14	-9.091618283845483e-05	2.470599002253651e-05
6	15	-9.359972094296097e-05	2.472072134810913e-05
7	0	-9.574318604042099e-05	1.832453606424236e-06
7	1	-9.834898318330739e-05	1.830794921917475e-06
7	2	-1.017628818770535e-04	1.832190286941850e-06
7	3	-1.044035241112448e-04	1.833528345689163e-06
7	4	-9.562850779249399e-05	8.729330277999402e-06
7	5	-9.824770525022333e-05	8.722238305524062e-06
7	6	-1.016911601483659e-04	8.716776575151540e-06
7	7	-1.043519649635525e-04	8.712563021069508e-06
7	8	-9.535050053849725e-05	1.776795679901929e-05
7	9	-9.799785369186349e-05	1.775262341051374e-05
7	10	-1.014683933754458e-04	1.771912814603360e-05
7	11	-1.041454779047285e-04	1.769176188587406e-05
7	12	-9.502987693165761e-05	2.471984478012227e-05
7	13	-9.770695256159922e-05	2.469432419977180e-05
7	14	-1.012004199358439e-04	2.463419855124358e-05
7	15	-1.038910244416757e-04	2.458595186267685e-05
8	0	-1.058232592992503e-04	1.833597071143275e-06
8	1	-1.085117247372379e-04	1.832189886192714e-06
8	2	-1.120561828195555e-04	1.828625282694404e-06
8	3	-1.147910165266391e-04	1.825744762906726e-06
8	4	-1.057780359468196e-04	8.709426657081844e-06
8	5	-1.084690544721194e-04	8.701556547411196e-06
8	6	-1.120068393180390e-04	8.689263434152602e-06
8	7	-1.147364655069190e-04	8.679995194200145e-06
8	8	-1.055795170883546e-04	1.767917936413313e-05
8	9	-1.082848722672570e-04	1.766069702426769e-05
8	10	-1.118400424884569e-04	1.764310447099649e-05
8	11	-1.145818569749847e-04	1.763136315674756e-05
8	12	-1.053332675200497e-04	2.456500845905477e-05
8	13	-1.080570760951008e-04	2.453733829695416e-05
8	14	-1.116385625888612e-04	2.451547384700987e-05
8	15	-1.143988128506126e-04	2.450175801101784e-05
9	0	-1.162518708552207e-04	1.824510891149271e-06
9	1	-1.189978118338625e-04	1.822923140383433e-06
9	2	-1.225927282396232e-04	1.821690572445864e-06
9	3	-1.253602990731355e-04	1.820849797521441e-06
9	4	-1.161967876340031e-04	8.675622998337063e-06
9	5	-1.189467639400001e-04	8.668662324937458e-06
9	6	-1.225520696811989e-04	8.660925057048186e-06
9	7	-1.253271933348205e-04	8.655025532179413e-06
9	8	-1.160482336363475e-04	1.762474267901306e-05
9	9	-1.188087051065056e-04	1.761099738657312e-05
9	10	-1.224259718731653e-04	1.759126885408520e-05
9	11	-1.252089065780011e-04	1.757551775320136e-05
9	12	-1.158733626746713e-04	2.449315761466022e-05
9	13	-1.186457072149251e-04	2.447323688594942e-05
9	14	-1.222738818524005e-04	2.444257413569573e-05
9	15	-1.250636829303920e-04	2.441802933009094e-05
10	0	-1.268403636829057e-04	1.820276320776542e-06
10	1	-1.296274060367427e-04	1.818877323270696e-06
10	2	-1.332792786443358e-04	1.816631288828810e-06
10	3	-1.360870262898523e-04	1.814783135395935e-06
10	4	-1.268098343158830e-04	8.651591677402691e-06
10	5	-1.295985166007968e-04	8.644448146201638e-06
10	6	-1.332489656167767e-04	8.634177441708331e-06
10	7	-1.360553598114583e-04	8.625965582416633e-06
10	8	-1.266952215696993e-04	1.756712493963165e-05
10	9	-1.294899684227093e-04	1.755150988885257e-05
10	10	-1.331471136643850e-04	1.753115390042304e-05
10	11	-1.359580782495545e-04	1.751533811912761e-05
10	12	-1.265537350926353e-04	2.440534293519859e-05
10	13	-1.293559649680454e-04	2.438268019801227e-05
10	14	-1.330229826549607e-04	2.435432155474951e-05
10	15	-1.358408491674927e-04	2.433256311824681e-05
11	0	-1.375854576610565e-04	1.813812281792727e-06
11	1	-1.404006247493831e-04	1.812050680761971e-06
11	2	-1.440806578043966e-04	1.809802226452935e-06
11	3	-1.469070101220161e-04	1.808054232852354e-06
11	4	-1.375537189669889e-04	8.621585802292304e-06
11	5	-1.403702717909034e-04	8.613415756638327e-06
11	6	-1.440536986780133e-04	8.602664855020552e-06
11	7	-1.468825889184457e-04	8.594183743238585e-06
11	8	-1.374587852225841e-04	1.750676512859344e-05
11	9	-1.402796320963100e-04	1.749032733101923e-05
11	10	-1.439682658265334e-04	1.746809822456423e-05
11	11	-1.468006814762627e-04	1.745037782589442e-05
11	12	-1.373447737765757e-04	2.432067306752173e-05
11	13	-1.401707182411972e-04	2.429758775547107e-05
11	14	-1.438646507279908e-04	2.426603675581883e-05
11	15	-1.467005404846405e-04	2.424084335109751e-05
12	0	-1.484153715263584e-04	1.807094942801670e-06
12	1	-1.512496932559520e-04	1.805224136725585e-06
12	2	-1.549539582555383e-04	1.802632923518161e-06
12	3	-1.577966684599074e-04	1.800521707061344e-06
12	4	-1.483918960368207e-04	8.589526888066172e-06
12	5	-1.512270740708071e-04	8.580478501812650e-06
12	6	-1.549313882023209e-04	8.568025673140485e-06
12	7	-1.577739878967788e-04	8.557951044944413e-06
12	8	-1.483116538536443e-04	1.744066710349663e-05
12	9	-1.511495576061559e-04	1.742190375807913e-05
12	10	-1.548568298506130e-04	1.739628121696884e-05
12	11	-1.577014059304829e-04	1.737569657300148e-05
12	12	-1.482132914332757e-04	2.422708469042087e-05
12	13	-1.510544775753021e-04	2.420062783610331e-05
12	14	-1.547657846234893e-04	2.416470054221589e-05
12	15	-1.576131338114116e-04	2.413594396183955e-05
13	0	-1.593124714992116e-04	1.799349247328890e-06
13	1	-1.621581690122746e-04	1.797057959461164e-06
13	2	-1.658731485770588e-04	1.793890740287113e-06
13	3	-1.687217756384144e-04	1.791328094764751e-06
13	4	-1.592898811354955e-04	8.552383870065935e-06
13	5	-1.621361179420733e-04	8.541545257892392e-06
13	6	-1.658521816271056e-04	8.526587302984031e-06
13	7	-1.687016148921195e-04	8.514454024370707e-06
13	8	-1.592182997907147e-04	1.736436952680436e-05
13	9	-1.620663462054977e-04	1.734238484502979e-05
13	10	-1.657845863590260e-04	1.731209166540790e-05
13	11	-1.686354989824682e-04	1.728748018977223e-05
13	12	-1.591313534735501e-04	2.412014382123449e-05
13	13	-1.619815960627883e-04	2.408950508413324e-05
13	14	-1.657022439327678e-04	2.404731886456807e-05
13	15	-1.685547552843339e-04	2.401304906092904e-05
14	0	-1.702401790307698e-04	1.789914767774131e-06
14	1	-1.730898020796313e-04	1.787162991452607e-06
14	2	-1.768074379982308e-04	1.783331487737664e-06
14	3	-1.796556697924288e-04	1.780168843924898e-06
14	4	-1.702203440665754e-04	8.507737740079018e-06
14	5	-1.730703444654823e-04	8.494616019148939e-06
14	6	-1.767881918762020e-04	8.476313085066224e-06
14	7	-1.796365334370800e-04	8.461229819424632e-06
14	8	-1.701549354538714e-04	1.727382187249104e-05
14	9	-1.730061132512649e-04	1.724707583737795e-05
14	10	-1.767252649639051e-04	1.720973971178797e-05
14	11	-1.795744847301791e-04	1.717902933961345e-05
14	12	-1.700749877126492e-04	2.399402654197486e-05
14	13	-1.729275783867887e-04	2.395677226165080e-05
14	14	-1.766484066646130e-04	2.390479665189794e-05
14	15	-1.794987750739412e-04	2.386209907638786e-05
15	0	-1.811728371687914e-04	1.778390878029132e-06
15	1	-1.840180645430908e-04	1.774865000956771e-06
15	2	-1.877258259021275e-04	1.769869306258169e-06
15	3	-1.905632613266325e-04	1.765716380705968e-06
15	4	-1.811537897584209e-04	8.452772711354061e-06
15	5	-1.839992640140825e-04	8.436042789040870e-06
15	6	-1.877074243841224e-04	8.412370077751232e-06
15	7	-1.905451512459382e-04	8.392671696294518e-06
15	8	-1.810921829924889e-04	1.716185277830550e-05
15	9	-1.839384536415305e-04	1.712795240084872e-05
15	10	-1.876475962711397e-04	1.708005422129066e-05
15	11	-1.904860389464737e-04	1.704017851256423e-05
15	12	-1.810170346794776e-04	2.383824574630006e-05
15	13	-1.838642728751939e-04	2.379121837415552e-05
15	14	-1.875745601713473e-04	2.372483481857034e-05
15	15	-1.904138355827359e-04	2.366958376849548e-05
16	0	-1.920735128882808e-04	1.763381895822978e-06
16	1	-1.949034164071456e-04	1.758746804070977e-06
16	2	-1.985859226890005e-04	1.752106872414223e-06
