要素番号	頂点番号	disp_x	disp_y
0	0	0.000000000000000e+00	0.000000000000000e+00
0	1	-6.505654105119054e-07	0.000000000000000e+00
0	2	0.000000000000000e+00	1.305219957883829e-06
0	3	-2.623638739865671e-08	7.722613469788164e-07
1	0	-6.505654105119056e-07	0.000000000000000e+00
1	1	-8.876460758607798e-06	0.000000000000000e+00
1	2	-2.623638739865650e-08	7.722613469788158e-07
1	3	-1.413658278705565e-05	1.135789212881539e-05
2	0	-8.876460758607798e-06	0.000000000000000e+00
2	1	-5.417387195416781e-05	0.000000000000000e+00
2	2	-1.413658278705565e-05	1.135789212881539e-05
2	3	-5.123867849668666e-05	2.912529575966308e-05
3	0	-5.417387195416780e-05	0.000000000000000e+00
3	1	-6.810321119500674e-05	0.000000000000000e+00
3	2	-5.123867849668664e-05	2.912529575966307e-05
3	3	-6.439510384572299e-05	2.798838878114019e-05
4	0	-6.810321119500674e-05	0.000000000000000e+00
4	1	-7.642114776655253e-05	0.000000000000000e+00
4	2	-6.439510384572299e-05	2.798838878114019e-05
4	3	-7.439225063559933e-05	2.731271274434103e-05
5	0	-7.642114776655253e-05	0.000000000000000e+00
5	1	-8.528493643817579e-05	0.000000000000000e+00
5	2	-7.439225063559933e-05	2.731271274434103e-05
5	3	-8.403966814326076e-05	2.667045077028304e-05
6	0	-8.528493643817576e-05	0.000000000000000e+00
6	1	-9.506523129989201e-05	0.000000000000000e+00
6	2	-8.403966814326074e-05	2.667045077028305e-05
6	3	-9.420984365747234e-05	2.657723909224155e-05
7	0	-9.506523129989201e-05	0.000000000000000e+00
7	1	-1.051078588093892e-04	0.000000000000000e+00
7	2	-9.420984365747234e-05	2.657723909224155e-05
7	3	-1.045319373175747e-04	2.641356095041472e-05
8	0	-1.051078588093892e-04	0.000000000000000e+00
8	1	-1.155271667240278e-04	0.000000000000000e+00
8	2	-1.045319373175747e-04	2.641356095041472e-05
8	3	-1.150788541086764e-04	2.632971123864625e-05
9	0	-1.155271667240278e-04	0.000000000000000e+00
9	1	-1.260994655268503e-04	0.000000000000000e+00
9	2	-1.150788541086764e-04	2.632971123864625e-05
9	3	-1.257626666541361e-04	2.623532124328584e-05
10	0	-1.260994655268503e-04	0.000000000000000e+00
10	1	-1.368384299861261e-04	0.000000000000000e+00
10	2	-1.257626666541361e-04	2.623532124328584e-05
10	3	-1.365556905191053e-04	2.614347078727394e-05
11	0	-1.368384299861261e-04	0.000000000000000e+00
11	1	-1.476616447068948e-04	0.000000000000000e+00
11	2	-1.365556905191053e-04	2.614347078727394e-05
11	3	-1.474250373357590e-04	2.604328496078276e-05
12	0	-1.476616447068948e-04	0.000000000000000e+00
12	1	-1.585557427283858e-04	0.000000000000000e+00
12	2	-1.474250373357590e-04	2.604328496078275e-05
12	3	-1.583441268685586e-04	2.592917304057421e-05
13	0	-1.585557427283858e-04	0.000000000000000e+00
13	1	-1.694817707488090e-04	0.000000000000000e+00
13	2	-1.583441268685586e-04	2.592917304057421e-05
13	3	-1.692891307988935e-04	2.579522898146697e-05
14	0	-1.694817707488090e-04	0.000000000000000e+00
14	1	-1.804152401323325e-04	0.000000000000000e+00
14	2	-1.692891307988935e-04	2.579522898146697e-05
14	3	-1.802338022941929e-04	2.563038815308139e-05
15	0	-1.804152401323325e-04	0.000000000000000e+00
15	1	-1.913193608365713e-04	0.000000000000000e+00
15	2	-1.802338022941929e-04	2.563038815308139e-05
15	3	-1.911465342717353e-04	2.541975212491157e-05
16	0	-1.913193608365713e-04	0.000000000000000e+00
16	1	-2.021483362596638e-04	0.000000000000000e+00
16	2	-1.911465342717353e-04	2.541975212491157e-05
16	3	-2.019836649645996e-04	2.513865020276317e-05
17	0	0.000000000000000e+00	1.305219957883830e-06
17	1	-2.623638739865693e-08	7.722613469788159e-07
17	2	0.000000000000000e+00	1.759040277447365e-05
17	3	-5.547689967233421e-06	3.036529150531280e-05
18	0	-2.623638739865608e-08	7.722613469788154e-07
18	1	-1.413658278705565e-05	1.135789212881538e-05
18	2	-5.547689967233418e-06	3.036529150531279e-05
18	3	-2.221416433840446e-05	6.910355688843247e-05
19	0	-1.413658278705565e-05	1.135789212881538e-05
19	1	-5.123867849668665e-05	2.912529575966307e-05
19	2	-2.221416433840446e-05	6.910355688843247e-05
19	3	-4.282937137342845e-05	6.481977852063655e-05
20	0	-5.123867849668664e-05	2.912529575966307e-05
20	1	-6.439510384572301e-05	2.798838878114018e-05
20	2	-4.282937137342845e-05	6.481977852063655e-05
20	3	-5.686653381744576e-05	5.810941436614046e-05
21	0	-6.439510384572301e-05	2.798838878114018e-05
21	1	-7.439225063559933e-05	2.731271274434103e-05
21	2	-5.686653381744576e-05	5.810941436614046e-05
21	3	-6.953971589656546e-05	5.540897390790180e-05
22	0	-7.439225063559933e-05	2.731271274434103e-05
22	1	-8.403966814326077e-05	2.667045077028304e-05
22	2	-6.953971589656546e-05	5.540897390790180e-05
22	3	-8.082737255239711e-05	5.408519855013289e-05
23	0	-8.403966814326074e-05	2.667045077028304e-05
23	1	-9.420984365747234e-05	2.657723909224154e-05
23	2	-8.082737255239710e-05	5.408519855013289e-05
23	3	-9.199815121585885e-05	5.350284372504556e-05
24	0	-9.420984365747234e-05	2.657723909224154e-05
24	1	-1.045319373175747e-04	2.641356095041471e-05
24	2	-9.199815121585885e-05	5.350284372504556e-05
24	3	-1.029100742367599e-04	5.307645562179754e-05
25	0	-1.045319373175747e-04	2.641356095041471e-05
25	1	-1.150788541086763e-04	2.632971123864624e-05
25	2	-1.029100742367599e-04	5.307645562179754e-05
25	3	-1.138579998140223e-04	5.281611721848727e-05
26	0	-1.150788541086763e-04	2.632971123864624e-05
26	1	-1.257626666541361e-04	2.623532124328583e-05
26	2	-1.138579998140223e-04	5.281611721848727e-05
26	3	-1.247887964545517e-04	5.257262792742973e-05
27	0	-1.257626666541361e-04	2.623532124328583e-05
27	1	-1.365556905191053e-04	2.614347078727394e-05
27	2	-1.247887964545517e-04	5.257262792742973e-05
27	3	-1.357542419113427e-04	5.235940203198519e-05
28	0	-1.365556905191053e-04	2.614347078727394e-05
28	1	-1.474250373357590e-04	2.604328496078275e-05
28	2	-1.357542419113427e-04	5.235940203198519e-05
28	3	-1.467350432393521e-04	5.213482625255633e-05
29	0	-1.474250373357590e-04	2.604328496078275e-05
29	1	-1.583441268685586e-04	2.592917304057421e-05
29	2	-1.467350432393521e-04	5.213482625255631e-05
29	3	-1.577301342285170e-04	5.189476097180287e-05
30	0	-1.583441268685586e-04	2.592917304057421e-05
30	1	-1.692891307988936e-04	2.579522898146698e-05
30	2	-1.577301342285170e-04	5.189476097180287e-05
30	3	-1.687246423979436e-04	5.161831966777824e-05
31	0	-1.692891307988936e-04	2.579522898146698e-05
31	1	-1.802338022941928e-04	2.563038815308139e-05
31	2	-1.687246423979436e-04	5.161831966777824e-05
31	3	-1.797022119947569e-04	5.128701243737405e-05
32	0	-1.802338022941928e-04	2.563038815308139e-05
32	1	-1.911465342717352e-04	2.541975212491157e-05
32	2	-1.797022119947569e-04	5.128701243737405e-05
32	3	-1.906387542589468e-04	5.086972035728237e-05
33	0	-1.911465342717352e-04	2.541975212491157e-05
33	1	-2.019836649645996e-04	2.513865020276316e-05
33	2	-1.906387542589468e-04	5.086972035728237e-05
33	3	-2.014995841423640e-04	5.032095926136440e-05
34	0	0.000000000000000e+00	1.759040277447365e-05
34	1	-5.547689967233421e-06	3.036529150531280e-05
34	2	0.000000000000000e+00	1.239432998016605e-04
34	3	-5.620375278790282e-06	1.221715592673048e-04
35	0	-5.547689967233418e-06	3.036529150531279e-05
35	1	-2.221416433840446e-05	6.910355688843247e-05
35	2	-5.620375278790280e-06	1.221715592673049e-04
35	3	-1.936604599848927e-05	1.117584227270517e-04
36	0	-2.221416433840446e-05	6.910355688843247e-05
36	1	-4.282937137342845e-05	6.481977852063655e-05
36	2	-1.936604599848927e-05	1.117584227270517e-04
36	3	-3.458529804882481e-05	9.688594010518530e-05
37	0	-4.282937137342845e-05	6.481977852063655e-05
37	1	-5.686653381744576e-05	5.810941436614046e-05
37	2	-3.458529804882481e-05	9.688594010518533e-05
37	3	-5.032911232961567e-05	8.891650538017159e-05
38	0	-5.686653381744576e-05	5.810941436614046e-05
38	1	-6.953971589656546e-05	5.540897390790180e-05
38	2	-5.032911232961567e-05	8.891650538017159e-05
38	3	-6.414046186920729e-05	8.452998012672582e-05
39	0	-6.953971589656546e-05	5.540897390790180e-05
39	1	-8.082737255239711e-05	5.408519855013289e-05
39	2	-6.414046186920729e-05	8.452998012672582e-05
39	3	-7.700816925132925e-05	8.223296354638302e-05
40	0	-8.082737255239710e-05	5.408519855013289e-05
40	1	-9.199815121585885e-05	5.350284372504556e-05
40	2	-7.700816925132923e-05	8.223296354638300e-05
40	3	-8.903090548920248e-05	8.093356047791022e-05
41	0	-9.199815121585885e-05	5.350284372504556e-05
41	1	-1.029100742367599e-04	5.307645562179754e-05
41	2	-8.903090548920248e-05	8.093356047791022e-05
41	3	-1.006785845902972e-04	8.010486942212645e-05
42	0	-1.029100742367599e-04	5.307645562179754e-05
42	1	-1.138579998140223e-04	5.281611721848727e-05
42	2	-1.006785845902972e-04	8.010486942212645e-05
42	3	-1.120736124574796e-04	7.953897001262115e-05
43	0	-1.138579998140223e-04	5.281611721848727e-05
43	1	-1.247887964545517e-04	5.257262792742973e-05
43	2	-1.120736124574796e-04	7.953897001262115e-05
43	3	-1.233394004726415e-04	7.908365758025632e-05
44	0	-1.247887964545517e-04	5.257262792742973e-05
44	1	-1.357542419113427e-04	5.235940203198519e-05
44	2	-1.233394004726415e-04	7.908365758025632e-05
44	3	-1.345267718820943e-04	7.869193886037632e-05
