コントロールポイント番号	rf_x	rf_y
0	5.830071436928546e-02	-5.188735888099430e-02
1	7.452391406684842e-03	-1.071909197559979e-01
2	6.294549971250394e-01	-5.702713799454551e-02
3	1.027338056854987e+00	5.732863456635879e-01
4	-2.092963495760291e+00	-2.680398408686668e+00
5	-8.528582477491268e-01	-6.330427478259610e+00
6	-9.130260802535074e-03	-6.451553782148475e+00
7	-7.966223091396915e-15	-6.281221548066305e+00
8	-5.832414905322845e-15	-6.166202269341099e+00
9	1.603497597865799e-15	-6.098705955530327e+00
10	-6.753616299511782e-15	-6.046148065763531e+00
11	-7.637677607211117e-15	-6.002988374761808e+00
12	-3.641596399730601e-15	-5.964922204157481e+00
13	-7.781286392223537e-15	-5.928139471820765e+00
14	-1.212137582368058e-15	-5.891165715361807e+00
15	-3.072781902286536e-15	-5.851374749962296e+00
16	-7.817740615859482e-16	-5.806472935335979e+00
17	1.650849665561936e-16	-4.323883788570012e+00
18	-9.693396105755730e-15	-2.864899307864331e+00
19	-9.844800306931900e-16	-1.425844363924454e+00
20	-4.226179199662138e-02	-1.840330064952670e-02
21	4.268871938579177e-03	-1.325645435567570e-01
22	1.147751040463501e+00	-1.156522967756059e+00
23	2.214701110153219e+00	-3.461689230748214e+00
24	-2.990737996057852e+00	-2.027958104691081e+00
25	-1.286427424740260e+00	-1.738181139297684e-01
26	-1.136269721608211e-02	-1.973910403118079e-04
27	5.849505231122641e-15	8.876307774343566e-16
28	6.095685329538333e-15	9.900897599172393e-16
29	8.291596546796676e-16	-1.878533000559895e-15
30	-9.572818602510769e-15	-4.301202165392214e-15
31	3.391088904441074e-15	8.817309260875852e-16
32	-3.241375911095299e-15	5.579854652827510e-15
33	-6.076876647168352e-15	-3.358224054134200e-15
34	5.484570961610857e-15	-5.324499008178936e-16
35	-9.568653056538949e-15	-2.619928930360999e-15
36	-1.247958354868638e-14	-4.976335228879250e-15
37	5.842146558050512e-15	-1.783337450297195e-16
38	-7.556480481914140e-16	-3.257795303979411e-15
39	9.291948082952555e-15	-9.656244486300437e-16
40	-6.612127185921621e-01	-1.699862293393800e+00
41	-2.267133846682904e-01	-3.921594408409504e+00
42	4.554375837214843e-01	-6.270126362154831e+00
43	1.615666418241520e+00	-7.062678538637518e+00
44	-2.022574658732043e+00	-2.657326141233098e+00
45	-9.044182385347826e-01	-1.582744797181899e-01
46	-5.427010368766431e-03	-1.073431088645458e-04
47	1.175051045483362e-15	6.926606915939071e-15
48	5.444942647389500e-15	-4.338140884998050e-17
49	-6.694915200694469e-16	-3.640266679857456e-15
50	-6.396257575249680e-15	2.585020860499275e-16
51	1.769781204524833e-14	-1.342421470971503e-15
52	-5.183751986560198e-15	-1.447253609428641e-15
53	-9.632050714445954e-15	6.077799888575634e-15
54	7.748430664684843e-15	3.937503572323113e-15
55	-9.258885024002117e-15	1.971334481434783e-15
56	-5.260809310885912e-15	2.064627034927655e-15
57	2.323558342910098e-15	8.385797396759746e-15
58	-1.828871643344332e-14	2.936480986179643e-15
59	3.690175175034384e-15	-6.609514719891676e-16
60	-6.153176462914036e+00	-3.997460536417042e+00
61	7.472202492694244e-01	-8.200704753388427e+00
62	3.136023745456187e+00	-6.554380952526210e+00
63	3.814390012722647e+00	-5.030687177511887e-01
64	2.121823123185063e-01	4.237622672335531e-01
65	-2.250246361076325e-01	1.570557692660363e-03
66	-8.289258432496030e-04	-8.334967196496028e-06
67	-5.208765893051078e-15	4.754142341799853e-15
68	-1.755678211289331e-15	-2.946093126094650e-15
69	-1.205150788657926e-15	-1.564899095434628e-15
70	-5.719530397151779e-15	1.797070234222509e-15
71	1.186838640160422e-14	-7.410083817564696e-15
72	6.736887719801286e-15	-6.947044398929447e-15
73	-4.911693663785197e-15	-3.834348563651032e-16
74	1.064502830416823e-14	-2.876161761766234e-15
75	-8.014014236475438e-15	8.591680220192073e-15
76	-5.356791060872438e-15	1.085511448652657e-14
77	3.260428849973999e-15	8.382135421865860e-15
78	-2.268023324436920e-14	4.540198505934516e-16
79	1.719133531503615e-14	-1.858734476128818e-16
80	-6.757748875984229e+00	3.421794499592314e+00
81	1.887377875770352e+00	5.824138355831772e+00
82	4.662646782710627e+00	7.390999167934096e+00
83	3.630180814137147e+00	5.150286053792726e+00
84	4.151231608146119e-01	7.438875077593294e-01
85	-1.032556576328124e-03	1.050404005910736e-02
86	-1.130324353674796e-06	1.375633648912531e-07
87	-4.794619954305969e-15	-2.689931189987423e-15
88	3.581230085424184e-15	-1.312057647801441e-14
89	1.032383106241043e-14	-6.760053825184350e-16
90	-1.857757723621889e-14	6.202329810920654e-15
91	-3.025039705788782e-15	-1.743374720033977e-15
92	1.350059217101322e-14	4.897642223107956e-16
93	-1.203824660485719e-14	1.184067687017021e-14
94	9.056772644161464e-15	-2.457461842481604e-15
95	1.241943490036817e-14	-3.881417887481641e-15
96	-2.105332005549406e-14	5.598595380878759e-15
97	-1.282760083033331e-15	1.069210462009193e-15
98	-1.624675780873059e-14	-6.177903405504883e-15
99	4.901937902103095e-15	3.430253604246719e-15
100	-1.072284092060407e+00	1.818571257020987e+00
101	4.089405468036302e-01	3.065955822260052e+00
102	7.416812785844052e-01	2.738885389376104e+00
103	4.208833698896101e-01	1.049451507414759e+00
104	2.709519181889488e-02	4.770851105438479e-02
105	3.054995596217830e-05	4.224945558313585e-05
106	-6.451207978417243e-16	2.938581193205422e-15
107	-8.587752762837348e-16	-1.470301844278909e-15
108	4.807221812244909e-15	1.062320951036009e-14
109	1.076971578513629e-14	-8.396356535458860e-15
110	-1.695079446060519e-14	-1.408802241500774e-14
111	4.781534955396531e-15	-1.680819415493780e-15
112	2.713150032296290e-14	-1.110519498143060e-14
113	-1.778683943334673e-14	-7.484653903932763e-15
114	-1.079907210940300e-15	-1.014708037393096e-14
115	1.080582055467731e-14	-1.205142315760316e-14
116	-1.039470897974854e-14	-1.043660084911560e-14
117	-8.782352058010856e-15	4.448579381168609e-15
118	3.786984903225405e-15	-5.969274708931590e-16
119	2.976273849082791e-14	9.293473207133117e-15
120	-1.949544641307875e-01	2.098054515569114e-02
121	2.480102853861813e-03	2.838709941831907e-02
122	2.038917747243523e-03	1.460626160383993e-02
123	4.145831567454857e-04	2.378763144609517e-03
124	9.893866140321700e-07	4.011285800962962e-06
125	-2.313341572534611e-15	-3.477496829243109e-15
126	1.424450282585528e-15	-5.971996989692414e-15
127	-4.455754198615443e-16	2.166472618816178e-15
128	9.651293344027393e-16	1.056381787013296e-14
129	-8.528209739501137e-15	-4.502285128537745e-15
130	-2.656609608906798e-15	-2.316948311791690e-14
131	-6.637178864287368e-16	8.579766126743320e-16
132	5.044820586810592e-15	-1.272388910426772e-15
133	-1.386539466654337e-14	2.893442623605349e-15
134	-6.560102111194318e-15	9.418777716913369e-15
135	-5.618601372983431e-15	-9.498491005560987e-15
136	3.327777520831377e-15	3.168973606079185e-15
137	-1.153387296909981e-15	-4.406382697098066e-15
138	-1.799650897598939e-14	-5.433102246169049e-15
139	2.753887009759844e-14	7.487430891239826e-15
140	-1.132114216798945e-01	-3.138413466683550e-15
141	-4.370744899537639e-15	-2.526211275703854e-15
142	-1.666270524474473e-15	1.352609285424358e-15
143	-2.621437966938472e-15	1.434563919006907e-14
144	-4.272807431556566e-15	8.836700475679646e-15
145	3.561558866467523e-15	1.334512963863475e-15
146	3.343892643089250e-15	-1.196672470740316e-16
147	-4.173172338374507e-15	1.964039891587917e-14
148	-1.078308516049437e-16	-1.278677409327327e-15
149	-1.053096958080267e-14	1.340139169216378e-14
150	5.654413026072535e-15	1.697681969476645e-14
151	6.340852100193236e-15	1.136985150360362e-14
152	7.239628352576415e-16	7.645695485328809e-15
153	-4.484248991048494e-15	9.625309922518086e-15
154	-1.333465133535967e-14	9.797897810425270e-15
155	-1.073875210479025e-14	8.999144677397272e-15
156	-3.903713873315440e-15	6.063870968633797e-15
157	-3.829894122743552e-15	3.860728852133220e-16
158	-1.999158437008498e-14	-9.724318634990746e-15
159	1.449223168844626e-14	-3.571975279985777e-15
160	-1.149735958182171e-01	-1.844087213275549e-14
161	2.555787624326632e-15	3.774750351270253e-15
162	8.802259626560159e-15	3.431014805211302e-15
163	3.278191248337569e-15	8.380338690036034e-15
164	-2.736126899977555e-15	7.331368634098902e-15
165	4.719330819709593e-15	1.347114057073939e-14
166	3.326068887673166e-15	1.582348239962557e-14
167	-1.064558202843455e-14	1.273598170996180e-14
168	-2.781290171801507e-15	-7.158493979320356e-15
169	3.183684384031333e-15	-1.213638795161105e-16
