要素番号	ガウス点番号	xx	yy	xy	zz
0	0	6.928221128317424e-07	-2.227932091725019e-06	-1.762960267474116e-06	0.000000000000000e+00
0	1	-3.092934424763200e-06	-3.200139870522298e-06	-3.448637520559785e-06	0.000000000000000e+00
0	2	-3.028287001642459e-06	1.313345860924873e-07	-6.531083626366070e-06	0.000000000000000e+00
0	3	8.565672525996932e-07	3.453082218777340e-06	-6.848617301092118e-06	0.000000000000000e+00
0	4	-4.078579680847301e-07	6.241872574753229e-06	-1.290819956153714e-06	0.000000000000000e+00
0	5	-4.230586208849513e-06	6.904645715315353e-06	7.887657390764272e-07	0.000000000000000e+00
0	6	-3.426468557006138e-06	3.900933417137294e-06	2.718110711371380e-06	0.000000000000000e+00
0	7	1.628887673656452e-06	5.808751916199590e-07	2.501567095847789e-06	0.000000000000000e+00
0	8	4.641436617307342e-07	5.604682185980560e-06	3.990628136820661e-06	0.000000000000000e+00
0	9	-1.209550920863268e-06	6.820987897058099e-06	7.847098453293526e-07	0.000000000000000e+00
0	10	-1.458899496632971e-06	3.058837516017969e-06	1.272425944063341e-06	0.000000000000000e+00
0	11	-1.674301183113808e-07	1.275168212956797e-07	1.834215003818226e-06	0.000000000000000e+00
0	12	8.034584352925128e-07	-3.841868490605237e-06	6.563801001655608e-06	0.000000000000000e+00
0	13	1.287528656266177e-06	-3.412036346544724e-06	-1.522792576222046e-06	0.000000000000000e+00
0	14	-1.652717531864013e-07	-2.001605976275587e-06	-3.174016060284290e-06	0.000000000000000e+00
0	15	-2.876332569778836e-06	2.304773034433374e-06	-7.155531113927847e-07	0.000000000000000e+00
1	0	3.782980886261563e-06	4.668356378845795e-06	-5.437987096623293e-06	0.000000000000000e+00
1	1	1.903826354385120e-06	5.725151751096757e-06	6.879870466475724e-07	0.000000000000000e+00
1	2	-1.685887679813730e-05	6.947080930261888e-06	1.159820001884709e-05	0.000000000000000e+00
1	3	-4.374097756133508e-05	9.805111861447837e-06	1.851718052309940e-05	0.000000000000000e+00
1	4	5.346347273958844e-06	-9.586336651510102e-07	1.551598561838818e-06	0.000000000000000e+00
1	5	4.432191249350332e-06	-2.633013998532081e-06	-7.649705571069160e-08	0.000000000000000e+00
1	6	-1.426229080015569e-05	-1.166042316959349e-06	-1.133540097253105e-07	0.000000000000000e+00
1	7	-4.200481427765512e-05	3.883199648545603e-06	2.763423113760226e-06	0.000000000000000e+00
1	8	7.051610761888586e-07	-2.310840073183543e-07	1.162166287573971e-06	0.000000000000000e+00
1	9	-3.396661257658078e-06	2.113424425862735e-06	-2.085586125202496e-06	0.000000000000000e+00
1	10	-2.126246351862145e-05	9.934953967046393e-06	-5.309438960572150e-06	0.000000000000000e+00
1	11	-4.454704151855595e-05	1.850588679588289e-05	-2.471861977518616e-06	0.000000000000000e+00
1	12	-5.002311142021497e-06	6.511163325495910e-06	8.036350234054176e-07	0.000000000000000e+00
1	13	-1.232115504980109e-05	1.774738226987415e-05	1.063142416955046e-06	0.000000000000000e+00
1	14	-2.882465209303156e-05	3.506473976862012e-05	5.937390531834919e-07	0.000000000000000e+00
1	15	-4.680393755730050e-05	4.684284415050975e-05	4.107746940473862e-06	0.000000000000000e+00
2	0	-6.150207282768015e-05	1.261952784757488e-05	2.055655147358774e-05	0.000000000000000e+00
2	1	-8.351683065041671e-05	2.022486275091979e-05	2.041750730718803e-05	0.000000000000000e+00
2	2	-8.638102023150970e-05	3.202451566855033e-05	1.505846786575359e-05	0.000000000000000e+00
2	3	-6.875676451743291e-05	4.007614343519510e-05	9.460101645753764e-06	0.000000000000000e+00
2	4	-6.050459911251635e-05	8.296680030597378e-06	5.554005672335331e-06	0.000000000000000e+00
2	5	-8.365810505066885e-05	1.923657062702652e-05	1.027567393597998e-05	0.000000000000000e+00
2	6	-8.736318558865510e-05	3.497791999514891e-05	1.355055078217145e-05	0.000000000000000e+00
2	7	-6.988917936733875e-05	4.478719533554887e-05	1.269104465579130e-05	0.000000000000000e+00
2	8	-5.953192190364928e-05	2.365772120089824e-05	2.008067950945067e-06	0.000000000000000e+00
2	9	-7.780034393840364e-05	3.368263869696064e-05	1.130846486450668e-05	0.000000000000000e+00
2	10	-7.928155512691884e-05	4.542587407261583e-05	1.999054087455886e-05	0.000000000000000e+00
2	11	-6.328367443114434e-05	5.157703679387663e-05	2.017861255593982e-05	0.000000000000000e+00
2	12	-5.769879960518903e-05	5.152743340653791e-05	8.480961733512622e-06	0.000000000000000e+00
2	13	-7.033859716137271e-05	5.681523744831012e-05	1.754586362714368e-05	0.000000000000000e+00
2	14	-6.940138332608562e-05	5.848808711684573e-05	2.555494533410504e-05	0.000000000000000e+00
2	15	-5.532493529562617e-05	5.727409943909623e-05	2.450107522843658e-05	0.000000000000000e+00
3	0	-5.327114797883747e-05	4.328433634093133e-05	6.717705136818456e-06	0.000000000000000e+00
3	1	-2.939229944836851e-05	4.694382892720617e-05	2.947742879125920e-06	0.000000000000000e+00
3	2	-1.182671245699889e-05	4.833106679718852e-05	3.424824765948566e-07	0.000000000000000e+00
3	3	-8.779359162508716e-06	4.793709741946179e-05	-3.242034803875552e-07	0.000000000000000e+00
3	4	-5.432306750126779e-05	4.820034146061245e-05	1.084946534592570e-05	0.000000000000000e+00
3	5	-3.025266107193962e-05	5.092558818637843e-05	7.456098329257345e-06	0.000000000000000e+00
3	6	-1.241149769153063e-05	4.979006346282881e-05	4.224505940204923e-06	0.000000000000000e+00
3	7	-9.133272605783801e-06	4.762590359030950e-05	3.112474107564411e-06	0.000000000000000e+00
3	8	-4.950108174271574e-05	5.329922048709395e-05	1.718594976350105e-05	0.000000000000000e+00
3	9	-2.832079324740265e-05	5.366619006500670e-05	1.134307250862461e-05	0.000000000000000e+00
3	10	-1.287437436310476e-05	5.077552161701643e-05	5.933037108510559e-06	0.000000000000000e+00
3	11	-1.037692339227808e-05	4.801744004357771e-05	4.750711413225658e-06	0.000000000000000e+00
3	12	-4.374694943542981e-05	5.619926192569445e-05	2.050221548035066e-05	0.000000000000000e+00
3	13	-2.611178550443754e-05	5.388548593379937e-05	1.293710611283816e-05	0.000000000000000e+00
3	14	-1.355051030064507e-05	5.082712890459123e-05	6.178679615727267e-06	0.000000000000000e+00
3	15	-1.193055730999098e-05	4.892881817443921e-05	5.016532263043283e-06	0.000000000000000e+00
4	0	-1.048396591778228e-05	4.755473281824842e-05	-3.475162272454577e-07	0.000000000000000e+00
4	1	-1.344907762468303e-05	4.683011796166128e-05	-5.200605611104521e-08	0.000000000000000e+00
4	2	-1.552238963665779e-05	4.599495813702219e-05	6.160291106093443e-07	0.000000000000000e+00
4	3	-1.573544770614835e-05	4.554176588463923e-05	1.019828697602730e-06	0.000000000000000e+00
4	4	-1.071255981627068e-05	4.670738164619552e-05	3.075407760011553e-06	0.000000000000000e+00
