要素番号	頂点番号	xx	yy	xy	zz
0	0	2.831100309158020e-06	-3.975632979380037e-06	0.000000000000000e+00	0.000000000000000e+00
0	1	1.389891539024366e-06	5.943409966599514e-06	-1.070379244071699e-05	0.000000000000000e+00
0	2	2.961104981726792e-09	-7.477658592968532e-06	1.016363466186181e-05	0.000000000000000e+00
0	3	-4.998333508181812e-06	6.037634286170854e-06	4.296569096186595e-07	0.000000000000000e+00
1	0	1.389891539024363e-06	5.943409966599511e-06	-1.070379244071699e-05	0.000000000000000e+00
1	1	-5.366061633415526e-05	1.490244581058877e-05	2.591815216364830e-05	0.000000000000000e+00
1	2	-4.998333508181806e-06	6.037634286170850e-06	4.296569096186523e-07	0.000000000000000e+00
1	3	-5.210619928623829e-05	5.935469998048381e-05	9.089346951932296e-06	0.000000000000000e+00
2	0	-5.366061633415526e-05	1.490244581058878e-05	2.591815216364831e-05	0.000000000000000e+00
2	1	-5.971628957504838e-05	4.044471359776980e-05	7.602149230620943e-06	0.000000000000000e+00
2	2	-5.210619928623828e-05	5.935469998048380e-05	9.089346951932296e-06	0.000000000000000e+00
2	3	-4.776032410423370e-05	5.781449469499596e-05	2.312375090799970e-05	0.000000000000000e+00
3	0	-5.971628957504842e-05	4.044471359776979e-05	7.602149230620866e-06	0.000000000000000e+00
3	1	-9.530652591285725e-06	4.804235672937674e-05	-1.656328386900076e-06	0.000000000000000e+00
3	2	-4.776032410423373e-05	5.781449469499594e-05	2.312375090799973e-05	0.000000000000000e+00
3	3	-1.317096169603023e-05	4.896437945434964e-05	5.558804091947142e-06	0.000000000000000e+00
4	0	-9.530652591285732e-06	4.804235672937675e-05	-1.656328386900083e-06	0.000000000000000e+00
4	1	-1.562220670297074e-05	4.523750011120101e-05	8.174973327822115e-07	0.000000000000000e+00
4	2	-1.317096169603024e-05	4.896437945434966e-05	5.558804091947139e-06	0.000000000000000e+00
4	3	-1.763904702010000e-05	4.716973535333963e-05	6.265274426252715e-06	0.000000000000000e+00
5	0	-1.562220670297074e-05	4.523750011120101e-05	8.174973327822115e-07	0.000000000000000e+00
5	1	-1.560731933699338e-05	4.551402502985574e-05	-5.893551108685711e-07	0.000000000000000e+00
5	2	-1.763904702010000e-05	4.716973535333963e-05	6.265274426252715e-06	0.000000000000000e+00
5	3	-1.646012814101238e-05	4.574559119778847e-05	3.315294810069147e-06	0.000000000000000e+00
6	0	-1.560731933699337e-05	4.551402502985574e-05	-5.893551108686118e-07	0.000000000000000e+00
6	1	-1.703334196908716e-05	4.486979819281450e-05	3.266258796277708e-07	0.000000000000000e+00
6	2	-1.646012814101237e-05	4.574559119778847e-05	3.315294810069161e-06	0.000000000000000e+00
6	3	-1.759016482740281e-05	4.545195482565237e-05	2.649479107598543e-06	0.000000000000000e+00
7	0	-1.703334196908715e-05	4.486979819281450e-05	3.266258796277708e-07	0.000000000000000e+00
7	1	-1.735621687984656e-05	4.490463626117122e-05	-1.969764059683220e-07	0.000000000000000e+00
7	2	-1.759016482740281e-05	4.545195482565238e-05	2.649479107598536e-06	0.000000000000000e+00
7	3	-1.768978533837755e-05	4.503728166040129e-05	1.722300184497808e-06	0.000000000000000e+00
8	0	-1.735621687984656e-05	4.490463626117122e-05	-1.969764059683220e-07	0.000000000000000e+00
8	1	-1.789766117461924e-05	4.468268820940088e-05	1.002087980225889e-07	0.000000000000000e+00
8	2	-1.768978533837755e-05	4.503728166040129e-05	1.722300184497808e-06	0.000000000000000e+00
8	3	-1.808264712022743e-05	4.486606359658228e-05	1.329510466781864e-06	0.000000000000000e+00
9	0	-1.789766117461924e-05	4.468268820940088e-05	1.002087980225889e-07	0.000000000000000e+00
9	1	-1.811033268072796e-05	4.457649473260501e-05	-5.585038373169234e-08	0.000000000000000e+00
9	2	-1.808264712022743e-05	4.486606359658228e-05	1.329510466781864e-06	0.000000000000000e+00
9	3	-1.825634579717575e-05	4.465848418464078e-05	9.883207290883045e-07	0.000000000000000e+00
10	0	-1.811033268072796e-05	4.457649473260501e-05	-5.585038373169234e-08	0.000000000000000e+00
10	1	-1.834845073917000e-05	4.442190721256865e-05	2.580495891251475e-08	0.000000000000000e+00
10	2	-1.825634579717575e-05	4.465848418464078e-05	9.883207290883045e-07	0.000000000000000e+00
10	3	-1.842383538425708e-05	4.448827669256309e-05	7.790600547370209e-07	0.000000000000000e+00
11	0	-1.834845073917000e-05	4.442190721256865e-05	2.580495891251475e-08	0.000000000000000e+00
11	1	-1.846297818081905e-05	4.425719117357302e-05	-1.396595432468059e-08	0.000000000000000e+00
11	2	-1.842383538425708e-05	4.448827669256309e-05	7.790600547370209e-07	0.000000000000000e+00
11	3	-1.852640314207265e-05	4.430231751648092e-05	6.226251430182233e-07	0.000000000000000e+00
12	0	-1.846297818081903e-05	4.425719117357302e-05	-1.396595432466704e-08	0.000000000000000e+00
12	1	-1.855793152307862e-05	4.407070265801270e-05	5.514195739234583e-09	0.000000000000000e+00
12	2	-1.852640314207265e-05	4.430231751648091e-05	6.226251430182108e-07	0.000000000000000e+00
12	3	-1.859157742966433e-05	4.410086467736841e-05	5.027959307069244e-07	0.000000000000000e+00
13	0	-1.855793152307862e-05	4.407070265801268e-05	5.514195739180373e-09	0.000000000000000e+00
13	1	-1.858793854062899e-05	4.384224895235549e-05	-3.292080891285866e-09	0.000000000000000e+00
13	2	-1.859157742966432e-05	4.410086467736842e-05	5.027959307068900e-07	0.000000000000000e+00
13	3	-1.861416380125663e-05	4.386847188947111e-05	4.018962975150603e-07	0.000000000000000e+00
14	0	-1.858793854062899e-05	4.384224895235549e-05	-3.292080891285866e-09	0.000000000000000e+00
14	1	-1.857375107453303e-05	4.356496125447471e-05	9.019427335804197e-10	0.000000000000000e+00
14	2	-1.861416380125663e-05	4.386847188947111e-05	4.018962975150603e-07	0.000000000000000e+00
14	3	-1.858911203604369e-05	4.358675425404115e-05	2.990597654880918e-07	0.000000000000000e+00
15	0	-1.857375107453303e-05	4.356496125447471e-05	9.019427335804197e-10	0.000000000000000e+00
15	1	-1.848876660882648e-05	4.320414361231791e-05	-1.079222090844380e-09	0.000000000000000e+00
