要素番号	頂点番号	xx	yy	xy	zz
0	0	3.125972047209448e-01	-7.660082240785684e-01	0.000000000000000e+00	-1.360233058072870e-01
0	1	1.091779030506160e+00	1.813336565952649e+00	-8.480697087645305e-01	8.715346789376428e-01
0	2	-8.878698263598421e-01	-2.073260332342932e+00	8.052725924397321e-01	-8.883390476108322e-01
0	3	-6.685267172969850e-01	1.080249717808119e+00	3.404204745441293e-02	1.235169001533402e-01
1	0	1.091779030506159e+00	1.813336565952647e+00	-8.480697087645300e-01	8.715346789376418e-01
1	1	-1.310940331594390e+01	-2.244795006853750e+00	2.053515132966020e+00	-4.606259496839295e+00
1	2	-6.685267172969844e-01	1.080249717808119e+00	3.404204745441285e-02	1.235169001533404e-01
1	3	-7.395372073618609e+00	1.026689350249270e+01	7.201559508069135e-01	8.614564286622263e-01
2	0	-1.310940331594390e+01	-2.244795006853749e+00	2.053515132966020e+00	-4.606259496839294e+00
2	1	-1.175308780073037e+01	4.118578855885369e+00	6.023241313492518e-01	-2.290352683453500e+00
2	2	-7.395372073618602e+00	1.026689350249270e+01	7.201559508069124e-01	8.614564286622295e-01
2	3	-6.373274930153280e+00	1.035627327957070e+01	1.832112571941497e+00	1.194899504825226e+00
3	0	-1.175308780073038e+01	4.118578855885363e+00	6.023241313492472e-01	-2.290352683453505e+00
3	1	3.066726042715583e+00	1.218983367352817e+01	-1.312321721928602e-01	4.576967914873125e+00
3	2	-6.373274930153291e+00	1.035627327957070e+01	1.832112571941497e+00	1.194899504825222e+00
3	3	2.166819180213969e+00	1.201288093173563e+01	4.404283242081207e-01	4.253910033584880e+00
4	0	3.066726042715583e+00	1.218983367352817e+01	-1.312321721928602e-01	4.576967914873125e+00
4	1	1.044144808276660e+00	1.068806758036840e+01	6.477094252043623e-02	3.519663716593517e+00
4	2	2.166819180213967e+00	1.201288093173563e+01	4.404283242081209e-01	4.253910033584879e+00
4	3	7.144982010345933e-01	1.098419756174880e+01	4.964025122338664e-01	3.509608728835017e+00
5	0	1.044144808276660e+00	1.068806758036840e+01	6.477094252043623e-02	3.519663716593517e+00
5	1	1.081137112405099e+00	1.076651937361341e+01	-4.669505878423225e-02	3.554296945805552e+00
5	2	7.144982010345933e-01	1.098419756174880e+01	4.964025122338664e-01	3.509608728835017e+00
5	3	8.721674194026061e-01	1.072938140693560e+01	2.626733580285600e-01	3.480464647901462e+00
6	0	1.081137112405098e+00	1.076651937361341e+01	-4.669505878423225e-02	3.554296945805552e+00
6	1	6.091261853337748e-01	1.041839301098892e+01	2.587881969359459e-02	3.308255758896807e+00
6	2	8.721674194026052e-01	1.072938140693560e+01	2.626733580285597e-01	3.480464647901461e+00
6	3	5.239020002189516e-01	1.051365326831839e+01	2.099202677558910e-01	3.311266580561202e+00
7	0	6.091261853337748e-01	1.041839301098892e+01	2.587881969359459e-02	3.308255758896807e+00
7	1	5.237308593587491e-01	1.038968143401225e+01	-1.560659216516418e-02	3.274023688011299e+00
7	2	5.239020002189561e-01	1.051365326831839e+01	2.099202677558910e-01	3.311266580561204e+00
7	3	4.469941554207404e-01	1.038682169522717e+01	1.364591684640585e-01	3.250144755194371e+00
8	0	5.237308593587491e-01	1.038968143401225e+01	-1.560659216516418e-02	3.274023688011299e+00
8	1	3.472065191556233e-01	1.026378496000793e+01	7.939620151021584e-03	3.183297443749066e+00
8	2	4.469941554207404e-01	1.038682169522717e+01	1.364591684640585e-01	3.250144755194371e+00
8	3	3.177019529461687e-01	1.029265149730213e+01	1.053381369834813e-01	3.183106035074490e+00
9	0	3.472065191556233e-01	1.026378496000793e+01	7.939620151021584e-03	3.183297443749066e+00
9	1	2.756103882962044e-01	1.020906150148589e+01	-4.425068864889182e-03	3.145401566934627e+00
9	2	3.177019529461687e-01	1.029265149730213e+01	1.053381369834813e-01	3.183106035074490e+00
9	3	2.448639589578638e-01	1.021444470992258e+01	7.830541161236723e-02	3.137792600664131e+00
10	0	2.756103882962044e-01	1.020906150148589e+01	-4.425068864889182e-03	3.145401566934627e+00
10	1	1.912062868238928e-01	1.013789377763784e+01	2.044546744615529e-03	3.098730019338520e+00
10	2	2.448639589578638e-01	1.021444470992258e+01	7.830541161236723e-02	3.137792600664131e+00
10	3	1.781893022895256e-01	1.014733936984716e+01	6.172552741376769e-02	3.097658601641005e+00
11	0	1.912062868238928e-01	1.013789377763784e+01	2.044546744615529e-03	3.098730019338520e+00
11	1	1.398710785629671e-01	1.007860560702813e+01	-1.106533304140059e-03	3.065543005677329e+00
11	2	1.781893022895256e-01	1.014733936984716e+01	6.172552741376769e-02	3.097658601641005e+00
11	3	1.276459412147073e-01	1.008358167633935e+01	4.933106902373776e-02	3.063368285266219e+00
12	0	1.398710785629671e-01	1.007860560702813e+01	-1.106533304151871e-03	3.065543005677329e+00
12	1	9.137634353323953e-02	1.001560606761382e+01	4.368939701279142e-04	3.032094723344118e+00
12	2	1.276459412147011e-01	1.008358167633935e+01	4.933106902373776e-02	3.063368285266215e+00
12	3	8.563071481500284e-02	1.001997154100634e+01	3.983690835598822e-02	3.031680676746403e+00
13	0	9.137634353323865e-02	1.001560606761382e+01	4.368939701257667e-04	3.032094723344117e+00
13	1	5.590432249399591e-02	9.948687879074658e+00	-2.608341013736102e-04	3.001377660470596e+00
13	2	8.563071481499929e-02	1.001997154100634e+01	3.983690835598808e-02	3.031680676746402e+00
13	3	5.174835120794885e-02	9.952842929892487e+00	3.184255280309799e-02	3.001377384330130e+00
14	0	5.590432249399591e-02	9.948687879074658e+00	-2.608341013736102e-04	3.001377660470596e+00
14	1	2.688403957474783e-02	9.873479993248322e+00	7.146161664810606e-05	2.970109209846921e+00
14	2	5.174835120794885e-02	9.952842929892487e+00	3.184255280309799e-02	3.001377384330130e+00
14	3	2.521434096585562e-02	9.877697768471645e+00	2.369473526556670e-02	2.970873632831250e+00
15	0	2.688403957474783e-02	9.873479993248322e+00	7.146161664810606e-05	2.970109209846921e+00
15	1	7.569096631760530e-03	9.783522562443864e+00	-8.550759638334072e-05	2.937327497722688e+00
15	2	2.521434096585562e-02	9.877697768471645e+00	2.369473526556670e-02	2.970873632831250e+00
15	3	7.077995390584846e-03	9.789443599010196e+00	1.389736273285017e-02	2.938956478320234e+00
16	0	7.569096631760530e-03	9.783522562443864e+00	-8.550759638334072e-05	2.937327497722688e+00
16	1	-7.995014076911389e-05	9.671234947999167e+00	-7.963277235306282e-06	2.901346499357520e+00
16	2	7.077995390584846e-03	9.789443599010196e+00	1.389736273285017e-02	2.938956478320234e+00
16	3	-1.142616203759772e-04	9.679939878963287e+00	6.088723118835732e-05	2.903947685202873e+00
17	0	-8.878698263598410e-01	-2.073260332342930e+00	8.052725924397323e-01	-8.883390476108312e-01
17	1	-6.685267172969850e-01	1.080249717808119e+00	3.404204745441367e-02	1.235169001533403e-01
17	2	1.151305851091690e+01	3.291334181151421e+01	-1.755243513194092e+00	1.332792009672933e+01
17	3	1.026122016264359e+01	3.264208572965748e+01	4.443450097223105e+00	1.287099176769032e+01
18	0	-6.685267172969839e-01	1.080249717808118e+00	3.404204745441324e-02	1.235169001533403e-01
18	1	-7.395372073618610e+00	1.026689350249269e+01	7.201559508069140e-01	8.614564286622238e-01
18	2	1.026122016264360e+01	3.264208572965750e+01	4.443450097223105e+00	1.287099176769033e+01
18	3	1.924919272185187e+00	2.348652611235094e+01	2.432589749962291e+00	7.623433615360838e+00
19	0	-7.395372073618605e+00	1.026689350249269e+01	7.201559508069135e-01	8.614564286622263e-01
19	1	-6.373274930153277e+00	1.035627327957070e+01	1.832112571941497e+00	1.194899504825228e+00
19	2	1.924919272185189e+00	2.348652611235094e+01	2.432589749962291e+00	7.623433615360838e+00
19	3	-1.272189163081783e+00	1.278324275863906e+01	-3.323440492237592e-01	3.453316078667182e+00
20	0	-6.373274930153297e+00	1.035627327957069e+01	1.832112571941499e+00	1.194899504825218e+00
20	1	2.166819180213971e+00	1.201288093173563e+01	4.404283242081202e-01	4.253910033584881e+00
20	2	-1.272189163081782e+00	1.278324275863906e+01	-3.323440492237615e-01	3.453316078667183e+00
20	3	2.776048902099948e-01	1.199411261935527e+01	5.338164443461015e-01	3.681515252869580e+00
21	0	2.166819180213969e+00	1.201288093173563e+01	4.404283242081198e-01	4.253910033584881e+00
21	1	7.144982010345897e-01	1.098419756174880e+01	4.964025122338677e-01	3.509608728835016e+00
21	2	2.776048902099912e-01	1.199411261935527e+01	5.338164443461045e-01	3.681515252869579e+00
21	3	1.055504441190465e-01	1.106268758987774e+01	4.882243067354318e-01	3.350471410199036e+00
22	0	7.144982010345897e-01	1.098419756174880e+01	4.964025122338677e-01	3.509608728835016e+00
22	1	8.721674194026088e-01	1.072938140693561e+01	2.626733580285596e-01	3.480464647901464e+00
22	2	1.055504441190465e-01	1.106268758987774e+01	4.882243067354318e-01	3.350471410199036e+00
22	3	4.101667542041207e-01	1.089188827228699e+01	3.851887605245490e-01	3.390616507947334e+00
23	0	8.721674194026097e-01	1.072938140693560e+01	2.626733580285575e-01	3.480464647901463e+00
23	1	5.239020002189498e-01	1.051365326831839e+01	2.099202677558881e-01	3.311266580561202e+00
23	2	4.101667542041199e-01	1.089188827228700e+01	3.851887605245521e-01	3.390616507947335e+00
23	3	2.686196236273597e-01	1.057061545790129e+01	3.048702321341971e-01	3.251770524458594e+00
24	0	5.239020002189561e-01	1.051365326831839e+01	2.099202677558871e-01	3.311266580561204e+00
24	1	4.469941554207448e-01	1.038682169522717e+01	1.364591684640569e-01	3.250144755194373e+00
24	2	2.686196236273561e-01	1.057061545790129e+01	3.048702321341968e-01	3.251770524458593e+00
24	3	2.906400340474251e-01	1.045538322150222e+01	2.226574222878736e-01	3.223806976664893e+00
25	0	4.469941554207448e-01	1.038682169522717e+01	1.364591684640569e-01	3.250144755194373e+00
25	1	3.177019529461687e-01	1.029265149730213e+01	1.053381369834822e-01	3.183106035074491e+00
25	2	2.906400340474251e-01	1.045538322150222e+01	2.226574222878736e-01	3.223806976664893e+00
25	3	2.106305910181554e-01	1.032581154452678e+01	1.772604086155387e-01	3.160932640663480e+00
26	0	3.177019529461687e-01	1.029265149730213e+01	1.053381369834822e-01	3.183106035074491e+00
26	1	2.448639589578656e-01	1.021444470992258e+01	7.830541161236391e-02	3.137792600664133e+00
26	2	2.106305910181554e-01	1.032581154452678e+01	1.772604086155387e-01	3.160932640663480e+00
26	3	1.801301737147005e-01	1.024363163213818e+01	1.360027274141143e-01	3.127128541755864e+00
27	0	2.448639589578656e-01	1.021444470992258e+01	7.830541161236391e-02	3.137792600664133e+00
27	1	1.781893022895211e-01	1.014733936984715e+01	6.172552741376833e-02	3.097658601641003e+00
27	2	1.801301737147005e-01	1.024363163213818e+01	1.360027274141143e-01	3.127128541755864e+00
27	3	1.322596729588268e-01	1.016606172175435e+01	1.107453194666181e-01	3.089496418413953e+00
28	0	1.781893022895211e-01	1.014733936984715e+01	6.172552741376833e-02	3.097658601641003e+00
28	1	1.276459412147082e-01	1.008358167633936e+01	4.933106902373532e-02	3.063368285266219e+00
28	2	1.322596729588268e-01	1.016606172175435e+01	1.107453194666181e-01	3.089496418413953e+00
28	3	9.928594533883395e-02	1.009832853217746e+01	8.933069544276431e-02	3.059284343254889e+00
29	0	1.276459412147011e-01	1.008358167633935e+01	4.933106902374024e-02	3.063368285266217e+00
29	1	8.563071481499573e-02	1.001997154100633e+01	3.983690835598010e-02	3.031680676746399e+00
29	2	9.928594533883928e-02	1.009832853217747e+01	8.933069544276451e-02	3.059284343254892e+00
29	3	6.703167204719396e-02	1.003197910700255e+01	7.358572071768107e-02	3.029703233714922e+00
30	0	8.563071481500106e-02	1.001997154100634e+01	3.983690835598019e-02	3.031680676746402e+00
30	1	5.174835120795596e-02	9.952842929892489e+00	3.184255280309626e-02	3.001377384330133e+00
