patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-4.504334475077293e-05	 1.953403403636767e-20
1	 9.999652789858906e-01	 8.333116024021120e-03	-4.504182567506469e-05	 1.110832497832017e-06
1	 9.998606425980919e-01	 1.669417213672646e-02	-4.503700287197098e-05	 2.225400351320562e-06
1	 9.996853864193536e-01	 2.508242770522954e-02	-4.502890012864502e-05	 3.343592278189450e-06
1	 9.994388138338142e-01	 3.349712528648550e-02	-4.501752774835827e-05	 4.465297395268676e-06
1	 9.991202364468812e-01	 4.193749065368710e-02	-4.500288270072821e-05	 5.590404941842199e-06
1	 9.987289745085517e-01	 5.040273283361161e-02	-4.498494879266959e-05	 6.718803998731406e-06
1	 9.982643573398925e-01	 5.889204415514498e-02	-4.496369685989972e-05	 7.850383202565355e-06
1	 9.977257237623757e-01	 6.740460030920360e-02	-4.493908497887588e-05	 8.985030454613996e-06
1	 9.971124225297652e-01	 7.593956042026558e-02	-4.491105869909539e-05	 1.012263262348946e-05
1	 9.964238127622254e-01	 8.449606712971601e-02	-4.487955129574078e-05	 1.126307524095385e-05
1	 9.956592643823281e-01	 9.307324669120216e-02	-4.484450166989935e-05	 1.240624176434120e-05
1	 9.948181585526062e-01	 1.016702090781851e-01	-4.480590796060896e-05	 1.355201196849487e-05
1	 9.938998881143070e-01	 1.102860481038651e-01	-4.476377573103945e-05	 1.470026287456085e-05
1	 9.929038580269769e-01	 1.189198415536470e-01	-4.471810076142811e-05	 1.585086883310597e-05
1	 9.918294858085045e-01	 1.275706513303032e-01	-4.466886937856861e-05	 1.700370117279684e-05
1	 9.906762019752346e-01	 1.362375236119771e-01	-4.461605880538846e-05	 1.815862783663594e-05
1	 9.894434504817674e-01	 1.449194890231617e-01	-4.455963753095018e-05	 1.931551300474259e-05
1	 9.881306891600279e-01	 1.536155628187734e-01	-4.449956570124494e-05	 2.047421670267351e-05
1	 9.867373901572034e-01	 1.623247450814290e-01	-4.443579553117622e-05	 2.163459439429865e-05
1	 9.852630403721249e-01	 1.710460209320194e-01	-4.436827173814700e-05	 2.279649655828298e-05
1	 9.837071418896612e-01	 1.797783607536631e-01	-4.429694501336777e-05	 2.395977381502431e-05
1	 9.820692124126958e-01	 1.885207204291022e-01	-4.422181183397979e-05	 2.512429329372654e-05
1	 9.803487856912376e-01	 1.972720415915948e-01	-4.414287640906092e-05	 2.628992166188480e-05
1	 9.785454119482201e-01	 2.060312518893391e-01	-4.406013823813096e-05	 2.745651908162228e-05
1	 9.766586583015292e-01	 2.147972652634490e-01	-4.397359263514095e-05	 2.862393868216687e-05
1	 9.746881091818042e-01	 2.235689822394855e-01	-4.388323127534700e-05	 2.979202601147372e-05
1	 9.726333667455384e-01	 2.323452902325309e-01	-4.378904276526091e-05	 3.096061846674650e-05
1	 9.704940512830177e-01	 2.411250638657778e-01	-4.369101323577712e-05	 3.212954470377972e-05
1	 9.682698016206163e-01	 2.499071653025829e-01	-4.358912695846576e-05	 3.329862402522994e-05
1	 9.659602755169761e-01	 2.586904445919246e-01	-4.348336698489484e-05	 3.446766574812700e-05
1	 9.635651500525915e-01	 2.674737400271792e-01	-4.337371551001055e-05	 3.563648492932418e-05
1	 9.610841220123161e-01	 2.762558785181148e-01	-4.326015365475095e-05	 3.680495113992784e-05
1	 9.585169082603148e-01	 2.850356759759861e-01	-4.314266305848320e-05	 3.797293917153972e-05
1	 9.558632461069744e-01	 2.938119377115880e-01	-4.302122690377746e-05	 3.914031199647201e-05
1	 9.531228936672971e-01	 3.025834588461145e-01	-4.289583066380399e-05	 4.030692000978605e-05
1	 9.502956302102972e-01	 3.113490247346440e-01	-4.276646286834096e-05	 4.147260025646468e-05
1	 9.473812564989209e-01	 3.201074114020567e-01	-4.263311588690263e-05	 4.263717564585597e-05
1	 9.443795951200210e-01	 3.288573859911695e-01	-4.249578672725027e-05	 4.380045415582605e-05
1	 9.412904908039134e-01	 3.375977072228538e-01	-4.235447784728684e-05	 4.496222802936355e-05
1	 9.381138107330539e-01	 3.463271258678822e-01	-4.220919797806987e-05	 4.612227296668525e-05
1	 9.348494448393739e-01	 3.550443852302334e-01	-4.205995536476928e-05	 4.728037377836294e-05
1	 9.314973060898261e-01	 3.637482216415593e-01	-4.190673571193986e-05	 4.843640338426564e-05
1	 9.280573307596920e-01	 3.724373649665077e-01	-4.174952559289268e-05	 4.959024333314080e-05
1	 9.245294786932189e-01	 3.811105391185668e-01	-4.158832086623722e-05	 5.074175659787519e-05
1	 9.209137335511566e-01	 3.897664625860843e-01	-4.142312752877195e-05	 5.189078673896208e-05
1	 9.172101030447766e-01	 3.984038489680923e-01	-4.125396256054338e-05	 5.303715708655306e-05
1	 9.134186191559716e-01	 4.070214075195532e-01	-4.108085475789958e-05	 5.418066994618969e-05
1	 9.095393383430366e-01	 4.156178437056225e-01	-4.090384555012402e-05	 5.532110583354481e-05
1	 9.055723417317521e-01	 4.241918597645067e-01	-4.072298979501120e-05	 5.645822274371532e-05
1	 9.015177352914021e-01	 4.327421552784766e-01	-4.053835654854399e-05	 5.759175546079604e-05
1	 8.973756499953728e-01	 4.412674277525845e-01	-4.035000338288796e-05	 5.872145619556380e-05
1	 8.931462419659899e-01	 4.497663732006086e-01	-4.015789749894914e-05	 5.984721835143978e-05
1	 8.888296926032814e-01	 4.582376867377416e-01	-3.996199510600300e-05	 6.096895299478598e-05
1	 8.844262086973453e-01	 4.666800631795190e-01	-3.976226843847136e-05	 6.208654713255044e-05
1	 8.799360225240509e-01	 4.750921976464704e-01	-3.955870638617565e-05	 6.319986320743488e-05
1	 8.753593919237882e-01	 4.834727861739642e-01	-3.935131506810586e-05	 6.430873866804652e-05
1	 8.706966003630238e-01	 4.918205263267005e-01	-3.914011834422150e-05	 6.541298562023021e-05
1	 8.659479569784274e-01	 5.001341178172987e-01	-3.892515825986703e-05	 6.651239056567533e-05
1	 8.611137966033590e-01	 5.084122631284071e-01	-3.870649541749520e-05	 6.760671423374287e-05
1	 8.561944797765246e-01	 5.166536681377636e-01	-3.848420927055097e-05	 6.869569151226458e-05
1	 8.511903927326329e-01	 5.248570427456092e-01	-3.825837328495273e-05	 6.977908068064117e-05
1	 8.461019473749030e-01	 5.330211015038681e-01	-3.802897969297142e-05	 7.085681158211214e-05
