xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.0175712754e+01
 0.0000000000e+00	 5.8823529412e-03	 9.9996527899e-01	 8.3331160240e-03	 3.0173364889e+01
 0.0000000000e+00	 1.1764705882e-02	 9.9986064260e-01	 1.6694172137e-02	 3.0164943586e+01
 0.0000000000e+00	 1.7647058824e-02	 9.9968538642e-01	 2.5082427705e-02	 3.0150503647e+01
 0.0000000000e+00	 2.3529411765e-02	 9.9943881383e-01	 3.3497125286e-02	 3.0130080822e+01
 0.0000000000e+00	 2.9411764706e-02	 9.9912023645e-01	 4.1937490654e-02	 3.0103692098e+01
 0.0000000000e+00	 3.5294117647e-02	 9.9872897451e-01	 5.0402732834e-02	 3.0071336024e+01
 0.0000000000e+00	 4.1176470588e-02	 9.9826435734e-01	 5.8892044155e-02	 3.0032993069e+01
 0.0000000000e+00	 4.7058823529e-02	 9.9772572376e-01	 6.7404600309e-02	 2.9988626001e+01
 0.0000000000e+00	 5.2941176471e-02	 9.9711242253e-01	 7.5939560420e-02	 2.9938180292e+01
 0.0000000000e+00	 5.8823529412e-02	 9.9642381276e-01	 8.4496067130e-02	 2.9881584537e+01
 5.8823529412e-03	 0.0000000000e+00	 1.0058823529e+00	 0.0000000000e+00	 2.9678927936e+01
 5.8823529412e-03	 5.8823529412e-03	 1.0058474277e+00	 8.3821343536e-03	 2.9676720233e+01
 5.8823529412e-03	 1.1764705882e-02	 1.0057421758e+00	 1.6792373149e-02	 2.9668557910e+01
 5.8823529412e-03	 1.7647058824e-02	 1.0055658887e+00	 2.5229971398e-02	 2.9654492600e+01
 5.8823529412e-03	 2.3529411765e-02	 1.0053178657e+00	 3.3694167200e-02	 2.9634557182e+01
 5.8823529412e-03	 2.9411764706e-02	 1.0049974143e+00	 4.2184181775e-02	 2.9608766088e+01
 5.8823529412e-03	 3.5294117647e-02	 1.0046038508e+00	 5.0699219497e-02	 2.9577115635e+01
 5.8823529412e-03	 4.1176470588e-02	 1.0041365006e+00	 5.9238467944e-02	 2.9539584391e+01
 5.8823529412e-03	 4.7058823529e-02	 1.0035946986e+00	 6.7801097958e-02	 2.9496133564e+01
 5.8823529412e-03	 5.2941176471e-02	 1.0029777897e+00	 7.6386263717e-02	 2.9446707404e+01
 5.8823529412e-03	 5.8823529412e-02	 1.0022851293e+00	 8.4993102819e-02	 2.9391233630e+01
 1.1764705882e-02	 0.0000000000e+00	 1.0117647059e+00	 0.0000000000e+00	 2.9197532092e+01
 1.1764705882e-02	 5.8823529412e-03	 1.0117295764e+00	 8.4311526831e-03	 2.9195445092e+01
 1.1764705882e-02	 1.1764705882e-02	 1.0116237090e+00	 1.6890574162e-02	 2.9187524247e+01
 1.1764705882e-02	 1.7647058824e-02	 1.0114463910e+00	 2.5377515090e-02	 2.9173817870e+01
 1.1764705882e-02	 2.3529411765e-02	 1.0111969175e+00	 3.3891209113e-02	 2.9154355845e+01
 1.1764705882e-02	 2.9411764706e-02	 1.0108745922e+00	 4.2430872897e-02	 2.9129149947e+01
 1.1764705882e-02	 3.5294117647e-02	 1.0104787271e+00	 5.0995706161e-02	 2.9098194191e+01
 1.1764705882e-02	 4.1176470588e-02	 1.0100086439e+00	 5.9584891733e-02	 2.9061465201e+01
 1.1764705882e-02	 4.7058823529e-02	 1.0094636735e+00	 6.8197595607e-02	 2.9018922605e+01
 1.1764705882e-02	 5.2941176471e-02	 1.0088431569e+00	 7.6832967013e-02	 2.8970509444e+01
 1.1764705882e-02	 5.8823529412e-02	 1.0081464459e+00	 8.5490138508e-02	 2.8916152595e+01
 1.7647058824e-02	 0.0000000000e+00	 1.0176470588e+00	 0.0000000000e+00	 2.8731028458e+01
 1.7647058824e-02	 5.8823529412e-03	 1.0176117251e+00	 8.4801710127e-03	 2.8729043950e+01
 1.7647058824e-02	 1.1764705882e-02	 1.0175052422e+00	 1.6988775174e-02	 2.8721348233e+01
 1.7647058824e-02	 1.7647058824e-02	 1.0173268932e+00	 2.5525058782e-02	 2.8707986142e+01
 1.7647058824e-02	 2.3529411765e-02	 1.0170759694e+00	 3.4088251027e-02	 2.8688984441e+01
 1.7647058824e-02	 2.9411764706e-02	 1.0167517700e+00	 4.2677564018e-02	 2.8664352153e+01
 1.7647058824e-02	 3.5294117647e-02	 1.0163536035e+00	 5.1292192825e-02	 2.8634080915e+01
 1.7647058824e-02	 4.1176470588e-02	 1.0158807872e+00	 5.9931315523e-02	 2.8598145362e+01
 1.7647058824e-02	 4.7058823529e-02	 1.0153326483e+00	 6.8594093256e-02	 2.8556503525e+01
