x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.340392033427189e+01
 9.997942209309062e-01	 2.028585204427908e-02	 2.338860022206711e+01
 9.991701818187483e-01	 4.073018247306789e-02	 2.332523577730375e+01
 9.981180433968323e-01	 6.132186759777695e-02	 2.321325628256768e+01
 9.966282799005903e-01	 8.204920293574097e-02	 2.305246413237515e+01
 9.946917154369740e-01	 1.028999088485992e-01	 2.284305320826690e+01
 9.922995607885995e-01	 1.238611386139841e-01	 2.258562575192658e+01
 9.894434504817674e-01	 1.449194890231616e-01	 2.228120749673410e+01
 9.861154799348201e-01	 1.660610135851266e-01	 2.193126081762723e+01
 9.823082424914590e-01	 1.872712384039294e-01	 2.153769566176209e+01
 9.780148661327976e-01	 2.085351807807159e-01	 2.110287802848320e+01
 1.014285714285714e+00	 0.000000000000000e+00	 2.267086940950853e+01
 1.014076995515633e+00	 2.057564993062592e-02	 2.265702930924705e+01
 1.013444041559016e+00	 4.131204222268315e-02	 2.259824356789809e+01
 1.012376872588215e+00	 6.219789427774518e-02	 2.249404964078801e+01
 1.010865826756313e+00	 8.322133440625157e-02	 2.234433500559357e+01
 1.008901597086074e+00	 1.043699075464363e-01	 2.214935386802096e+01
 1.006475268799865e+00	 1.256305834513268e-01	 2.190974244156519e+01
 1.003578356917221e+00	 1.469897674377783e-01	 2.162653257931537e+01
 1.000202843933889e+00	 1.684333137791999e-01	 2.130116353553437e+01
 9.963412173841937e-01	 1.899465418096997e-01	 2.093549163748695e+01
 9.919865070775523e-01	 2.115142547918691e-01	 2.053179765394975e+01
 1.028571428571428e+00	 0.000000000000000e+00	 2.199212815690607e+01
 1.028359770100361e+00	 2.086544781697277e-02	 2.197977014664553e+01
 1.027717901299284e+00	 4.189390197229840e-02	 2.192533453829142e+01
 1.026635701779599e+00	 6.307392095771344e-02	 2.182846535652395e+01
 1.025103373612036e+00	 8.439346587676218e-02	 2.168913474467691e+01
 1.023111478735173e+00	 1.058399062442734e-01	 2.150765806685280e+01
 1.020650976811131e+00	 1.274000282886694e-01	 2.128470765593730e+01
 1.017713263352675e+00	 1.490600458523948e-01	 2.102132500215097e+01
 1.014290207932958e+00	 1.708056139732731e-01	 2.071893117682821e+01
 1.010374192276929e+00	 1.926218452154702e-01	 2.037933528899260e+01
 1.005958148022306e+00	 2.144933288030221e-01	 2.000474077821965e+01
 1.042857142857143e+00	 0.000000000000000e+00	 2.136271297230336e+01
 1.042642544685088e+00	 2.115524570331961e-02	 2.135183168187958e+01
 1.041991761039552e+00	 4.247576172191367e-02	 2.130152299200023e+01
 1.040894530970982e+00	 6.394994763768166e-02	 2.121153594357359e+01
 1.039340920467758e+00	 8.556559734727270e-02	 2.108192693583771e+01
 1.037321360384273e+00	 1.073099049421106e-01	 2.091307328915142e+01
 1.034826684822397e+00	 1.291694731260121e-01	 2.070568552139179e+01
 1.031848169788129e+00	 1.511303242670114e-01	 2.046081814839471e+01
 1.028377571932027e+00	 1.731779141673463e-01	 2.017987881921028e+01
 1.024407167169664e+00	 1.952971486212406e-01	 1.986463559996026e+01
 1.019929788967060e+00	 2.174724028141751e-01	 1.951722222599180e+01
 1.057142857142857e+00	 0.000000000000000e+00	 2.077790055112150e+01
 1.056925319269815e+00	 2.144504358966645e-02	 2.076848426867291e+01
 1.056265620779820e+00	 4.305762147152892e-02	 2.072208506776878e+01
 1.055153360162366e+00	 6.482597431764991e-02	 2.063855549520911e+01
 1.053578467323481e+00	 8.673772881778331e-02	 2.051803579901628e+01
 1.051531242033373e+00	 1.087799036399477e-01	 2.036096601467384e+01
 1.049002392833662e+00	 1.309389179633546e-01	 2.016809682868205e+01
 1.045983076223583e+00	 1.532006026816280e-01	 1.994049904480374e+01
 1.042464935931095e+00	 1.755502143614196e-01	 1.967957147898063e+01
 1.038440142062399e+00	 1.979724520270111e-01	 1.938704711206159e+01
 1.033901429911815e+00	 2.204514768253283e-01	 1.906499733539392e+01
 1.071428571428571e+00	 0.000000000000000e+00	 2.023321053505831e+01
 1.071208093854542e+00	 2.173484147601330e-02	 2.022524227217581e+01
 1.070539480520088e+00	 4.363948122114417e-02	 2.018254134738531e+01
 1.069412189353749e+00	 6.570200099761814e-02	 2.010506233869559e+01
 1.067816014179204e+00	 8.790986028829388e-02	 1.999302893350221e+01
 1.065741123682472e+00	 1.102499023377849e-01	 1.984694459971377e+01
 1.063178100844928e+00	 1.327083628006973e-01	 1.966760209401685e+01
 1.060117982659036e+00	 1.552708810962446e-01	 1.945609164673386e+01
 1.056552299930164e+00	 1.779225145554928e-01	 1.921380766359964e+01
 1.052473116955134e+00	 2.006477554327814e-01	 1.894245378809489e+01
 1.047873070856569e+00	 2.234305508364814e-01	 1.864404617390774e+01
 1.085714285714286e+00	 0.000000000000000e+00	 1.972438952878063e+01
 1.085490868439270e+00	 2.202463936236015e-02	 1.971784804752346e+01
 1.084813340260356e+00	 4.422134097075943e-02	 1.967864083646207e+01
 1.083671018545132e+00	 6.657802767758639e-02	 1.960682305895589e+01
 1.082053561034927e+00	 8.908199175880446e-02	 1.950270142532505e+01
 1.079951005331572e+00	 1.117199010356220e-01	 1.936684350910167e+01
 1.077353808856194e+00	 1.344778076380399e-01	 1.920008595645200e+01
 1.074252889094491e+00	 1.573411595108612e-01	 1.900354144145610e+01
 1.070639663929233e+00	 1.802948147495661e-01	 1.877860422105887e+01
 1.066506091847869e+00	 2.033230588385519e-01	 1.852695414697673e+01
 1.061844711801323e+00	 2.264096248476345e-01	 1.825055899782182e+01
 1.100000000000000e+00	 0.000000000000000e+00	 1.924739636206923e+01
 1.099773643023997e+00	 2.231443724870699e-02	 1.924225716679329e+01
 1.099087200000623e+00	 4.480320072037468e-02	 1.920634619336433e+01
 1.097929847736515e+00	 6.745405435755464e-02	 1.913981776691334e+01
 1.096291107890649e+00	 9.025412322931507e-02	 1.904306119261733e+01
 1.094160886980672e+00	 1.131898997334591e-01	 1.891670877623303e+01
 1.091529516867459e+00	 1.362472524753825e-01	 1.876164279013732e+01
 1.088387795529944e+00	 1.594114379254778e-01	 1.857900124994701e+01
 1.084727027928302e+00	 1.826671149436393e-01	 1.837018236816931e+01
 1.080539066740605e+00	 2.059983622443223e-01	 1.813684755496648e+01
 1.075816352746078e+00	 2.293886988587875e-01	 1.788092284216381e+01
 1.114285714285715e+00	 0.000000000000000e+00	 1.879838848564476e+01
 1.114056417608724e+00	 2.260423513505383e-02	 1.879462478232484e+01
 1.113361059740891e+00	 4.538506046998994e-02	 1.876182009427438e+01
 1.112188676927899e+00	 6.833008103752287e-02	 1.870022650081058e+01
 1.110528654746372e+00	 9.142625469982567e-02	 1.861031545784938e+01
 1.108370768629771e+00	 1.146598984312962e-01	 1.849278458091730e+01
 1.105705224878725e+00	 1.380166973127252e-01	 1.834856342239319e+01
 1.102522701965398e+00	 1.614817163400944e-01	 1.817881811959722e+01
 1.098814391927371e+00	 1.850394151377125e-01	 1.798495479196665e+01
 1.094572041633340e+00	 2.086736656500927e-01	 1.776862156935881e+01
 1.089787993690832e+00	 2.323677728699406e-01	 1.753170913965886e+01
 1.128571428571429e+00	 0.000000000000000e+00	 1.837370940022228e+01
 1.128339192193451e+00	 2.289403302140067e-02	 1.837129302571238e+01
 1.127634919481159e+00	 4.596692021960519e-02	 1.834141263372085e+01
 1.126447506119282e+00	 6.920610771749112e-02	 1.828441666011399e+01
 1.124766201602095e+00	 9.259838617033624e-02	 1.820085824708707e+01
 1.122580650278870e+00	 1.161298971291334e-01	 1.809150084600024e+01
 1.119880932889991e+00	 1.397861421500678e-01	 1.795732285963223e+01
 1.116657608400852e+00	 1.635519947547110e-01	 1.779952121117488e+01
 1.112901755926440e+00	 1.874117153317858e-01	 1.761951372914717e+01
 1.108605016526075e+00	 2.113489690558632e-01	 1.741894024138791e+01
 1.103759634635586e+00	 2.353468468810937e-01	 1.719966227753481e+01
 1.142857142857143e+00	 0.000000000000000e+00	 1.796987702838659e+01
 1.142621966778179e+00	 2.318383090774752e-02	 1.796877935184840e+01
 1.141908779221426e+00	 4.654877996922045e-02	 1.794164966997005e+01
 1.140706335310665e+00	 7.008213439745935e-02	 1.788893138165299e+01
 1.139003748457817e+00	 9.377051764084682e-02	 1.781125882640767e+01
 1.136790531927970e+00	 1.175998958269705e-01	 1.770946176361658e+01
 1.134056640901256e+00	 1.415555869874104e-01	 1.758456893293919e+01
 1.130792514836306e+00	 1.656222731693276e-01	 1.743781059304643e+01
 1.126989119925508e+00	 1.897840155258590e-01	 1.727061993795688e+01
 1.122637991418810e+00	 2.140242724616336e-01	 1.708463329441181e+01
 1.117731275580340e+00	 2.383259208922468e-01	 1.688168901011225e+01
 9.780148661327976e-01	 2.085351807807159e-01	 2.110287802848320e+01
 9.732290496522831e-01	 2.298373705751832e-01	 2.062534039292884e+01
 9.679450980693772e-01	 2.511618743429501e-01	 2.010318536118320e+01
 9.621579570512621e-01	 2.724923222458603e-01	 1.953875881760769e+01
 9.558632461069742e-01	 2.938119377115879e-01	 1.893478041845740e+01
 9.490572903155012e-01	 3.151035697972945e-01	 1.829434405169123e+01
 9.417371503486140e-01	 3.363497281896808e-01	 1.762091585049747e+01
 9.339006505507231e-01	 3.575326207508009e-01	 1.691832965460961e+01
 9.255464048419428e-01	 3.786341934957203e-01	 1.619077983510500e+01
 9.166738402169075e-01	 3.996361728647543e-01	 1.544281142222085e+01
 9.072832176207859e-01	 4.205201101299123e-01	 1.467930750148308e+01
 9.919865070775523e-01	 2.115142547918691e-01	 2.053179765394975e+01
 9.871323217901729e-01	 2.331207615834001e-01	 2.008820516140802e+01
 9.817728851846540e-01	 2.547499011192779e-01	 1.960245133785208e+01
 9.759030707234233e-01	 2.763850697065156e-01	 1.907681386114770e+01
 9.695184353370739e-01	 2.980092511074677e-01	 1.851391153170783e+01
 9.626152516057227e-01	 3.196050493658273e-01	 1.791670389393666e+01
 9.551905382107371e-01	 3.411547243066764e-01	 1.728848861787959e+01
 9.472420884157332e-01	 3.626402296186693e-01	 1.663289655149419e+01
 9.387684963396846e-01	 3.840432534028021e-01	 1.595388437420186e+01
 9.297691807914344e-01	 4.053452610485364e-01	 1.525572480455175e+01
 9.202444064439402e-01	 4.265275402746255e-01	 1.454299433862127e+01
 1.005958148022306e+00	 2.144933288030221e-01	 2.000474077821965e+01
 1.001035593928062e+00	 2.364041525916170e-01	 1.959287173288668e+01
 9.956006722999308e-01	 2.583379278956057e-01	 1.914110545932434e+01
 9.896481843955840e-01	 2.802778171671708e-01	 1.865165608033319e+01
 9.831736245671735e-01	 3.022065645033475e-01	 1.812704809071766e+01
 9.761732128959438e-01	 3.241065289343600e-01	 1.757011518913505e+01
 9.686439260728597e-01	 3.459597204236716e-01	 1.698399706452716e+01
 9.605835262807438e-01	 3.677478384865382e-01	 1.637213406300537e+01
 9.519905878374270e-01	 3.894523133098838e-01	 1.573825968004638e+01
 9.428645213659619e-01	 4.110543492323185e-01	 1.508639084348954e+01
 9.332055952670942e-01	 4.325349704193383e-01	 1.442081597479284e+01
 1.019929788967060e+00	 2.174724028141751e-01	 1.951722222599180e+01
 1.014938866065952e+00	 2.396875435998339e-01	 1.913497394098843e+01
 1.009428459415208e+00	 2.619259546719336e-01	 1.871491515578922e+01
 1.003393298067745e+00	 2.841705646278258e-01	 1.825920101238365e+01
 9.968288137972734e-01	 3.064038778992275e-01	 1.777026811415618e+01
 9.897311741861657e-01	 3.286080085028928e-01	 1.725083261530923e+01
 9.820973139349831e-01	 3.507647165406672e-01	 1.670388644736536e+01
 9.739249641457540e-01	 3.728554473544068e-01	 1.613269162321701e+01
 9.652126793351687e-01	 3.948613732169654e-01	 1.554077257703871e+01
 9.559598619404892e-01	 4.167634374161008e-01	 1.493190651759968e+01
 9.461667840902481e-01	 4.385424005640514e-01	 1.431011179280237e+01
 1.033901429911815e+00	 2.204514768253283e-01	 1.906499733539392e+01
 1.028842138203842e+00	 2.429709346080507e-01	 1.871038035468708e+01
 1.023256246530484e+00	 2.655139814482615e-01	 1.831987600191706e+01
 1.017138411739905e+00	 2.880633120884808e-01	 1.789558493738061e+01
 1.010484003027373e+00	 3.106011912951073e-01	 1.743986215681081e+01
 1.003289135476387e+00	 3.331094880714255e-01	 1.695531438402060e+01
 9.955507017971060e-01	 3.555697126576626e-01	 1.644479577145277e+01
 9.872664020107647e-01	 3.779630562222753e-01	 1.591140186287208e+01
 9.784347708329104e-01	 4.002704331240472e-01	 1.535846178925686e+01
 9.690552025150165e-01	 4.224725255998831e-01	 1.478952868689450e+01
 9.591279729134023e-01	 4.445498307087645e-01	 1.420836834543226e+01
 1.047873070856569e+00	 2.234305508364814e-01	 1.864404617390774e+01
 1.042745410341732e+00	 2.462543256162677e-01	 1.831517889388345e+01
