patch_n	x	y	disp_x	disp_y
0	 1.000000e+00	 0.000000e+00	-4.721960e-05	 0.000000e+00
0	 9.999184e-01	 1.277180e-02	-4.721616e-05	 1.742834e-06
0	 9.996730e-01	 2.557294e-02	-4.720478e-05	 3.489520e-06
0	 9.992624e-01	 3.840038e-02	-4.718545e-05	 5.239660e-06
0	 9.986858e-01	 5.125101e-02	-4.715814e-05	 6.992852e-06
0	 9.979421e-01	 6.412169e-02	-4.712287e-05	 8.748688e-06
0	 9.970304e-01	 7.700924e-02	-4.707962e-05	 1.050675e-05
0	 9.959499e-01	 8.991045e-02	-4.702836e-05	 1.226661e-05
0	 9.946998e-01	 1.028221e-01	-4.696906e-05	 1.402784e-05
0	 9.932795e-01	 1.157408e-01	-4.690169e-05	 1.578999e-05
0	 9.916883e-01	 1.286633e-01	-4.682624e-05	 1.755263e-05
0	 9.899259e-01	 1.415864e-01	-4.674267e-05	 1.931529e-05
0	 9.879918e-01	 1.545065e-01	-4.665097e-05	 2.107754e-05
0	 9.858856e-01	 1.674204e-01	-4.655111e-05	 2.283891e-05
0	 9.836071e-01	 1.803247e-01	-4.644310e-05	 2.459893e-05
0	 9.811563e-01	 1.932158e-01	-4.632691e-05	 2.635716e-05
0	 9.785329e-01	 2.060905e-01	-4.620253e-05	 2.811311e-05
0	 9.757371e-01	 2.189453e-01	-4.606998e-05	 2.986633e-05
0	 9.727690e-01	 2.317767e-01	-4.592925e-05	 3.161633e-05
0	 9.696288e-01	 2.445813e-01	-4.578034e-05	 3.336265e-05
0	 9.663168e-01	 2.573556e-01	-4.562327e-05	 3.510483e-05
0	 9.628333e-01	 2.700963e-01	-4.545804e-05	 3.684237e-05
0	 9.591790e-01	 2.827998e-01	-4.528468e-05	 3.857482e-05
0	 9.553543e-01	 2.954628e-01	-4.510322e-05	 4.030170e-05
0	 9.513599e-01	 3.080818e-01	-4.491367e-05	 4.202253e-05
0	 9.471966e-01	 3.206534e-01	-4.471607e-05	 4.373686e-05
0	 9.428653e-01	 3.331743e-01	-4.451045e-05	 4.544421e-05
0	 9.383668e-01	 3.456410e-01	-4.429686e-05	 4.714412e-05
0	 9.337023e-01	 3.580504e-01	-4.407535e-05	 4.883613e-05
0	 9.288728e-01	 3.703989e-01	-4.384595e-05	 5.051977e-05
0	 9.238795e-01	 3.826834e-01	-4.360872e-05	 5.219460e-05
0	 9.187238e-01	 3.949007e-01	-4.336373e-05	 5.386017e-05
0	 9.134071e-01	 4.070474e-01	-4.311102e-05	 5.551603e-05
0	 9.079307e-01	 4.191204e-01	-4.285069e-05	 5.716174e-05
0	 9.022962e-01	 4.311166e-01	-4.258278e-05	 5.879686e-05
0	 8.965053e-01	 4.430329e-01	-4.230738e-05	 6.042097e-05
0	 8.905597e-01	 4.548663e-01	-4.202457e-05	 6.203364e-05
0	 8.844612e-01	 4.666137e-01	-4.173443e-05	 6.363446e-05
0	 8.782116e-01	 4.782723e-01	-4.143705e-05	 6.522302e-05
0	 8.718129e-01	 4.898391e-01	-4.113253e-05	 6.679892e-05
0	 8.652670e-01	 5.013112e-01	-4.082096e-05	 6.836176e-05
0	 8.585762e-01	 5.126860e-01	-4.050245e-05	 6.991117e-05
0	 8.517424e-01	 5.239607e-01	-4.017710e-05	 7.144675e-05
0	 8.447680e-01	 5.351326e-01	-3.984501e-05	 7.296815e-05
0	 8.376553e-01	 5.461993e-01	-3.950632e-05	 7.447501e-05
0	 8.304065e-01	 5.571580e-01	-3.916112e-05	 7.596697e-05
0	 8.230241e-01	 5.680065e-01	-3.880955e-05	 7.744369e-05
0	 8.155105e-01	 5.787423e-01	-3.845174e-05	 7.890485e-05
0	 8.078683e-01	 5.893631e-01	-3.808782e-05	 8.035010e-05
0	 8.001000e-01	 5.998666e-01	-3.771792e-05	 8.177915e-05
0	 7.922083e-01	 6.102508e-01	-3.734219e-05	 8.319168e-05
0	 7.841957e-01	 6.205135e-01	-3.696077e-05	 8.458739e-05
0	 7.760651e-01	 6.306528e-01	-3.657382e-05	 8.596599e-05
0	 7.678192e-01	 6.406666e-01	-3.618153e-05	 8.732716e-05
0	 7.594607e-01	 6.505532e-01	-3.578406e-05	 8.867062e-05
0	 7.509925e-01	 6.603107e-01	-3.538160e-05	 8.999609e-05
0	 7.424174e-01	 6.699376e-01	-3.497432e-05	 9.130329e-05
0	 7.337384e-01	 6.794321e-01	-3.456250e-05	 9.259182e-05
0	 7.249583e-01	 6.887927e-01	-3.414642e-05	 9.386129e-05
0	 7.160801e-01	 6.980181e-01	-3.372635e-05	 9.511132e-05
0	 7.071068e-01	 7.071068e-01	-3.330259e-05	 9.634153e-05
0	 1.066667e+00	 0.000000e+00	-5.054314e-05	 0.000000e+00
0	 1.066750e+00	 1.395072e-02	-5.054362e-05	 1.602667e-06
0	 1.066668e+00	 2.793590e-02	-5.053089e-05	 3.208050e-06
0	 1.066419e+00	 4.195230e-02	-5.050486e-05	 4.815792e-06
0	 1.066001e+00	 5.599659e-02	-5.046543e-05	 6.425529e-06
0	 1.065415e+00	 7.006541e-02	-5.041251e-05	 8.036896e-06
0	 1.064658e+00	 8.415537e-02	-5.034603e-05	 9.649524e-06
0	 1.063730e+00	 9.826302e-02	-5.026591e-05	 1.126305e-05
0	 1.062630e+00	 1.123849e-01	-5.017208e-05	 1.287712e-05
0	 1.061358e+00	 1.265175e-01	-5.006449e-05	 1.449137e-05
0	 1.059912e+00	 1.406572e-01	-4.994308e-05	 1.610543e-05
0	 1.058293e+00	 1.548006e-01	-4.980782e-05	 1.771893e-05
0	 1.056500e+00	 1.689439e-01	-4.965867e-05	 1.933153e-05
0	 1.054532e+00	 1.830836e-01	-4.949564e-05	 2.094290e-05
0	 1.052389e+00	 1.972161e-01	-4.931872e-05	 2.255268e-05
0	 1.050071e+00	 2.113376e-01	-4.912792e-05	 2.416054e-05
0	 1.047579e+00	 2.254445e-01	-4.892325e-05	 2.576614e-05
0	 1.044911e+00	 2.395331e-01	-4.870478e-05	 2.736917e-05
0	 1.042068e+00	 2.535998e-01	-4.847255e-05	 2.896931e-05
0	 1.039051e+00	 2.676408e-01	-4.822665e-05	 3.056626e-05
0	 1.035858e+00	 2.816524e-01	-4.796716e-05	 3.215970e-05
0	 1.032492e+00	 2.956310e-01	-4.769416e-05	 3.374935e-05
0	 1.028952e+00	 3.095728e-01	-4.740781e-05	 3.533491e-05
0	 1.025238e+00	 3.234741e-01	-4.710823e-05	 3.691611e-05
0	 1.021352e+00	 3.373313e-01	-4.679561e-05	 3.849268e-05
