patch_n	x	y	disp_x	disp_y
1	 1.000000e+00	 0.000000e+00	-2.799431e-05	 9.337279e-21
1	 9.991702e-01	 4.073018e-02	-2.797569e-05	 4.208165e-06
1	 9.966283e-01	 8.204920e-02	-2.791844e-05	 8.476452e-06
1	 9.922996e-01	 1.238611e-01	-2.781956e-05	 1.279222e-05
1	 9.861155e-01	 1.660610e-01	-2.767651e-05	 1.714256e-05
1	 9.780149e-01	 2.085352e-01	-2.748719e-05	 2.151447e-05
1	 9.679451e-01	 2.511619e-01	-2.724961e-05	 2.589425e-05
1	 9.558632e-01	 2.938119e-01	-2.696074e-05	 3.026501e-05
1	 9.417372e-01	 3.363497e-01	-2.661752e-05	 3.460925e-05
1	 9.255464e-01	 3.786342e-01	-2.621727e-05	 3.890983e-05
1	 9.072832e-01	 4.205201e-01	-2.575762e-05	 4.315008e-05
1	 8.869531e-01	 4.618595e-01	-2.523669e-05	 4.731348e-05
1	 8.645755e-01	 5.025030e-01	-2.465352e-05	 5.138238e-05
1	 8.401838e-01	 5.423017e-01	-2.400761e-05	 5.533935e-05
1	 8.138260e-01	 5.811086e-01	-2.329879e-05	 5.916758e-05
1	 7.855640e-01	 6.187804e-01	-2.252718e-05	 6.285106e-05
1	 7.554734e-01	 6.551793e-01	-2.169361e-05	 6.637499e-05
1	 7.236431e-01	 6.901743e-01	-2.080101e-05	 6.972735e-05
1	 6.901743e-01	 7.236431e-01	-1.985295e-05	 7.289757e-05
1	 6.551793e-01	 7.554734e-01	-1.885302e-05	 7.587626e-05
1	 6.187804e-01	 7.855640e-01	-1.780482e-05	 7.865531e-05
1	 5.811086e-01	 8.138260e-01	-1.671241e-05	 8.122848e-05
1	 5.423017e-01	 8.401838e-01	-1.558209e-05	 8.359265e-05
1	 5.025030e-01	 8.645755e-01	-1.442042e-05	 8.574689e-05
1	 4.618595e-01	 8.869531e-01	-1.323357e-05	 8.769224e-05
1	 4.205201e-01	 9.072832e-01	-1.202721e-05	 8.943183e-05
1	 3.786342e-01	 9.255464e-01	-1.080680e-05	 9.097029e-05
1	 3.363497e-01	 9.417372e-01	-9.578369e-06	 9.231184e-05
1	 2.938119e-01	 9.558632e-01	-8.347593e-06	 9.346239e-05
1	 2.511619e-01	 9.679451e-01	-7.119495e-06	 9.443025e-05
1	 2.085352e-01	 9.780149e-01	-5.898442e-06	 9.522605e-05
1	 1.660610e-01	 9.861155e-01	-4.688085e-06	 9.586082e-05
