xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.9619471138e+01	-8.4891640724e-01
 0.0000000000e+00	 1.0000000000e-01	 9.8944345048e-01	 1.4491948902e-01	 2.8648795627e+01	-1.9088552691e+00
 0.0000000000e+00	 2.0000000000e-01	 9.5586324611e-01	 2.9381193771e-01	 2.7051800353e+01	-1.2143562385e+00
 0.0000000000e+00	 3.0000000000e-01	 8.9737565000e-01	 4.4126742775e-01	 2.2681938800e+01	-5.0834351752e-01
 0.0000000000e+00	 4.0000000000e-01	 8.1382603605e-01	 5.8110858111e-01	 1.6290710725e+01	-3.9504203934e-02
 0.0000000000e+00	 5.0000000000e-01	 7.0710678119e-01	 7.0710678119e-01	 1.0571123800e+01	 8.3027783008e-01
 1.0000000000e-01	 0.0000000000e+00	 1.1000000000e+00	 0.0000000000e+00	 2.5781978486e+01	 2.9900462364e+00
 1.0000000000e-01	 1.0000000000e-01	 1.0883877955e+00	 1.5941143793e-01	 2.4308823801e+01	 2.4741722658e+00
 1.0000000000e-01	 2.0000000000e-01	 1.0514495707e+00	 3.2319313148e-01	 2.2657131553e+01	 2.2577920140e+00
 1.0000000000e-01	 3.0000000000e-01	 9.8711321499e-01	 4.8539417053e-01	 1.9152891844e+01	 1.6821951794e+00
 1.0000000000e-01	 4.0000000000e-01	 8.9520863966e-01	 6.3921943923e-01	 1.3802937039e+01	 5.4972224993e-01
 1.0000000000e-01	 5.0000000000e-01	 7.7781745931e-01	 7.7781745931e-01	 1.0311298490e+01	-1.5438590352e-01
 2.0000000000e-01	 0.0000000000e+00	 1.2000000000e+00	 0.0000000000e+00	 2.1532717945e+01	 3.2654530736e+00
 2.0000000000e-01	 1.0000000000e-01	 1.1873321406e+00	 1.7390338683e-01	 2.0260375320e+01	 2.9281077520e+00
 2.0000000000e-01	 2.0000000000e-01	 1.1470358953e+00	 3.5257432525e-01	 1.9138140868e+01	 2.5392787532e+00
 2.0000000000e-01	 3.0000000000e-01	 1.0768507800e+00	 5.2952091330e-01	 1.7408354335e+01	 2.4432870191e+00
 2.0000000000e-01	 4.0000000000e-01	 9.7659124326e-01	 6.9733029734e-01	 1.3628541746e+01	 9.2834153025e-01
 2.0000000000e-01	 5.0000000000e-01	 8.4852813742e-01	 8.4852813742e-01	 1.1097638317e+01	-8.5540012555e-01
 3.0000000000e-01	 0.0000000000e+00	 1.3000000000e+00	 0.0000000000e+00	 1.8504691755e+01	 3.5337763549e+00
 3.0000000000e-01	 1.0000000000e-01	 1.2862764856e+00	 1.8839533573e-01	 1.7889304854e+01	 3.3509621013e+00
 3.0000000000e-01	 2.0000000000e-01	 1.2426222199e+00	 3.8195551903e-01	 1.7195915761e+01	 2.4578428731e+00
 3.0000000000e-01	 3.0000000000e-01	 1.1665883450e+00	 5.7364765608e-01	 1.6241724587e+01	 1.6001390262e+00
 3.0000000000e-01	 4.0000000000e-01	 1.0579738469e+00	 7.5544115545e-01	 1.4190009507e+01	 6.0620613698e-01
 3.0000000000e-01	 5.0000000000e-01	 9.1923881554e-01	 9.1923881554e-01	 1.1736706004e+01	-1.6144130891e+00
 4.0000000000e-01	 0.0000000000e+00	 1.4000000000e+00	 0.0000000000e+00	 1.6492255630e+01	 3.7331048222e+00
 4.0000000000e-01	 1.0000000000e-01	 1.3852208307e+00	 2.0288728463e-01	 1.6547498686e+01	 3.6051870791e+00
 4.0000000000e-01	 2.0000000000e-01	 1.3382085445e+00	 4.1133671280e-01	 1.6088947385e+01	 2.3604847727e+00
 4.0000000000e-01	 3.0000000000e-01	 1.2563259100e+00	 6.1777439885e-01	 1.5490626516e+01	 9.3539340867e-01
 4.0000000000e-01	 4.0000000000e-01	 1.1393564505e+00	 8.1355201356e-01	 1.4195729536e+01	-3.4012762004e-01
 4.0000000000e-01	 5.0000000000e-01	 9.8994949366e-01	 9.8994949366e-01	 1.1975593911e+01	-2.1718657890e+00
 5.0000000000e-01	 0.0000000000e+00	 1.5000000000e+00	 0.0000000000e+00	 1.5165194448e+01	 3.6902179945e+00
 5.0000000000e-01	 1.0000000000e-01	 1.4841651757e+00	 2.1737923353e-01	 1.5578182680e+01	 3.4357707023e+00
 5.0000000000e-01	 2.0000000000e-01	 1.4337948692e+00	 4.4071790657e-01	 1.5113398852e+01	 1.8925306867e+00
 5.0000000000e-01	 3.0000000000e-01	 1.3460634750e+00	 6.6190114163e-01	 1.4732421773e+01	 2.8227311312e-01
 5.0000000000e-01	 4.0000000000e-01	 1.2207390541e+00	 8.7166287167e-01	 1.3906885251e+01	-9.0297877747e-01
 5.0000000000e-01	 5.0000000000e-01	 1.0606601718e+00	 1.0606601718e+00	 1.2159525774e+01	-2.2155857574e+00
 0.0000000000e+00	 5.0000000000e-01	 7.0710678119e-01	 7.0710678119e-01	 1.0571123800e+01	 8.3027783008e-01
 0.0000000000e+00	 6.0000000000e-01	 5.8110858111e-01	 8.1382603605e-01	 5.4791203243e+00	 2.4932942569e+00
 0.0000000000e+00	 7.0000000000e-01	 4.4126742775e-01	 8.9737565000e-01	 5.1357115347e+00	-7.1726790948e-01
 0.0000000000e+00	 8.0000000000e-01	 2.9381193771e-01	 9.5586324611e-01	 6.8458121033e+00	-4.0925750692e+00
 0.0000000000e+00	 9.0000000000e-01	 1.4491948902e-01	 9.8944345048e-01	 7.1757258598e+00	-6.5328134602e+00
 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 2.2550533365e+00	-9.6986487912e+00
 1.0000000000e-01	 5.0000000000e-01	 7.7781745931e-01	 7.7781745931e-01	 1.0311298490e+01	-1.5438590352e-01
 1.0000000000e-01	 6.0000000000e-01	 6.3921943923e-01	 8.9520863966e-01	 5.9661268273e+00	-1.4077854113e+00
 1.0000000000e-01	 7.0000000000e-01	 4.8539417053e-01	 9.8711321499e-01	 3.6096160289e-01	-3.2679199214e+00
 1.0000000000e-01	 8.0000000000e-01	 3.2319313148e-01	 1.0514495707e+00	-1.7056442548e+00	-5.4997771930e+00
 1.0000000000e-01	 9.0000000000e-01	 1.5941143793e-01	 1.0883877955e+00	-1.6096810527e+00	-6.8883064100e+00
 1.0000000000e-01	 1.0000000000e+00	 0.0000000000e+00	 1.1000000000e+00	-3.1049828421e+00	-7.6382799373e+00
 2.0000000000e-01	 5.0000000000e-01	 8.4852813742e-01	 8.4852813742e-01	 1.1097638317e+01	-8.5540012555e-01
 2.0000000000e-01	 6.0000000000e-01	 6.9733029734e-01	 9.7659124326e-01	 6.8895183858e+00	-2.8217253253e+00
 2.0000000000e-01	 7.0000000000e-01	 5.2952091330e-01	 1.0768507800e+00	 1.8598624505e+00	-4.2897831000e+00
 2.0000000000e-01	 8.0000000000e-01	 3.5257432525e-01	 1.1470358953e+00	 9.7111544209e-01	-4.4442831911e+00
 2.0000000000e-01	 9.0000000000e-01	 1.7390338683e-01	 1.1873321406e+00	 5.7102661152e-03	-4.5687667094e+00
 2.0000000000e-01	 1.0000000000e+00	 0.0000000000e+00	 1.2000000000e+00	-3.2180857919e-01	-4.0688180188e+00
 3.0000000000e-01	 5.0000000000e-01	 9.1923881554e-01	 9.1923881554e-01	 1.1736706004e+01	-1.6144130891e+00
 3.0000000000e-01	 6.0000000000e-01	 7.5544115545e-01	 1.0579738469e+00	 8.0939094530e+00	-3.3630839258e+00
 3.0000000000e-01	 7.0000000000e-01	 5.7364765608e-01	 1.1665883450e+00	 5.4248762356e+00	-3.1634707242e+00
 3.0000000000e-01	 8.0000000000e-01	 3.8195551903e-01	 1.2426222199e+00	 3.8818807650e+00	-3.1341356476e+00
 3.0000000000e-01	 9.0000000000e-01	 1.8839533573e-01	 1.2862764856e+00	 1.4760213288e+00	-3.0848991153e+00
 3.0000000000e-01	 1.0000000000e+00	 0.0000000000e+00	 1.3000000000e+00	 1.1994987233e+00	-2.0419036798e+00
 4.0000000000e-01	 5.0000000000e-01	 9.8994949366e-01	 9.8994949366e-01	 1.1975593911e+01	-2.1718657890e+00
 4.0000000000e-01	 6.0000000000e-01	 8.1355201356e-01	 1.1393564505e+00	 9.5321249922e+00	-3.3545800435e+00
 4.0000000000e-01	 7.0000000000e-01	 6.1777439885e-01	 1.2563259100e+00	 7.2995683728e+00	-2.8466155708e+00
 4.0000000000e-01	 8.0000000000e-01	 4.1133671280e-01	 1.3382085445e+00	 5.4381505514e+00	-2.5006419205e+00
 4.0000000000e-01	 9.0000000000e-01	 2.0288728463e-01	 1.3852208307e+00	 2.4650869970e+00	-2.0948539850e+00
 4.0000000000e-01	 1.0000000000e+00	 0.0000000000e+00	 1.4000000000e+00	 1.7606743645e+00	-1.1851907113e+00
 5.0000000000e-01	 5.0000000000e-01	 1.0606601718e+00	 1.0606601718e+00	 1.2159525774e+01	-2.2155857574e+00
 5.0000000000e-01	 6.0000000000e-01	 8.7166287167e-01	 1.2207390541e+00	 1.0604006975e+01	-2.8318415220e+00
 5.0000000000e-01	 7.0000000000e-01	 6.6190114163e-01	 1.3460634750e+00	 8.6098338796e+00	-2.4055740976e+00
 5.0000000000e-01	 8.0000000000e-01	 4.4071790657e-01	 1.4337948692e+00	 6.5678944346e+00	-1.9547555819e+00
 5.0000000000e-01	 9.0000000000e-01	 2.1737923353e-01	 1.4841651757e+00	 3.1525236496e+00	-1.3569896673e+00
 5.0000000000e-01	 1.0000000000e+00	 0.0000000000e+00	 1.5000000000e+00	 1.7380909846e+00	-1.0798645896e+00
 5.0000000000e-01	 0.0000000000e+00	 1.5000000000e+00	 0.0000000000e+00	 1.5165194448e+01	 3.6902179945e+00
 5.0000000000e-01	 1.0000000000e-01	 1.4841651757e+00	 2.1737923353e-01	 1.5578182680e+01	 3.4357707023e+00
 5.0000000000e-01	 2.0000000000e-01	 1.4337948692e+00	 4.4071790657e-01	 1.5113398852e+01	 1.8925306867e+00
 5.0000000000e-01	 3.0000000000e-01	 1.3460634750e+00	 6.6190114163e-01	 1.4732421773e+01	 2.8227311312e-01
 5.0000000000e-01	 4.0000000000e-01	 1.2207390541e+00	 8.7166287167e-01	 1.3906885251e+01	-9.0297877747e-01
 5.0000000000e-01	 5.0000000000e-01	 1.0606601718e+00	 1.0606601718e+00	 1.2159525774e+01	-2.2155857574e+00
 6.0000000000e-01	 0.0000000000e+00	 1.6000000000e+00	 0.0000000000e+00	 1.4237244346e+01	 3.3008682751e+00
 6.0000000000e-01	 1.0000000000e-01	 1.5831095208e+00	 2.3187118244e-01	 1.4636683123e+01	 3.0336416045e+00
 6.0000000000e-01	 2.0000000000e-01	 1.5293811938e+00	 4.7009910034e-01	 1.4448912659e+01	 1.9954170217e+00
 6.0000000000e-01	 3.0000000000e-01	 1.4358010400e+00	 7.0602788440e-01	 1.4138670624e+01	 1.3351218573e-01
 6.0000000000e-01	 4.0000000000e-01	 1.3021216577e+00	 9.2977372978e-01	 1.3504596583e+01	-1.0277100919e+00
 6.0000000000e-01	 5.0000000000e-01	 1.1313708499e+00	 1.1313708499e+00	 1.2346836200e+01	-1.9241106818e+00
 7.0000000000e-01	 0.0000000000e+00	 1.7000000000e+00	 0.0000000000e+00	 1.3760161441e+01	 3.2400461758e+00
 7.0000000000e-01	 1.0000000000e-01	 1.6820538658e+00	 2.4636313134e-01	 1.3842396024e+01	 2.8533492945e+00
 7.0000000000e-01	 2.0000000000e-01	 1.6249675184e+00	 4.9948029411e-01	 1.3951947016e+01	 2.2223408891e+00
 7.0000000000e-01	 3.0000000000e-01	 1.5255386050e+00	 7.5015462718e-01	 1.3991704409e+01	 9.0454651405e-01
 7.0000000000e-01	 4.0000000000e-01	 1.3835042613e+00	 9.8788458790e-01	 1.3052377301e+01	-8.5839592548e-01
 7.0000000000e-01	 5.0000000000e-01	 1.2020815280e+00	 1.2020815280e+00	 1.2007237240e+01	-1.8541799798e+00
 8.0000000000e-01	 0.0000000000e+00	 1.8000000000e+00	 0.0000000000e+00	 1.3487314528e+01	 3.4008496153e+00
 8.0000000000e-01	 1.0000000000e-01	 1.7809982109e+00	 2.6085508024e-01	 1.3238178081e+01	 2.8523766250e+00
 8.0000000000e-01	 2.0000000000e-01	 1.7205538430e+00	 5.2886148788e-01	 1.3527213376e+01	 2.1773027191e+00
 8.0000000000e-01	 3.0000000000e-01	 1.6152761700e+00	 7.9428136995e-01	 1.3665492440e+01	 1.1148176595e+00
 8.0000000000e-01	 4.0000000000e-01	 1.4648868649e+00	 1.0459954460e+00	 1.2674386826e+01	-6.8327155498e-01
 8.0000000000e-01	 5.0000000000e-01	 1.2727922061e+00	 1.2727922061e+00	 1.1575740437e+01	-2.0299678698e+00
 9.0000000000e-01	 0.0000000000e+00	 1.9000000000e+00	 0.0000000000e+00	 1.3143013599e+01	 3.4568173056e+00
 9.0000000000e-01	 1.0000000000e-01	 1.8799425559e+00	 2.7534702914e-01	 1.2836411935e+01	 2.9152959672e+00
 9.0000000000e-01	 2.0000000000e-01	 1.8161401676e+00	 5.5824268165e-01	 1.3141997812e+01	 1.7555540213e+00
 9.0000000000e-01	 3.0000000000e-01	 1.7050137350e+00	 8.3840811273e-01	 1.3212340890e+01	 5.4042466963e-01
 9.0000000000e-01	 4.0000000000e-01	 1.5462694685e+00	 1.1041063041e+00	 1.2655783154e+01	-7.8838135153e-01
 9.0000000000e-01	 5.0000000000e-01	 1.3435028843e+00	 1.3435028843e+00	 1.1893957639e+01	-2.1571006291e+00
 1.0000000000e+00	 0.0000000000e+00	 2.0000000000e+00	 0.0000000000e+00	 1.1883550457e+01	 1.6845800908e+00
