xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.0175712754e+01
 0.0000000000e+00	 1.1764705882e-02	 9.9986064260e-01	 1.6694172137e-02	 3.0164943586e+01
 0.0000000000e+00	 2.3529411765e-02	 9.9943881383e-01	 3.3497125286e-02	 3.0130080822e+01
 0.0000000000e+00	 3.5294117647e-02	 9.9872897451e-01	 5.0402732834e-02	 3.0071336024e+01
 0.0000000000e+00	 4.7058823529e-02	 9.9772572376e-01	 6.7404600309e-02	 2.9988626001e+01
 0.0000000000e+00	 5.8823529412e-02	 9.9642381276e-01	 8.4496067130e-02	 2.9881584537e+01
 1.1764705882e-02	 0.0000000000e+00	 1.0117647059e+00	 0.0000000000e+00	 2.9197532092e+01
 1.1764705882e-02	 1.1764705882e-02	 1.0116237090e+00	 1.6890574162e-02	 2.9187524247e+01
 1.1764705882e-02	 2.3529411765e-02	 1.0111969175e+00	 3.3891209113e-02	 2.9154355845e+01
 1.1764705882e-02	 3.5294117647e-02	 1.0104787271e+00	 5.0995706161e-02	 2.9098194191e+01
 1.1764705882e-02	 4.7058823529e-02	 1.0094636735e+00	 6.8197595607e-02	 2.9018922605e+01
 1.1764705882e-02	 5.8823529412e-02	 1.0081464459e+00	 8.5490138508e-02	 2.8916152595e+01
 2.3529411765e-02	 0.0000000000e+00	 1.0235294118e+00	 0.0000000000e+00	 2.8278925154e+01
 2.3529411765e-02	 1.1764705882e-02	 1.0233867754e+00	 1.7086976187e-02	 2.8269540343e+01
 2.3529411765e-02	 2.3529411765e-02	 1.0229550212e+00	 3.4285292940e-02	 2.8237955379e+01
 2.3529411765e-02	 3.5294117647e-02	 1.0222284798e+00	 5.1588679489e-02	 2.8184289726e+01
 2.3529411765e-02	 4.7058823529e-02	 1.0212016231e+00	 6.8990590905e-02	 2.8108391333e+01
 2.3529411765e-02	 5.8823529412e-02	 1.0198690789e+00	 8.6484209886e-02	 2.8009849270e+01
 3.5294117647e-02	 0.0000000000e+00	 1.0352941176e+00	 0.0000000000e+00	 2.7415976052e+01
 3.5294117647e-02	 1.1764705882e-02	 1.0351498417e+00	 1.7283378212e-02	 2.7407094650e+01
 3.5294117647e-02	 2.3529411765e-02	 1.0347131249e+00	 3.4679376767e-02	 2.7376997390e+01
 3.5294117647e-02	 3.5294117647e-02	 1.0339782324e+00	 5.2181652816e-02	 2.7325752371e+01
 3.5294117647e-02	 4.7058823529e-02	 1.0329395728e+00	 6.9783586202e-02	 2.7253170307e+01
 3.5294117647e-02	 5.8823529412e-02	 1.0315917120e+00	 8.7478281264e-02	 2.7158817595e+01
 4.7058823529e-02	 0.0000000000e+00	 1.0470588235e+00	 0.0000000000e+00	 2.6604846214e+01
 4.7058823529e-02	 1.1764705882e-02	 1.0469129081e+00	 1.7479780237e-02	 2.6596366460e+01
 4.7058823529e-02	 2.3529411765e-02	 1.0464712286e+00	 3.5073460594e-02	 2.6567675307e+01
 4.7058823529e-02	 3.5294117647e-02	 1.0457279851e+00	 5.2774626143e-02	 2.6518786107e+01
 4.7058823529e-02	 4.7058823529e-02	 1.0446775225e+00	 7.0576581500e-02	 2.6449470535e+01
 4.7058823529e-02	 5.8823529412e-02	 1.0433143451e+00	 8.8472352642e-02	 2.6359272092e+01
 5.8823529412e-02	 0.0000000000e+00	 1.0588235294e+00	 0.0000000000e+00	 2.5841777111e+01
 5.8823529412e-02	 1.1764705882e-02	 1.0586759745e+00	 1.7676182262e-02	 2.5833614204e+01
 5.8823529412e-02	 2.3529411765e-02	 1.0582293323e+00	 3.5467544421e-02	 2.5806260631e+01
