x	y	stress_yy
 1.000000e+00	 0.000000e+00	 3.076420e+01
 9.999449e-01	 1.049814e-02	 3.075640e+01
 9.997786e-01	 2.104029e-02	 3.073294e+01
 9.994998e-01	 3.162495e-02	 3.069329e+01
 9.991070e-01	 4.225058e-02	 3.063699e+01
 9.985990e-01	 5.291561e-02	 3.056372e+01
 1.007407e+00	 0.000000e+00	 3.023932e+01
 1.007352e+00	 1.057591e-02	 3.023138e+01
 1.007184e+00	 2.119614e-02	 3.020852e+01
 1.006904e+00	 3.185921e-02	 3.017024e+01
 1.006508e+00	 4.256355e-02	 3.011614e+01
 1.005996e+00	 5.330758e-02	 3.004593e+01
 1.014815e+00	 0.000000e+00	 2.973275e+01
 1.014759e+00	 1.065367e-02	 2.972492e+01
 1.014590e+00	 2.135200e-02	 2.970281e+01
 1.014307e+00	 3.209346e-02	 2.966594e+01
 1.013909e+00	 4.287651e-02	 2.961396e+01
 1.013393e+00	 5.369955e-02	 2.954661e+01
 1.022222e+00	 0.000000e+00	 2.924342e+01
 1.022166e+00	 1.073144e-02	 2.923586e+01
 1.021996e+00	 2.150785e-02	 2.921458e+01
 1.021711e+00	 3.232772e-02	 2.917915e+01
 1.021309e+00	 4.318948e-02	 2.912921e+01
 1.020790e+00	 5.409151e-02	 2.906453e+01
 1.029630e+00	 0.000000e+00	 2.877030e+01
 1.029573e+00	 1.080920e-02	 2.876305e+01
 1.029402e+00	 2.166371e-02	 2.874264e+01
 1.029115e+00	 3.256198e-02	 2.870864e+01
 1.028710e+00	 4.350245e-02	 2.866068e+01
 1.028187e+00	 5.448348e-02	 2.859852e+01
 1.037037e+00	 0.000000e+00	 2.831238e+01
 1.036980e+00	 1.088696e-02	 2.830542e+01
 1.036807e+00	 2.181956e-02	 2.828586e+01
 1.036518e+00	 3.279624e-02	 2.825324e+01
 1.036111e+00	 4.381542e-02	 2.820719e+01
 1.035584e+00	 5.487545e-02	 2.814744e+01
 9.985990e-01	 5.291561e-02	 3.056372e+01
 9.979743e-01	 6.361843e-02	 3.047378e+01
 9.972317e-01	 7.435736e-02	 3.036750e+01
 9.963698e-01	 8.513072e-02	 3.024481e+01
 9.953874e-01	 9.593675e-02	 3.010565e+01
 9.942834e-01	 1.067737e-01	 2.995006e+01
 1.005996e+00	 5.330758e-02	 3.004593e+01
 1.005367e+00	 6.408967e-02	 2.995976e+01
 1.004619e+00	 7.490816e-02	 2.985779e+01
 1.003750e+00	 8.576131e-02	 2.973988e+01
 1.002761e+00	 9.664739e-02	 2.960597e+01
 1.001648e+00	 1.075646e-01	 2.945608e+01
 1.013393e+00	 5.369955e-02	 2.954661e+01
 1.012759e+00	 6.456092e-02	 2.946395e+01
