patch_n	x	y	stress_yy
0	 0.000000000000000e+00	 0.000000000000000e+00	 7.137700866388738e-01
0	 0.000000000000000e+00	 1.428571428571429e-01	 3.469013381601008e+00
0	 0.000000000000000e+00	 2.857142857142858e-01	 6.073157383192015e+00
0	 0.000000000000000e+00	 4.285714285714287e-01	 8.490500522840852e+00
0	 0.000000000000000e+00	 5.714285714285714e-01	 1.068534123197647e+01
0	 0.000000000000000e+00	 7.142857142857144e-01	 1.262197794202783e+01
0	 0.000000000000000e+00	 8.571428571428573e-01	 1.426470908442390e+01
0	 0.000000000000000e+00	 1.000000000000000e+00	 1.557783309059363e+01
0	 0.000000000000000e+00	 1.142857142857143e+00	 1.652564839196595e+01
0	 0.000000000000000e+00	 1.285714285714286e+00	 1.707245341996986e+01
0	 0.000000000000000e+00	 1.428571428571429e+00	 1.718254660603429e+01
0	 1.428571428571429e-01	 0.000000000000000e+00	-2.289503900806091e+00
0	 1.428571428571429e-01	 1.428571428571429e-01	 1.661935254064549e+00
0	 1.428571428571429e-01	 2.857142857142858e-01	 5.251968476760750e+00
0	 1.428571428571429e-01	 4.285714285714287e-01	 8.452287285675077e+00
0	 1.428571428571429e-01	 5.714285714285714e-01	 1.123458319920008e+01
0	 1.428571428571429e-01	 7.142857142857145e-01	 1.357054773572832e+01
0	 1.428571428571429e-01	 8.571428571428573e-01	 1.543187241365235e+01
0	 1.428571428571430e-01	 1.000000000000001e+00	 1.679024875136472e+01
0	 1.428571428571429e-01	 1.142857142857143e+00	 1.761736826725799e+01
0	 1.428571428571428e-01	 1.285714285714286e+00	 1.788492247972477e+01
0	 1.428571428571429e-01	 1.428571428571429e+00	 1.756460290715754e+01
0	 2.857142857142858e-01	 0.000000000000000e+00	-4.080740917495665e+00
0	 2.857142857142856e-01	 1.428571428571429e-01	 6.375415319656608e-01
0	 2.857142857142858e-01	 2.857142857142859e-01	 4.847445596796986e+00
0	 2.857142857142858e-01	 4.285714285714287e-01	 8.527354858818967e+00
0	 2.857142857142858e-01	 5.714285714285715e-01	 1.165565289985227e+01
0	 2.857142857142856e-01	 7.142857142857144e-01	 1.421072330171756e+01
0	 2.857142857142858e-01	 8.571428571428574e-01	 1.617094964623550e+01
0	 2.857142857142856e-01	 1.000000000000000e+00	 1.751471551522673e+01
0	 2.857142857142857e-01	 1.142857142857143e+00	 1.822040449051194e+01
0	 2.857142857142858e-01	 1.285714285714286e+00	 1.826640015391178e+01
0	 2.857142857142858e-01	 1.428571428571428e+00	 1.763108608724688e+01
0	 4.285714285714287e-01	 0.000000000000000e+00	-4.828002853903815e+00
