patch_n	x	y	disp_x	disp_y
1	 1.000000e+00	 0.000000e+00	-4.685185e-05	 0.000000e+00
1	 9.998757e-01	 1.576381e-02	-4.684541e-05	 2.141190e-06
1	 9.994998e-01	 3.162495e-02	-4.682794e-05	 4.296593e-06
1	 9.988675e-01	 4.757827e-02	-4.679881e-05	 6.464845e-06
1	 9.979743e-01	 6.361843e-02	-4.675739e-05	 8.644551e-06
1	 9.968157e-01	 7.973984e-02	-4.670303e-05	 1.083429e-05
1	 9.953874e-01	 9.593675e-02	-4.663613e-05	 1.303430e-05
1	 9.936853e-01	 1.122032e-01	-4.655714e-05	 1.524482e-05
1	 9.917053e-01	 1.285329e-01	-4.646556e-05	 1.746441e-05
1	 9.894435e-01	 1.449195e-01	-4.636099e-05	 1.969162e-05
1	 9.868962e-01	 1.613564e-01	-4.624307e-05	 2.192498e-05
1	 9.840600e-01	 1.778369e-01	-4.611129e-05	 2.416428e-05
1	 9.809315e-01	 1.943540e-01	-4.596520e-05	 2.640933e-05
1	 9.775075e-01	 2.109005e-01	-4.580477e-05	 2.865861e-05
1	 9.737853e-01	 2.274691e-01	-4.563010e-05	 3.091059e-05
1	 9.697621e-01	 2.440522e-01	-4.544140e-05	 3.316373e-05
1	 9.654354e-01	 2.606423e-01	-4.523853e-05	 3.541777e-05
1	 9.608031e-01	 2.772315e-01	-4.502143e-05	 3.767249e-05
1	 9.558632e-01	 2.938119e-01	-4.479058e-05	 3.992631e-05
1	 9.506141e-01	 3.103754e-01	-4.454653e-05	 4.217767e-05
1	 9.450542e-01	 3.269137e-01	-4.428982e-05	 4.442501e-05
1	 9.391824e-01	 3.434186e-01	-4.401863e-05	 4.666738e-05
1	 9.329980e-01	 3.598816e-01	-4.373106e-05	 4.890384e-05
1	 9.265002e-01	 3.762942e-01	-4.342748e-05	 5.113294e-05
1	 9.196890e-01	 3.926477e-01	-4.310835e-05	 5.335494e-05
1	 9.125641e-01	 4.089336e-01	-4.277434e-05	 5.557237e-05
1	 9.051262e-01	 4.251431e-01	-4.242549e-05	 5.777979e-05
1	 8.973756e-01	 4.412674e-01	-4.206174e-05	 5.997129e-05
1	 8.893136e-01	 4.572978e-01	-4.168340e-05	 6.214830e-05
1	 8.809413e-01	 4.732255e-01	-4.129066e-05	 6.431178e-05
1	 8.722604e-01	 4.890417e-01	-4.088361e-05	 6.646219e-05
1	 8.632728e-01	 5.047375e-01	-4.046241e-05	 6.859740e-05
1	 8.539809e-01	 5.203044e-01	-4.002715e-05	 7.071469e-05
1	 8.443871e-01	 5.357335e-01	-3.957760e-05	 7.281286e-05
1	 8.344945e-01	 5.510163e-01	-3.911347e-05	 7.489019e-05
1	 8.243063e-01	 5.661441e-01	-3.863444e-05	 7.694440e-05
1	 8.138260e-01	 5.811086e-01	-3.814153e-05	 7.897730e-05
1	 8.030576e-01	 5.959013e-01	-3.763578e-05	 8.099026e-05
1	 7.920053e-01	 6.105142e-01	-3.711690e-05	 8.297983e-05
1	 7.806736e-01	 6.249389e-01	-3.658465e-05	 8.494232e-05
1	 7.690674e-01	 6.391677e-01	-3.603889e-05	 8.687387e-05
1	 7.571916e-01	 6.531928e-01	-3.548018e-05	 8.877689e-05
1	 7.450519e-01	 6.670065e-01	-3.490923e-05	 9.065392e-05
1	 7.326538e-01	 6.806015e-01	-3.432635e-05	 9.250162e-05
1	 7.200033e-01	 6.939706e-01	-3.373264e-05	 9.431704e-05
1	 7.071068e-01	 7.071068e-01	-3.312966e-05	 9.609751e-05
1	 6.939706e-01	 7.200033e-01	-3.251586e-05	 9.784476e-05
1	 6.806015e-01	 7.326538e-01	-3.188959e-05	 9.956072e-05
1	 6.670065e-01	 7.450519e-01	-3.125214e-05	 1.012434e-04
1	 6.531928e-01	 7.571916e-01	-3.060436e-05	 1.028924e-04
1	 6.391677e-01	 7.690674e-01	-2.994657e-05	 1.045099e-04
1	 6.249389e-01	 7.806736e-01	-2.927914e-05	 1.060897e-04
1	 6.105142e-01	 7.920053e-01	-2.860242e-05	 1.076263e-04
1	 5.959013e-01	 8.030576e-01	-2.791661e-05	 1.091229e-04
1	 5.811086e-01	 8.138260e-01	-2.722184e-05	 1.105826e-04
1	 5.661441e-01	 8.243063e-01	-2.651819e-05	 1.120087e-04
1	 5.510163e-01	 8.344945e-01	-2.580700e-05	 1.133958e-04
1	 5.357335e-01	 8.443871e-01	-2.508951e-05	 1.147383e-04
1	 5.203044e-01	 8.539809e-01	-2.436558e-05	 1.160381e-04
1	 5.047375e-01	 8.632728e-01	-2.363502e-05	 1.172965e-04
1	 4.890417e-01	 8.722604e-01	-2.289754e-05	 1.185140e-04
1	 4.732255e-01	 8.809413e-01	-2.215468e-05	 1.196916e-04
1	 4.572978e-01	 8.893136e-01	-2.140791e-05	 1.208291e-04
1	 4.412674e-01	 8.973756e-01	-2.065675e-05	 1.219250e-04
1	 4.251431e-01	 9.051262e-01	-1.990068e-05	 1.229771e-04
