xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.0765557105e+01	 6.4683770423e-02
 0.0000000000e+00	 1.1111111111e-02	 9.9987574344e-01	 1.5763809028e-02	 3.0778272969e+01	 7.3900050561e-02
 0.0000000000e+00	 2.2222222222e-02	 9.9949980627e-01	 3.1624946766e-02	 3.0756781051e+01	 7.4036806856e-02
 0.0000000000e+00	 3.3333333333e-02	 9.9886751281e-01	 4.7578270863e-02	 3.0701677156e+01	 6.7486319826e-02
 0.0000000000e+00	 4.4444444444e-02	 9.9797429622e-01	 6.3618425732e-02	 3.0613661283e+01	 5.6770817780e-02
 0.0000000000e+00	 5.5555555556e-02	 9.9681570880e-01	 7.9739843777e-02	 3.0493522041e+01	 4.4483620486e-02
 1.1111111111e-02	 0.0000000000e+00	 1.0111111111e+00	 0.0000000000e+00	 2.9952870921e+01	 3.2136739210e-01
 1.1111111111e-02	 1.1111111111e-02	 1.0109854739e+00	 1.5938962461e-02	 2.9971233145e+01	 3.3548235695e-01
 1.1111111111e-02	 2.2222222222e-02	 1.0106053597e+00	 3.1976335063e-02	 2.9954453988e+01	 3.3942589823e-01
 1.1111111111e-02	 3.3333333333e-02	 1.0099660407e+00	 4.8106918317e-02	 2.9903246835e+01	 3.3590123000e-01
 1.1111111111e-02	 4.4444444444e-02	 1.0090628995e+00	 6.4325297129e-02	 2.9818429307e+01	 3.2776574941e-01
 1.1111111111e-02	 5.5555555556e-02	 1.0078914389e+00	 8.0625842041e-02	 2.9700906391e+01	 3.1796651907e-01
 2.2222222222e-02	 0.0000000000e+00	 1.0222222222e+00	 0.0000000000e+00	 2.9191889500e+01	 5.8840618647e-01
 2.2222222222e-02	 1.1111111111e-02	 1.0220952044e+00	 1.6114115895e-02	 2.9214724957e+01	 6.0549526968e-01
 2.2222222222e-02	 2.2222222222e-02	 1.0217109131e+00	 3.2327723360e-02	 2.9201489837e+01	 6.1120217076e-01
 2.2222222222e-02	 3.3333333333e-02	 1.0210645686e+00	 4.8635565771e-02	 2.9153025378e+01	 6.0856875911e-01
 2.2222222222e-02	 4.4444444444e-02	 1.0201515028e+00	 6.5032168526e-02	 2.9070277249e+01	 6.0081670900e-01
 2.2222222222e-02	 5.5555555556e-02	 1.0189671690e+00	 8.1511840305e-02	 2.8954277218e+01	 5.9127701536e-01
 3.3333333333e-02	 0.0000000000e+00	 1.0333333333e+00	 0.0000000000e+00	 2.8481598947e+01	 8.6536570660e-01
 3.3333333333e-02	 1.1111111111e-02	 1.0332049349e+00	 1.6289269329e-02	 2.8507720262e+01	 8.8345670023e-01
 3.3333333333e-02	 2.2222222222e-02	 1.0328164665e+00	 3.2679111658e-02	 2.8496848920e+01	 8.8882815639e-01
 3.3333333333e-02	 3.3333333333e-02	 1.0321630966e+00	 4.9164213225e-02	 2.8449965398e+01	 8.8488917229e-01
 3.3333333333e-02	 4.4444444444e-02	 1.0312401061e+00	 6.5739039923e-02	 2.8368155116e+01	 8.7525556266e-01
 3.3333333333e-02	 5.5555555556e-02	 1.0300428991e+00	 8.2397838570e-02	 2.8252588457e+01	 8.6367309574e-01
 4.4444444444e-02	 0.0000000000e+00	 1.0444444444e+00	 0.0000000000e+00	 2.7821048813e+01	 1.1518388801e+00
 4.4444444444e-02	 1.1111111111e-02	 1.0443146654e+00	 1.6464422762e-02	 2.7849253012e+01	 1.1689127447e+00
 4.4444444444e-02	 2.2222222222e-02	 1.0439220199e+00	 3.3030499955e-02	 2.7839552470e+01	 1.1717951906e+00
 4.4444444444e-02	 3.3333333333e-02	 1.0432616245e+00	 4.9692860679e-02	 2.7793079555e+01	 1.1642918825e+00
 4.4444444444e-02	 4.4444444444e-02	 1.0423287094e+00	 6.6445911321e-02	 2.7711072603e+01	 1.1504432768e+00
 4.4444444444e-02	 5.5555555556e-02	 1.0411186292e+00	 8.3283836834e-02	 2.7594854100e+01	 1.1344412532e+00
 5.5555555556e-02	 0.0000000000e+00	 1.0555555556e+00	 0.0000000000e+00	 2.7209348726e+01	 1.4474445975e+00
 5.5555555556e-02	 1.1111111111e-02	 1.0554243959e+00	 1.6639576196e-02	 2.7238415701e+01	 1.4614364778e+00
 5.5555555556e-02	 2.2222222222e-02	 1.0550275733e+00	 3.3381888253e-02	 2.7228678853e+01	 1.4596224543e+00
 5.5555555556e-02	 3.3333333333e-02	 1.0543601524e+00	 5.0221508133e-02	 2.7181436512e+01	 1.4462347765e+00
 5.5555555556e-02	 4.4444444444e-02	 1.0534173127e+00	 6.7152782718e-02	 2.7098094757e+01	 1.4257695557e+00
 5.5555555556e-02	 5.5555555556e-02	 1.0521943593e+00	 8.4169835098e-02	 2.6980143551e+01	 1.4028964528e+00
 0.0000000000e+00	 5.5555555556e-02	 9.9681570880e-01	 7.9739843777e-02	 3.0493522041e+01	 4.4483620486e-02
 0.0000000000e+00	 6.6666666667e-02	 9.9538743238e-01	 9.5936747147e-02	 3.0399365540e+01	 5.2653693609e-02
 0.0000000000e+00	 7.7777777778e-02	 9.9368528877e-01	 1.1220315003e-01	 3.0270842756e+01	 5.2595073193e-02
