xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 9.7947493417e+01
 0.0000000000e+00	 1.1764705882e-02	 9.9986064260e-01	 1.6694172137e-02	 9.8407531644e+01
 0.0000000000e+00	 2.3529411765e-02	 9.9943881383e-01	 3.3497125286e-02	 9.8675939770e+01
 0.0000000000e+00	 3.5294117647e-02	 9.9872897451e-01	 5.0402732834e-02	 9.9010174132e+01
 0.0000000000e+00	 4.7058823529e-02	 9.9772572376e-01	 6.7404600309e-02	 1.0075088474e+02
 0.0000000000e+00	 5.8823529412e-02	 9.9642381276e-01	 8.4496067130e-02	 1.0436481742e+02
 1.1764705882e-02	 0.0000000000e+00	 1.0117647059e+00	 0.0000000000e+00	 1.1070418361e+02
 1.1764705882e-02	 1.1764705882e-02	 1.0116237090e+00	 1.6890574162e-02	 9.6350059640e+01
 1.1764705882e-02	 2.3529411765e-02	 1.0111969175e+00	 3.3891209113e-02	 8.6618693803e+01
 1.1764705882e-02	 3.5294117647e-02	 1.0104787271e+00	 5.0995706161e-02	 8.1694194479e+01
 1.1764705882e-02	 4.7058823529e-02	 1.0094636735e+00	 6.8197595607e-02	 8.2229302199e+01
 1.1764705882e-02	 5.8823529412e-02	 1.0081464459e+00	 8.5490138508e-02	 8.8613116856e+01
 2.3529411765e-02	 0.0000000000e+00	 1.0235294118e+00	 0.0000000000e+00	 1.1640337752e+02
 2.3529411765e-02	 1.1764705882e-02	 1.0233867754e+00	 1.7086976187e-02	 9.3073188228e+01
 2.3529411765e-02	 2.3529411765e-02	 1.0229550212e+00	 3.4285292940e-02	 7.7389878728e+01
 2.3529411765e-02	 3.5294117647e-02	 1.0222284798e+00	 5.1588679489e-02	 6.9464426619e+01
 2.3529411765e-02	 4.7058823529e-02	 1.0212016231e+00	 6.8990590905e-02	 6.9555934096e+01
 2.3529411765e-02	 5.8823529412e-02	 1.0198690789e+00	 8.6484209886e-02	 7.7983843127e+01
 3.5294117647e-02	 0.0000000000e+00	 1.0352941176e+00	 0.0000000000e+00	 1.1688131764e+02
 3.5294117647e-02	 1.1764705882e-02	 1.0351498417e+00	 1.7283378212e-02	 8.9017939052e+01
 3.5294117647e-02	 2.3529411765e-02	 1.0347131249e+00	 3.4679376767e-02	 7.0455909866e+01
 3.5294117647e-02	 3.5294117647e-02	 1.0339782324e+00	 5.2181652816e-02	 6.1226241513e+01
 3.5294117647e-02	 4.7058823529e-02	 1.0329395728e+00	 6.9783586202e-02	 6.1421622908e+01
