x	y	stress_yy
 1.000000e+00	 0.000000e+00	 9.408544e+01
 9.998606e-01	 1.669417e-02	 9.754873e+01
 9.994388e-01	 3.349713e-02	 1.006756e+02
 9.987290e-01	 5.040273e-02	 1.032801e+02
 9.977257e-01	 6.740460e-02	 1.057814e+02
 9.964238e-01	 8.449607e-02	 1.092320e+02
 1.011765e+00	 0.000000e+00	 1.089664e+02
 1.011624e+00	 1.689057e-02	 9.615090e+01
 1.011197e+00	 3.389121e-02	 8.800368e+01
 1.010479e+00	 5.099571e-02	 8.452408e+01
 1.009464e+00	 6.819760e-02	 8.607792e+01
 1.008146e+00	 8.549014e-02	 9.341341e+01
 1.023529e+00	 0.000000e+00	 1.149005e+02
 1.023387e+00	 1.708698e-02	 9.263119e+01
 1.022955e+00	 3.428529e-02	 7.798068e+01
 1.022228e+00	 5.158868e-02	 7.105847e+01
 1.021202e+00	 6.899059e-02	 7.215404e+01
 1.019869e+00	 8.648421e-02	 8.174406e+01
 1.035294e+00	 0.000000e+00	 1.143890e+02
 1.035150e+00	 1.728338e-02	 8.763738e+01
 1.034713e+00	 3.467938e-02	 6.996171e+01
 1.033978e+00	 5.218165e-02	 6.151080e+01
 1.032940e+00	 6.978359e-02	 6.247827e+01
 1.031592e+00	 8.747828e-02	 7.310372e+01
 1.047059e+00	 0.000000e+00	 1.098207e+02
 1.046913e+00	 1.747978e-02	 8.178809e+01
 1.046471e+00	 3.507346e-02	 6.333081e+01
 1.045728e+00	 5.277463e-02	 5.457031e+01
 1.044678e+00	 7.057658e-02	 5.558795e+01
 1.043314e+00	 8.847235e-02	 6.642254e+01
 1.058824e+00	 0.000000e+00	 1.034781e+02
 1.058676e+00	 1.767618e-02	 7.567447e+01
 1.058229e+00	 3.546754e-02	 5.749939e+01
 1.057478e+00	 5.336760e-02	 4.898448e+01
 1.056415e+00	 7.136958e-02	 5.008537e+01
 1.055037e+00	 8.946642e-02	 6.067814e+01
 9.964238e-01	 8.449607e-02	 1.092320e+02
 9.948182e-01	 1.016702e-01	 1.117647e+02
 9.929039e-01	 1.189198e-01	 1.106384e+02
 9.906762e-01	 1.362375e-01	 1.060171e+02
 9.881307e-01	 1.536156e-01	 9.797336e+01
 9.852630e-01	 1.710460e-01	 8.648352e+01
 1.008146e+00	 8.549014e-02	 9.341341e+01
 1.006522e+00	 1.028663e-01	 1.014138e+02
 1.004585e+00	 1.203189e-01	 1.044818e+02
 1.002331e+00	 1.378403e-01	 1.029205e+02
 9.997558e-01	 1.554228e-01	 9.700371e+01
 9.968544e-01	 1.730583e-01	 8.697379e+01
 1.019869e+00	 8.648421e-02	 8.174406e+01
 1.018226e+00	 1.040624e-01	 9.287762e+01
 1.016266e+00	 1.217180e-01	 9.844570e+01
 1.013986e+00	 1.394431e-01	 9.884545e+01
 1.011381e+00	 1.572300e-01	 9.449092e+01
 1.008446e+00	 1.750706e-01	 8.581207e+01
 1.031592e+00	 8.747828e-02	 7.310372e+01
 1.029929e+00	 1.052586e-01	 8.565600e+01
 1.027948e+00	 1.231170e-01	 9.249643e+01
 1.025641e+00	 1.410459e-01	 9.407319e+01
 1.023006e+00	 1.590373e-01	 9.088101e+01
 1.020037e+00	 1.770829e-01	 8.346102e+01
 1.043314e+00	 8.847235e-02	 6.642254e+01
 1.041633e+00	 1.064547e-01	 7.927107e+01
 1.039629e+00	 1.245161e-01	 8.660194e+01
 1.037296e+00	 1.426487e-01	 8.887240e+01
 1.034631e+00	 1.608445e-01	 8.659992e+01
 1.031628e+00	 1.790952e-01	 8.036243e+01
 1.055037e+00	 8.946642e-02	 6.067814e+01
 1.053337e+00	 1.076508e-01	 7.326617e+01
 1.051310e+00	 1.259151e-01	 8.073150e+01
 1.048951e+00	 1.442515e-01	 8.349970e+01
 1.046256e+00	 1.626518e-01	 8.205457e+01
 1.043220e+00	 1.811076e-01	 7.693841e+01
 9.852630e-01	 1.710460e-01	 8.648352e+01
 9.820692e-01	 1.885207e-01	 7.480200e+01
 9.785454e-01	 2.060313e-01	 6.620919e+01
 9.746881e-01	 2.235690e-01	 6.059284e+01
 9.704941e-01	 2.411251e-01	 5.776699e+01
 9.659603e-01	 2.586904e-01	 5.747002e+01
 9.968544e-01	 1.730583e-01	 8.697379e+01
 9.936230e-01	 1.907386e-01	 7.638456e+01
 9.900577e-01	 2.084551e-01	 6.854821e+01
 9.861550e-01	 2.261992e-01	 6.326995e+01
 9.819116e-01	 2.439618e-01	 6.028674e+01
 9.773245e-01	 2.617339e-01	 5.926598e+01
 1.008446e+00	 1.750706e-01	 8.581207e+01
 1.005177e+00	 1.929565e-01	 7.638355e+01
 1.001570e+00	 2.108790e-01	 6.935452e+01
 9.976219e-01	 2.288294e-01	 6.448248e+01
 9.933292e-01	 2.467986e-01	 6.146316e+01
 9.886888e-01	 2.647773e-01	 5.992975e+01
 1.020037e+00	 1.770829e-01	 8.346102e+01
 1.016730e+00	 1.951744e-01	 7.520702e+01
 1.013082e+00	 2.133029e-01	 6.898473e+01
 1.009089e+00	 2.314597e-01	 6.453750e+01
