x	y	stress_yy
 1.000000e+00	 0.000000e+00	 9.408544e+01
 1.011765e+00	 0.000000e+00	 1.089664e+02
 1.023529e+00	 0.000000e+00	 1.149005e+02
 1.035294e+00	 0.000000e+00	 1.143890e+02
 1.047059e+00	 0.000000e+00	 1.098207e+02
 1.058824e+00	 0.000000e+00	 1.034781e+02
 1.058824e+00	 0.000000e+00	 1.034781e+02
 1.070588e+00	 0.000000e+00	 9.669391e+01
 1.082353e+00	 0.000000e+00	 9.121897e+01
 1.094118e+00	 0.000000e+00	 8.595437e+01
 1.105882e+00	 0.000000e+00	 8.111333e+01
 1.117647e+00	 0.000000e+00	 7.701898e+01
 1.117647e+00	 0.000000e+00	 7.701898e+01
 1.129412e+00	 0.000000e+00	 7.415305e+01
 1.141176e+00	 0.000000e+00	 7.245758e+01
 1.152941e+00	 0.000000e+00	 7.145110e+01
 1.164706e+00	 0.000000e+00	 7.067164e+01
 1.176471e+00	 0.000000e+00	 6.967568e+01
 1.176471e+00	 0.000000e+00	 6.967568e+01
 1.188235e+00	 0.000000e+00	 6.815019e+01
 1.200000e+00	 0.000000e+00	 6.618332e+01
 1.211765e+00	 0.000000e+00	 6.394172e+01
 1.223529e+00	 0.000000e+00	 6.158559e+01
 1.235294e+00	 0.000000e+00	 5.926905e+01
 1.235294e+00	 0.000000e+00	 5.926905e+01
 1.247059e+00	 0.000000e+00	 5.709067e+01
 1.258824e+00	 0.000000e+00	 5.498737e+01
 1.270588e+00	 0.000000e+00	 5.286894e+01
 1.282353e+00	 0.000000e+00	 5.064850e+01
 1.294118e+00	 0.000000e+00	 4.824232e+01
 1.294118e+00	 0.000000e+00	 4.824232e+01
 1.305882e+00	 0.000000e+00	 4.560091e+01
 1.317647e+00	 0.000000e+00	 4.276223e+01
 1.329412e+00	 0.000000e+00	 3.977473e+01
 1.341176e+00	 0.000000e+00	 3.668515e+01
 1.352941e+00	 0.000000e+00	 3.353859e+01
 1.352941e+00	 0.000000e+00	 3.353859e+01
 1.364706e+00	 0.000000e+00	 3.033314e+01
 1.376471e+00	 0.000000e+00	 2.703806e+01
 1.388235e+00	 0.000000e+00	 2.365400e+01
 1.400000e+00	 0.000000e+00	 2.018162e+01
 1.411765e+00	 0.000000e+00	 1.662152e+01
 1.411765e+00	 0.000000e+00	 1.662152e+01
 1.423529e+00	 0.000000e+00	 1.299941e+01
 1.435294e+00	 0.000000e+00	 8.500558e+00
 1.447059e+00	 0.000000e+00	 3.606180e+00
 1.458824e+00	 0.000000e+00	-9.640266e-01
 1.470588e+00	 0.000000e+00	-5.197398e+00
 1.470588e+00	 0.000000e+00	-5.197398e+00
 1.482353e+00	 0.000000e+00	-9.128320e+00
 1.494118e+00	 0.000000e+00	-1.280147e+01
 1.505882e+00	 0.000000e+00	-1.621985e+01
 1.517647e+00	 0.000000e+00	-1.938636e+01
 1.529412e+00	 0.000000e+00	-2.230383e+01
 1.529412e+00	 0.000000e+00	-2.230383e+01
 1.541176e+00	 0.000000e+00	-2.493379e+01
 1.552941e+00	 0.000000e+00	-2.724681e+01
 1.564706e+00	 0.000000e+00	-2.925879e+01
 1.576471e+00	 0.000000e+00	-3.098518e+01
 1.588235e+00	 0.000000e+00	-3.244095e+01
 1.588235e+00	 0.000000e+00	-3.244095e+01
 1.600000e+00	 0.000000e+00	-3.366379e+01
 1.611765e+00	 0.000000e+00	-3.467847e+01
 1.623529e+00	 0.000000e+00	-3.548031e+01
 1.635294e+00	 0.000000e+00	-3.606477e+01
 1.647059e+00	 0.000000e+00	-3.642745e+01
 1.647059e+00	 0.000000e+00	-3.642745e+01
 1.658824e+00	 0.000000e+00	-3.655589e+01
 1.670588e+00	 0.000000e+00	-3.643463e+01
 1.682353e+00	 0.000000e+00	-3.605505e+01
 1.694118e+00	 0.000000e+00	-3.540876e+01
 1.705882e+00	 0.000000e+00	-3.448761e+01
 1.705882e+00	 0.000000e+00	-3.448761e+01
 1.717647e+00	 0.000000e+00	-3.330135e+01
 1.729412e+00	 0.000000e+00	-3.186890e+01
 1.741176e+00	 0.000000e+00	-3.019590e+01
 1.752941e+00	 0.000000e+00	-2.828785e+01
 1.764706e+00	 0.000000e+00	-2.615008e+01
 1.764706e+00	 0.000000e+00	-2.615008e+01
 1.776471e+00	 0.000000e+00	-2.376729e+01
 1.788235e+00	 0.000000e+00	-2.126063e+01
 1.800000e+00	 0.000000e+00	-1.916618e+01
 1.811765e+00	 0.000000e+00	-1.709595e+01
 1.823529e+00	 0.000000e+00	-1.505465e+01
 1.823529e+00	 0.000000e+00	-1.505465e+01
 1.835294e+00	 0.000000e+00	-1.307326e+01
 1.847059e+00	 0.000000e+00	-1.118209e+01
 1.858824e+00	 0.000000e+00	-9.384681e+00
 1.870588e+00	 0.000000e+00	-7.684487e+00
 1.882353e+00	 0.000000e+00	-6.084880e+00
 1.882353e+00	 0.000000e+00	-6.084880e+00
 1.894118e+00	 0.000000e+00	-4.545591e+00
 1.905882e+00	 0.000000e+00	-3.021917e+00
 1.917647e+00	 0.000000e+00	-1.510572e+00
 1.929412e+00	 0.000000e+00	-8.348749e-03
 1.941176e+00	 0.000000e+00	 1.487880e+00
 1.941176e+00	 0.000000e+00	 1.487880e+00
 1.952941e+00	 0.000000e+00	 2.769692e+00
 1.964706e+00	 0.000000e+00	 3.650089e+00
 1.976471e+00	 0.000000e+00	 4.163659e+00
 1.988235e+00	 0.000000e+00	 4.344169e+00
 2.000000e+00	 0.000000e+00	 4.224592e+00
