patch_n	x	y	disp_x	disp_y
0	-1.250000e+02	-1.250000e+02	 2.362367e-04	-5.517588e-04
0	-1.250000e+02	-1.216667e+02	 2.362860e-04	-5.370338e-04
0	-1.250000e+02	-1.183333e+02	 2.363356e-04	-5.223091e-04
0	-1.250000e+02	-1.150000e+02	 2.363854e-04	-5.075845e-04
0	-1.250000e+02	-1.116667e+02	 2.364355e-04	-4.928602e-04
0	-1.250000e+02	-1.083333e+02	 2.364858e-04	-4.781360e-04
0	-1.250000e+02	-1.050000e+02	 2.365361e-04	-4.634123e-04
0	-1.250000e+02	-1.016667e+02	 2.365860e-04	-4.486892e-04
0	-1.250000e+02	-9.833333e+01	 2.366357e-04	-4.339666e-04
0	-1.250000e+02	-9.500000e+01	 2.366850e-04	-4.192446e-04
0	-1.250000e+02	-9.166667e+01	 2.367341e-04	-4.045232e-04
0	-1.250000e+02	-8.833334e+01	 2.367825e-04	-3.898025e-04
0	-1.250000e+02	-8.500000e+01	 2.368301e-04	-3.750824e-04
0	-1.250000e+02	-8.166667e+01	 2.368767e-04	-3.603630e-04
0	-1.250000e+02	-7.833333e+01	 2.369225e-04	-3.456444e-04
0	-1.250000e+02	-7.500000e+01	 2.369673e-04	-3.309264e-04
0	-1.250000e+02	-7.166667e+01	 2.370110e-04	-3.162093e-04
0	-1.250000e+02	-6.833333e+01	 2.370530e-04	-3.014931e-04
0	-1.250000e+02	-6.500000e+01	 2.370934e-04	-2.867780e-04
0	-1.250000e+02	-6.166666e+01	 2.371323e-04	-2.720639e-04
0	-1.250000e+02	-5.833333e+01	 2.371696e-04	-2.573508e-04
0	-1.250000e+02	-5.500000e+01	 2.372046e-04	-2.426388e-04
0	-1.250000e+02	-5.166667e+01	 2.372369e-04	-2.279280e-04
0	-1.250000e+02	-4.833333e+01	 2.372664e-04	-2.132185e-04
0	-1.250000e+02	-4.500000e+01	 2.372932e-04	-1.985101e-04
0	-1.250000e+02	-4.166667e+01	 2.373171e-04	-1.838030e-04
0	-1.250000e+02	-3.833334e+01	 2.373376e-04	-1.690968e-04
0	-1.250000e+02	-3.500000e+01	 2.373540e-04	-1.543914e-04
0	-1.250000e+02	-3.166667e+01	 2.373664e-04	-1.396868e-04
0	-1.250000e+02	-2.833333e+01	 2.373746e-04	-1.249828e-04
0	-1.250000e+02	-2.500000e+01	 2.373788e-04	-1.102797e-04
0	-1.250000e+02	-2.166667e+01	 2.373784e-04	-9.557669e-05
0	-1.250000e+02	-1.833333e+01	 2.373733e-04	-8.087336e-05
0	-1.250000e+02	-1.500000e+01	 2.373634e-04	-6.616969e-05
0	-1.250000e+02	-1.166666e+01	 2.373486e-04	-5.146567e-05
0	-1.250000e+02	-8.333327e+00	 2.373290e-04	-3.676130e-05
0	-1.250000e+02	-4.999996e+00	 2.373049e-04	-2.205588e-05
0	-1.250000e+02	-1.666665e+00	 2.372766e-04	-7.348671e-06
0	-1.250000e+02	 1.666665e+00	 2.372441e-04	 7.360337e-06
0	-1.250000e+02	 4.999996e+00	 2.372075e-04	 2.207114e-05
0	-1.250000e+02	 8.333327e+00	 2.371667e-04	 3.678374e-05
0	-1.250000e+02	 1.166666e+01	 2.371226e-04	 5.149848e-05
0	-1.250000e+02	 1.500000e+01	 2.370763e-04	 6.621567e-05
0	-1.250000e+02	 1.833333e+01	 2.370278e-04	 8.093532e-05
0	-1.250000e+02	 2.166667e+01	 2.369770e-04	 9.565741e-05
0	-1.250000e+02	 2.500000e+01	 2.369240e-04	 1.103820e-04
0	-1.250000e+02	 2.833333e+01	 2.368697e-04	 1.251087e-04
0	-1.250000e+02	 3.166667e+01	 2.368153e-04	 1.398374e-04
0	-1.250000e+02	 3.500000e+01	 2.367608e-04	 1.545679e-04
0	-1.250000e+02	 3.833334e+01	 2.367060e-04	 1.693005e-04
0	-1.250000e+02	 4.166667e+01	 2.366511e-04	 1.840349e-04
