1	5	5
76	76	15	15
-1.2500e+02	-1.2500e+02	 2.3624e-04	-5.5176e-04	 6.0020e-04
-1.2500e+02	-1.2167e+02	 2.3629e-04	-5.3703e-04	 5.8672e-04
-1.2500e+02	-1.1833e+02	 2.3634e-04	-5.2231e-04	 5.7329e-04
-1.2500e+02	-1.1500e+02	 2.3639e-04	-5.0758e-04	 5.5993e-04
-1.2500e+02	-1.1167e+02	 2.3644e-04	-4.9286e-04	 5.4664e-04
-1.2500e+02	-1.0833e+02	 2.3649e-04	-4.7814e-04	 5.3342e-04
-1.2500e+02	-1.0500e+02	 2.3654e-04	-4.6341e-04	 5.2029e-04
-1.2500e+02	-1.0167e+02	 2.3659e-04	-4.4869e-04	 5.0724e-04
-1.2500e+02	-9.8333e+01	 2.3664e-04	-4.3397e-04	 4.9429e-04
-1.2500e+02	-9.5000e+01	 2.3669e-04	-4.1924e-04	 4.8144e-04
-1.2500e+02	-9.1667e+01	 2.3673e-04	-4.0452e-04	 4.6870e-04
-1.2500e+02	-8.8333e+01	 2.3678e-04	-3.8980e-04	 4.5608e-04
-1.2500e+02	-8.5000e+01	 2.3683e-04	-3.7508e-04	 4.4359e-04
-1.2500e+02	-8.1667e+01	 2.3688e-04	-3.6036e-04	 4.3124e-04
-1.2500e+02	-7.8333e+01	 2.3692e-04	-3.4564e-04	 4.1905e-04
-1.2500e+02	-7.5000e+01	 2.3697e-04	-3.3093e-04	 4.0702e-04
-1.2500e+02	-7.1667e+01	 2.3701e-04	-3.1621e-04	 3.9517e-04
-1.2500e+02	-6.8333e+01	 2.3705e-04	-3.0149e-04	 3.8353e-04
-1.2500e+02	-6.5000e+01	 2.3709e-04	-2.8678e-04	 3.7210e-04
-1.2500e+02	-6.1667e+01	 2.3713e-04	-2.7206e-04	 3.6090e-04
-1.2500e+02	-5.8333e+01	 2.3717e-04	-2.5735e-04	 3.4997e-04
-1.2500e+02	-5.5000e+01	 2.3720e-04	-2.4264e-04	 3.3932e-04
-1.2500e+02	-5.1667e+01	 2.3724e-04	-2.2793e-04	 3.2899e-04
-1.2500e+02	-4.8333e+01	 2.3727e-04	-2.1322e-04	 3.1899e-04
-1.2500e+02	-4.5000e+01	 2.3729e-04	-1.9851e-04	 3.0938e-04
-1.2500e+02	-4.1667e+01	 2.3732e-04	-1.8380e-04	 3.0017e-04
-1.2500e+02	-3.8333e+01	 2.3734e-04	-1.6910e-04	 2.9142e-04
-1.2500e+02	-3.5000e+01	 2.3735e-04	-1.5439e-04	 2.8315e-04
-1.2500e+02	-3.1667e+01	 2.3737e-04	-1.3969e-04	 2.7542e-04
-1.2500e+02	-2.8333e+01	 2.3737e-04	-1.2498e-04	 2.6827e-04
-1.2500e+02	-2.5000e+01	 2.3738e-04	-1.1028e-04	 2.6174e-04
-1.2500e+02	-2.1667e+01	 2.3738e-04	-9.5577e-05	 2.5590e-04
-1.2500e+02	-1.8333e+01	 2.3737e-04	-8.0873e-05	 2.5077e-04
-1.2500e+02	-1.5000e+01	 2.3736e-04	-6.6170e-05	 2.4641e-04
-1.2500e+02	-1.1667e+01	 2.3735e-04	-5.1466e-05	 2.4286e-04
-1.2500e+02	-8.3333e+00	 2.3733e-04	-3.6761e-05	 2.4016e-04
-1.2500e+02	-5.0000e+00	 2.3730e-04	-2.2056e-05	 2.3833e-04
-1.2500e+02	-1.6667e+00	 2.3728e-04	-7.3487e-06	 2.3739e-04
-1.2500e+02	 1.6667e+00	 2.3724e-04	 7.3603e-06	 2.3736e-04
-1.2500e+02	 5.0000e+00	 2.3721e-04	 2.2071e-05	 2.3823e-04
-1.2500e+02	 8.3333e+00	 2.3717e-04	 3.6784e-05	 2.4000e-04
-1.2500e+02	 1.1667e+01	 2.3712e-04	 5.1498e-05	 2.4265e-04
-1.2500e+02	 1.5000e+01	 2.3708e-04	 6.6216e-05	 2.4615e-04
-1.2500e+02	 1.8333e+01	 2.3703e-04	 8.0935e-05	 2.5046e-04
-1.2500e+02	 2.1667e+01	 2.3698e-04	 9.5657e-05	 2.5556e-04
-1.2500e+02	 2.5000e+01	 2.3692e-04	 1.1038e-04	 2.6138e-04
-1.2500e+02	 2.8333e+01	 2.3687e-04	 1.2511e-04	 2.6788e-04
-1.2500e+02	 3.1667e+01	 2.3682e-04	 1.3984e-04	 2.7502e-04
-1.2500e+02	 3.5000e+01	 2.3676e-04	 1.5457e-04	 2.8275e-04
-1.2500e+02	 3.8333e+01	 2.3671e-04	 1.6930e-04	 2.9102e-04
-1.2500e+02	 4.1667e+01	 2.3665e-04	 1.8403e-04	 2.9979e-04
-1.2500e+02	 4.5000e+01	 2.3660e-04	 1.9877e-04	 3.0901e-04
-1.2500e+02	 4.8333e+01	 2.3654e-04	 2.1351e-04	 3.1865e-04
-1.2500e+02	 5.1667e+01	 2.3649e-04	 2.2824e-04	 3.2867e-04
-1.2500e+02	 5.5000e+01	 2.3644e-04	 2.4298e-04	 3.3903e-04
-1.2500e+02	 5.8333e+01	 2.3639e-04	 2.5772e-04	 3.4971e-04
-1.2500e+02	 6.1667e+01	 2.3634e-04	 2.7246e-04	 3.6068e-04
-1.2500e+02	 6.5000e+01	 2.3629e-04	 2.8719e-04	 3.7191e-04
-1.2500e+02	 6.8333e+01	 2.3624e-04	 3.0193e-04	 3.8337e-04
-1.2500e+02	 7.1667e+01	 2.3619e-04	 3.1667e-04	 3.9505e-04
-1.2500e+02	 7.5000e+01	 2.3615e-04	 3.3140e-04	 4.0693e-04
