patch_n	x	y	disp_x	disp_y
1	 4.330127e+00	 2.500000e+00	-1.600646e-05	 1.153805e-05
1	 4.330127e+00	 2.500000e+00	-1.600575e-05	 1.153930e-05
1	 4.330127e+00	 2.500000e+00	-1.600518e-05	 1.154028e-05
1	 4.330127e+00	 2.500000e+00	-1.600472e-05	 1.154100e-05
1	 4.330127e+00	 2.500000e+00	-1.600440e-05	 1.154144e-05
1	 4.330127e+00	 2.500000e+00	-1.600419e-05	 1.154162e-05
1	 4.338787e+00	 2.505000e+00	-1.545039e-05	 1.154172e-05
1	 4.337787e+00	 2.506732e+00	-1.529735e-05	 1.170247e-05
1	 4.336787e+00	 2.508464e+00	-1.515155e-05	 1.187170e-05
1	 4.335787e+00	 2.510196e+00	-1.501300e-05	 1.204941e-05
1	 4.334787e+00	 2.511928e+00	-1.488169e-05	 1.223561e-05
1	 4.333787e+00	 2.513660e+00	-1.475762e-05	 1.243029e-05
1	 4.364768e+00	 2.520000e+00	-1.496106e-05	 1.159066e-05
1	 4.360768e+00	 2.526928e+00	-1.466778e-05	 1.190972e-05
1	 4.356768e+00	 2.533856e+00	-1.438917e-05	 1.224534e-05
1	 4.352768e+00	 2.540785e+00	-1.412522e-05	 1.259751e-05
1	 4.348768e+00	 2.547713e+00	-1.387593e-05	 1.296624e-05
1	 4.344768e+00	 2.554641e+00	-1.364131e-05	 1.335152e-05
1	 4.408069e+00	 2.545000e+00	-1.453845e-05	 1.168482e-05
1	 4.399069e+00	 2.560588e+00	-1.411703e-05	 1.216101e-05
1	 4.390069e+00	 2.576177e+00	-1.371800e-05	 1.266115e-05
1	 4.381069e+00	 2.591765e+00	-1.334136e-05	 1.318524e-05
1	 4.372069e+00	 2.607354e+00	-1.298711e-05	 1.373327e-05
1	 4.363069e+00	 2.622942e+00	-1.265526e-05	 1.430525e-05
1	 4.468691e+00	 2.580000e+00	-1.418255e-05	 1.182410e-05
1	 4.452691e+00	 2.607713e+00	-1.364509e-05	 1.245623e-05
1	 4.436691e+00	 2.635426e+00	-1.313804e-05	 1.311904e-05
1	 4.420691e+00	 2.663138e+00	-1.266141e-05	 1.381250e-05
1	 4.404691e+00	 2.690851e+00	-1.221521e-05	 1.453664e-05
1	 4.388691e+00	 2.718564e+00	-1.179942e-05	 1.529143e-05
1	 4.546633e+00	 2.625000e+00	-1.389336e-05	 1.200837e-05
1	 4.521633e+00	 2.668301e+00	-1.325193e-05	 1.279526e-05
1	 4.496633e+00	 2.711603e+00	-1.264925e-05	 1.361887e-05
1	 4.471633e+00	 2.754904e+00	-1.208534e-05	 1.447919e-05
1	 4.446633e+00	 2.798205e+00	-1.156017e-05	 1.537622e-05
1	 4.421633e+00	 2.841506e+00	-1.107377e-05	 1.630996e-05
1	 4.641896e+00	 2.680000e+00	-1.366382e-05	 1.223932e-05
1	 4.605896e+00	 2.742354e+00	-1.292790e-05	 1.318173e-05
1	 4.569896e+00	 2.804708e+00	-1.223812e-05	 1.416658e-05
1	 4.533896e+00	 2.867061e+00	-1.159448e-05	 1.519386e-05
1	 4.497896e+00	 2.929415e+00	-1.099698e-05	 1.626356e-05
1	 4.461896e+00	 2.991769e+00	-1.044562e-05	 1.737570e-05
1	 4.754479e+00	 2.745000e+00	-1.348692e-05	 1.251862e-05
1	 4.705479e+00	 2.829870e+00	-1.266335e-05	 1.361925e-05
1	 4.656479e+00	 2.914741e+00	-1.189110e-05	 1.476806e-05
1	 4.607479e+00	 2.999611e+00	-1.117018e-05	 1.596504e-05
1	 4.558479e+00	 3.084482e+00	-1.050058e-05	 1.721018e-05
1	 4.509479e+00	 3.169352e+00	-9.882295e-06	 1.850349e-05
1	 4.884383e+00	 2.820000e+00	-1.336260e-05	 1.284599e-05
1	 4.820383e+00	 2.930851e+00	-1.245823e-05	 1.410755e-05
1	 4.756383e+00	 3.041703e+00	-1.160815e-05	 1.542305e-05
1	 4.692383e+00	 3.152554e+00	-1.081237e-05	 1.679249e-05
1	 4.628383e+00	 3.263405e+00	-1.007089e-05	 1.821585e-05
1	 4.564383e+00	 3.374256e+00	-9.383704e-06	 1.969313e-05
1	 5.031608e+00	 2.905000e+00	-1.329084e-05	 1.322112e-05
1	 4.950608e+00	 3.045296e+00	-1.231248e-05	 1.464629e-05
1	 4.869608e+00	 3.185592e+00	-1.138918e-05	 1.613123e-05
1	 4.788608e+00	 3.325888e+00	-1.052096e-05	 1.767590e-05
1	 4.707608e+00	 3.466184e+00	-9.707816e-06	 1.928031e-05
1	 4.626608e+00	 3.606481e+00	-8.949746e-06	 2.094443e-05
1	 5.196152e+00	 3.000000e+00	-1.327157e-05	 1.364364e-05
1	 5.096152e+00	 3.173205e+00	-1.222603e-05	 1.523509e-05
1	 4.996152e+00	 3.346410e+00	-1.123413e-05	 1.689220e-05
1	 4.896152e+00	 3.519615e+00	-1.029587e-05	 1.861493e-05
1	 4.796152e+00	 3.692820e+00	-9.411257e-06	 2.040325e-05
1	 4.696152e+00	 3.866025e+00	-8.580299e-06	 2.225712e-05
2	 4.330127e+00	 2.500000e+00	-1.600419e-05	 1.154162e-05
2	 4.330127e+00	 2.500000e+00	-1.600611e-05	 1.154161e-05
2	 4.330127e+00	 2.500000e+00	-1.600738e-05	 1.154126e-05
2	 4.330127e+00	 2.500000e+00	-1.600800e-05	 1.154055e-05
2	 4.330127e+00	 2.500000e+00	-1.600798e-05	 1.153949e-05
2	 4.330127e+00	 2.500000e+00	-1.600731e-05	 1.153808e-05
2	 4.333787e+00	 2.513660e+00	-1.475762e-05	 1.243029e-05
2	 4.332055e+00	 2.512660e+00	-1.475486e-05	 1.253910e-05
2	 4.330323e+00	 2.511660e+00	-1.476183e-05	 1.267357e-05
2	 4.328591e+00	 2.510660e+00	-1.477854e-05	 1.283370e-05
2	 4.326859e+00	 2.509660e+00	-1.480497e-05	 1.301950e-05
2	 4.325127e+00	 2.508660e+00	-1.484114e-05	 1.323095e-05
2	 4.344768e+00	 2.554641e+00	-1.364131e-05	 1.335152e-05
2	 4.337840e+00	 2.550641e+00	-1.362394e-05	 1.355778e-05
2	 4.330912e+00	 2.546641e+00	-1.362594e-05	 1.381500e-05
2	 4.323983e+00	 2.542641e+00	-1.364731e-05	 1.412317e-05
2	 4.317055e+00	 2.538641e+00	-1.368805e-05	 1.448229e-05
2	 4.310127e+00	 2.534641e+00	-1.374816e-05	 1.489237e-05
2	 4.363069e+00	 2.622942e+00	-1.265526e-05	 1.430525e-05
2	 4.347481e+00	 2.613942e+00	-1.261334e-05	 1.459764e-05
2	 4.331892e+00	 2.604942e+00	-1.259970e-05	 1.496555e-05
2	 4.316304e+00	 2.595942e+00	-1.261432e-05	 1.540897e-05
2	 4.300715e+00	 2.586942e+00	-1.265722e-05	 1.592791e-05
2	 4.285127e+00	 2.577942e+00	-1.272838e-05	 1.652236e-05
2	 4.388691e+00	 2.718564e+00	-1.179942e-05	 1.529143e-05
2	 4.360978e+00	 2.702564e+00	-1.172304e-05	 1.565865e-05
2	 4.333265e+00	 2.686564e+00	-1.168309e-05	 1.612521e-05
2	 4.305553e+00	 2.670564e+00	-1.167956e-05	 1.669112e-05
2	 4.277840e+00	 2.654564e+00	-1.171246e-05	 1.735638e-05
2	 4.250127e+00	 2.638564e+00	-1.178179e-05	 1.812098e-05
2	 4.421633e+00	 2.841506e+00	-1.107377e-05	 1.630996e-05
2	 4.378332e+00	 2.816506e+00	-1.095300e-05	 1.674077e-05
2	 4.335031e+00	 2.791506e+00	-1.087609e-05	 1.729401e-05
2	 4.291730e+00	 2.766506e+00	-1.084301e-05	 1.796967e-05
2	 4.248428e+00	 2.741506e+00	-1.085379e-05	 1.876777e-05
2	 4.205127e+00	 2.716506e+00	-1.090841e-05	 1.968829e-05
2	 4.461896e+00	 2.991769e+00	-1.044562e-05	 1.737570e-05
2	 4.399542e+00	 2.955769e+00	-1.027341e-05	 1.785651e-05
2	 4.337189e+00	 2.919769e+00	-1.015309e-05	 1.848136e-05
2	 4.274835e+00	 2.883769e+00	-1.008466e-05	 1.925025e-05
2	 4.212481e+00	 2.847769e+00	-1.006812e-05	 2.016317e-05
2	 4.150127e+00	 2.811769e+00	-1.010346e-05	 2.122014e-05
2	 4.509479e+00	 3.169352e+00	-9.882295e-06	 1.850349e-05
2	 4.424609e+00	 3.120352e+00	-9.654441e-06	 1.901838e-05
2	 4.339738e+00	 3.071352e+00	-9.488505e-06	 1.969671e-05
2	 4.254868e+00	 3.022352e+00	-9.384488e-06	 2.053848e-05
2	 4.169998e+00	 2.973352e+00	-9.342391e-06	 2.154370e-05
2	 4.085127e+00	 2.924352e+00	-9.362214e-06	 2.271236e-05
2	 4.564383e+00	 3.374256e+00	-9.383704e-06	 1.969313e-05
2	 4.453532e+00	 3.310256e+00	-9.096025e-06	 2.022631e-05
2	 4.342681e+00	 3.246256e+00	-8.882280e-06	 2.094008e-05
2	 4.231830e+00	 3.182256e+00	-8.742470e-06	 2.183445e-05
2	 4.120978e+00	 3.118256e+00	-8.676597e-06	 2.290945e-05
2	 4.010127e+00	 3.054256e+00	-8.684664e-06	 2.416507e-05
2	 4.626608e+00	 3.606481e+00	-8.949746e-06	 2.094443e-05
2	 4.486311e+00	 3.525481e+00	-8.598096e-06	 2.148020e-05
2	 4.346015e+00	 3.444481e+00	-8.334374e-06	 2.221146e-05
2	 4.205719e+00	 3.363481e+00	-8.158585e-06	 2.313823e-05
2	 4.065423e+00	 3.282481e+00	-8.070732e-06	 2.426053e-05
2	 3.925127e+00	 3.201481e+00	-8.070819e-06	 2.557839e-05
2	 4.696152e+00	 3.866025e+00	-8.580299e-06	 2.225712e-05
2	 4.522947e+00	 3.766025e+00	-8.160571e-06	 2.277996e-05
2	 4.349742e+00	 3.666025e+00	-7.844738e-06	 2.351087e-05
2	 4.176537e+00	 3.566025e+00	-7.632810e-06	 2.444989e-05
2	 4.003332e+00	 3.466025e+00	-7.524791e-06	 2.559707e-05
2	 3.830127e+00	 3.366025e+00	-7.520688e-06	 2.695246e-05
3	 4.330127e+00	 2.500000e+00	-1.600731e-05	 1.153808e-05
3	 4.330127e+00	 2.500000e+00	-1.600738e-05	 1.153413e-05
3	 4.330127e+00	 2.500000e+00	-1.600826e-05	 1.153074e-05
3	 4.330127e+00	 2.500000e+00	-1.600995e-05	 1.152793e-05
3	 4.330127e+00	 2.500000e+00	-1.601246e-05	 1.152568e-05
3	 4.330127e+00	 2.500000e+00	-1.601578e-05	 1.152400e-05
3	 4.325127e+00	 2.508660e+00	-1.484114e-05	 1.323095e-05
3	 4.323395e+00	 2.507660e+00	-1.490606e-05	 1.345900e-05
3	 4.321663e+00	 2.506660e+00	-1.496924e-05	 1.367342e-05
3	 4.319931e+00	 2.505660e+00	-1.503069e-05	 1.387420e-05
