xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 0.0000000000e+00	 2.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.8450474262e+14	-1.2693077326e+15
 0.0000000000e+00	 4.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-5.8357330157e+14	-1.4305885977e+15
 0.0000000000e+00	 6.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 0.0000000000e+00	 8.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-2.3507920798e+14	-2.1785235237e+15
 0.0000000000e+00	 1.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 1.0000000000e-01	 0.0000000000e+00	 4.3387872730e+00	 2.5050000000e+00	 1.7820387944e+01	 2.7376715938e+00
 1.0000000000e-01	 2.0000000000e-01	 4.3377872730e+00	 2.5067320508e+00	 1.6577277641e+01	 1.8423894245e+00
 1.0000000000e-01	 4.0000000000e-01	 4.3367872730e+00	 2.5084641016e+00	 1.5508888950e+01	 8.9184815274e-01
 1.0000000000e-01	 6.0000000000e-01	 4.3357872730e+00	 2.5101961524e+00	 1.4631938551e+01	-1.3066890126e-01
 1.0000000000e-01	 8.0000000000e-01	 4.3347872730e+00	 2.5119282032e+00	 1.3963151558e+01	-1.2418868515e+00
 1.0000000000e-01	 1.0000000000e+00	 4.3337872730e+00	 2.5136602540e+00	 1.3516328089e+01	-2.4556058162e+00
 2.0000000000e-01	 0.0000000000e+00	 4.3647680351e+00	 2.5200000000e+00	 8.8772886886e+00	 1.2727368330e+00
 2.0000000000e-01	 2.0000000000e-01	 4.3607680351e+00	 2.5269282032e+00	 8.2722357693e+00	 8.0935680636e-01
 2.0000000000e-01	 4.0000000000e-01	 4.3567680351e+00	 2.5338564065e+00	 7.7525097092e+00	 3.2155536413e-01
 2.0000000000e-01	 6.0000000000e-01	 4.3527680351e+00	 2.5407846097e+00	 7.3256407752e+00	-1.9819776067e-01
 2.0000000000e-01	 8.0000000000e-01	 4.3487680351e+00	 2.5477128129e+00	 6.9994052544e+00	-7.5767885502e-01
 2.0000000000e-01	 1.0000000000e+00	 4.3447680351e+00	 2.5546410162e+00	 6.7805433170e+00	-1.3636280891e+00
 3.0000000000e-01	 0.0000000000e+00	 4.4080693053e+00	 2.5450000000e+00	 5.9135567511e+00	 7.8487598356e-01
 3.0000000000e-01	 2.0000000000e-01	 4.3990693053e+00	 2.5605884573e+00	 5.5153701277e+00	 4.6267232184e-01
 3.0000000000e-01	 4.0000000000e-01	 4.3900693053e+00	 2.5761769145e+00	 5.1738946416e+00	 1.2728569149e-01
 3.0000000000e-01	 6.0000000000e-01	 4.3810693053e+00	 2.5917653718e+00	 4.8935083471e+00	-2.2566196172e-01
 3.0000000000e-01	 8.0000000000e-01	 4.3720693053e+00	 2.6073538291e+00	 4.6788977657e+00	-6.0085715932e-01
 3.0000000000e-01	 1.0000000000e+00	 4.3630693053e+00	 2.6229422863e+00	 4.5343297827e+00	-1.0025667865e+00
 4.0000000000e-01	 0.0000000000e+00	 4.4686910835e+00	 2.5800000000e+00	 4.4360376051e+00	 5.3967147643e-01
 4.0000000000e-01	 2.0000000000e-01	 4.4526910835e+00	 2.6077128129e+00	 4.1399502707e+00	 2.8782335448e-01
 4.0000000000e-01	 4.0000000000e-01	 4.4366910835e+00	 2.6354256258e+00	 3.8864691103e+00	 2.8609892399e-02
 4.0000000000e-01	 6.0000000000e-01	 4.4206910835e+00	 2.6631384388e+00	 3.6784213138e+00	-2.4079609965e-01
 4.0000000000e-01	 8.0000000000e-01	 4.4046910835e+00	 2.6908512517e+00	 3.5189666405e+00	-5.2355438104e-01
 4.0000000000e-01	 1.0000000000e+00	 4.3886910835e+00	 2.7185640646e+00	 3.4111321646e+00	-8.2269202600e-01
 5.0000000000e-01	 0.0000000000e+00	 4.5466333699e+00	 2.6250000000e+00	 3.5515217082e+00	 3.9130067533e-01
 5.0000000000e-01	 2.0000000000e-01	 4.5216333699e+00	 2.6683012702e+00	 3.3161245080e+00	 1.8177932849e-01
 5.0000000000e-01	 4.0000000000e-01	 4.4966333699e+00	 2.7116025404e+00	 3.1149311546e+00	-3.1549472994e-02
 5.0000000000e-01	 6.0000000000e-01	 4.4716333699e+00	 2.7549038106e+00	 2.9498697176e+00	-2.5061379872e-01
 5.0000000000e-01	 8.0000000000e-01	 4.4466333699e+00	 2.7982050808e+00	 2.8232092835e+00	-4.7768273534e-01
 5.0000000000e-01	 1.0000000000e+00	 4.4216333699e+00	 2.8415063509e+00	 2.7372409760e+00	-7.1504740630e-01
 5.0000000000e-01	 0.0000000000e+00	 4.5466333699e+00	 2.6250000000e+00	 3.5515217082e+00	 3.9130067533e-01
