xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1247333122e+00
 0.0000000000e+00	 2.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.3709038685e+15
 0.0000000000e+00	 4.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.2459085933e+15
 0.0000000000e+00	 6.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.1247333122e+00
 0.0000000000e+00	 8.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 2.0710145806e+15
 0.0000000000e+00	 1.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1247333122e+00
 1.0000000000e-01	 0.0000000000e+00	 4.3387872730e+00	 2.5050000000e+00	 1.6621513239e+01
 1.0000000000e-01	 2.0000000000e-01	 4.3377872730e+00	 2.5067320508e+00	 1.5737176740e+01
 1.0000000000e-01	 4.0000000000e-01	 4.3367872730e+00	 2.5084641016e+00	 1.5082753582e+01
 1.0000000000e-01	 6.0000000000e-01	 4.3357872730e+00	 2.5101961524e+00	 1.4697708646e+01
 1.0000000000e-01	 8.0000000000e-01	 4.3347872730e+00	 2.5119282032e+00	 1.4623697846e+01
 1.0000000000e-01	 1.0000000000e+00	 4.3337872730e+00	 2.5136602540e+00	 1.4896707650e+01
 2.0000000000e-01	 0.0000000000e+00	 4.3647680351e+00	 2.5200000000e+00	 8.3143046141e+00
 2.0000000000e-01	 2.0000000000e-01	 4.3607680351e+00	 2.5269282032e+00	 7.8987184239e+00
 2.0000000000e-01	 4.0000000000e-01	 4.3567680351e+00	 2.5338564065e+00	 7.5968377343e+00
 2.0000000000e-01	 6.0000000000e-01	 4.3527680351e+00	 2.5407846097e+00	 7.4267234173e+00
 2.0000000000e-01	 8.0000000000e-01	 4.3487680351e+00	 2.5477128129e+00	 7.4073647488e+00
 2.0000000000e-01	 1.0000000000e+00	 4.3447680351e+00	 2.5546410162e+00	 7.5552226020e+00
 3.0000000000e-01	 0.0000000000e+00	 4.4080693053e+00	 2.5450000000e+00	 5.5628028085e+00
 3.0000000000e-01	 2.0000000000e-01	 4.3990693053e+00	 2.5605884573e+00	 5.2992041119e+00
 3.0000000000e-01	 4.0000000000e-01	 4.3900693053e+00	 2.5761769145e+00	 5.1114405652e+00
 3.0000000000e-01	 6.0000000000e-01	 4.3810693053e+00	 2.5917653718e+00	 5.0101522888e+00
 3.0000000000e-01	 8.0000000000e-01	 4.3720693053e+00	 2.6073538291e+00	 5.0064421347e+00
 3.0000000000e-01	 1.0000000000e+00	 4.3630693053e+00	 2.6229422863e+00	 5.1099173357e+00
 4.0000000000e-01	 0.0000000000e+00	 4.4686910835e+00	 2.5800000000e+00	 4.1923349070e+00
 4.0000000000e-01	 2.0000000000e-01	 4.4526910835e+00	 2.6077128129e+00	 4.0038052092e+00
 4.0000000000e-01	 4.0000000000e-01	 4.4366910835e+00	 2.6354256258e+00	 3.8722434335e+00
 4.0000000000e-01	 6.0000000000e-01	 4.4206910835e+00	 2.6631384388e+00	 3.8045388194e+00
 4.0000000000e-01	 8.0000000000e-01	 4.4046910835e+00	 2.6908512517e+00	 3.8078347926e+00
 4.0000000000e-01	 1.0000000000e+00	 4.3886910835e+00	 2.7185640646e+00	 3.8883101787e+00
 5.0000000000e-01	 0.0000000000e+00	 4.5466333699e+00	 2.6250000000e+00	 3.3729378617e+00
 5.0000000000e-01	 2.0000000000e-01	 4.5216333699e+00	 2.6683012702e+00	 3.2290745719e+00
 5.0000000000e-01	 4.0000000000e-01	 4.4966333699e+00	 2.7116025404e+00	 3.1308251154e+00
 5.0000000000e-01	 6.0000000000e-01	 4.4716333699e+00	 2.7549038106e+00	 3.0828260869e+00
 5.0000000000e-01	 8.0000000000e-01	 4.4466333699e+00	 2.7982050808e+00	 3.0898688948e+00
 5.0000000000e-01	 1.0000000000e+00	 4.4216333699e+00	 2.8415063509e+00	 3.1561112170e+00
 5.0000000000e-01	 0.0000000000e+00	 4.5466333699e+00	 2.6250000000e+00	 3.3729378617e+00
 5.0000000000e-01	 2.0000000000e-01	 4.5216333699e+00	 2.6683012702e+00	 3.2290745719e+00
 5.0000000000e-01	 4.0000000000e-01	 4.4966333699e+00	 2.7116025404e+00	 3.1308251154e+00
 5.0000000000e-01	 6.0000000000e-01	 4.4716333699e+00	 2.7549038106e+00	 3.0828260869e+00
 5.0000000000e-01	 8.0000000000e-01	 4.4466333699e+00	 2.7982050808e+00	 3.0898688948e+00
 5.0000000000e-01	 1.0000000000e+00	 4.4216333699e+00	 2.8415063509e+00	 3.1561112170e+00
 6.0000000000e-01	 0.0000000000e+00	 4.6418961643e+00	 2.6800000000e+00	 2.8410159968e+00
 6.0000000000e-01	 2.0000000000e-01	 4.6058961643e+00	 2.7423538291e+00	 2.7282224729e+00
 6.0000000000e-01	 4.0000000000e-01	 4.5698961643e+00	 2.8047076581e+00	 2.6505712016e+00
 6.0000000000e-01	 6.0000000000e-01	 4.5338961643e+00	 2.8670614872e+00	 2.6099629906e+00
 6.0000000000e-01	 8.0000000000e-01	 4.4978961643e+00	 2.9294153163e+00	 2.6088665913e+00
 6.0000000000e-01	 1.0000000000e+00	 4.4618961643e+00	 2.9917691454e+00	 2.6500029939e+00
 7.0000000000e-01	 0.0000000000e+00	 4.7544794668e+00	 2.7450000000e+00	 2.4679426025e+00
 7.0000000000e-01	 2.0000000000e-01	 4.7054794668e+00	 2.8298704896e+00	 2.3775160074e+00
 7.0000000000e-01	 4.0000000000e-01	 4.6564794668e+00	 2.9147409791e+00	 2.3150301719e+00
 7.0000000000e-01	 6.0000000000e-01	 4.6074794668e+00	 2.9996114687e+00	 2.2810365114e+00
 7.0000000000e-01	 8.0000000000e-01	 4.5584794668e+00	 3.0844819583e+00	 2.2767888741e+00
 7.0000000000e-01	 1.0000000000e+00	 4.5094794668e+00	 3.1693524479e+00	 2.3041349898e+00
 8.0000000000e-01	 0.0000000000e+00	 4.8843832773e+00	 2.8200000000e+00	 2.1920145669e+00
 8.0000000000e-01	 2.0000000000e-01	 4.8203832773e+00	 2.9308512517e+00	 2.1183933265e+00
 8.0000000000e-01	 4.0000000000e-01	 4.7563832773e+00	 3.0417025034e+00	 2.0674994485e+00
 8.0000000000e-01	 6.0000000000e-01	 4.6923832773e+00	 3.1525537551e+00	 2.0391776804e+00
 8.0000000000e-01	 8.0000000000e-01	 4.6283832773e+00	 3.2634050067e+00	 2.0339779445e+00
 8.0000000000e-01	 1.0000000000e+00	 4.5643832773e+00	 3.3742562584e+00	 2.0531418359e+00
 9.0000000000e-01	 0.0000000000e+00	 5.0316075960e+00	 2.9050000000e+00	 1.9797597096e+00
 9.0000000000e-01	 2.0000000000e-01	 4.9506075960e+00	 3.0452961154e+00	 1.9191973028e+00
 9.0000000000e-01	 4.0000000000e-01	 4.8696075960e+00	 3.1855922308e+00	 1.8774714803e+00
 9.0000000000e-01	 6.0000000000e-01	 4.7886075960e+00	 3.3258883462e+00	 1.8540600507e+00
 9.0000000000e-01	 8.0000000000e-01	 4.7076075960e+00	 3.4661844617e+00	 1.8490880926e+00
 9.0000000000e-01	 1.0000000000e+00	 4.6266075960e+00	 3.6064805771e+00	 1.8633560633e+00
 1.0000000000e+00	 0.0000000000e+00	 5.1961524227e+00	 3.0000000000e+00	 1.8114564725e+00
 1.0000000000e+00	 2.0000000000e-01	 5.0961524227e+00	 3.1732050808e+00	 1.7613215232e+00
 1.0000000000e+00	 4.0000000000e-01	 4.9961524227e+00	 3.3464101615e+00	 1.7270634970e+00
 1.0000000000e+00	 6.0000000000e-01	 4.8961524227e+00	 3.5196152423e+00	 1.7079902383e+00
 1.0000000000e+00	 8.0000000000e-01	 4.7961524227e+00	 3.6928203230e+00	 1.7039745308e+00
 1.0000000000e+00	 1.0000000000e+00	 4.6961524227e+00	 3.8660254038e+00	 1.7154969262e+00
 0.0000000000e+00	 0.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1247333122e+00
