1	10	10
21	21	2	2
 1.0000e+00	 0.0000e+00	-4.6858e-05	 0.0000e+00	 4.6858e-05
 9.9743e-01	 7.1669e-02	-4.6681e-05	 9.6423e-06	 4.7666e-05
 9.8944e-01	 1.4492e-01	-4.6190e-05	 1.9537e-05	 5.0152e-05
 9.7568e-01	 2.1918e-01	-4.5436e-05	 2.9634e-05	 5.4245e-05
 9.5586e-01	 2.9381e-01	-4.4461e-05	 3.9843e-05	 5.9701e-05
 9.2979e-01	 3.6809e-01	-4.3304e-05	 5.0014e-05	 6.6156e-05
 8.9738e-01	 4.4127e-01	-4.1969e-05	 5.9936e-05	 7.3169e-05
 8.5866e-01	 5.1254e-01	-4.0344e-05	 6.9478e-05	 8.0343e-05
 8.1383e-01	 5.8111e-01	-3.8329e-05	 7.8595e-05	 8.7443e-05
 7.6316e-01	 6.4621e-01	-3.5888e-05	 8.7312e-05	 9.4400e-05
 7.0711e-01	 7.0711e-01	-3.3078e-05	 9.5682e-05	 1.0124e-04
 6.4621e-01	 7.6316e-01	-3.0039e-05	 1.0360e-04	 1.0787e-04
 5.8111e-01	 8.1383e-01	-2.6900e-05	 1.1075e-04	 1.1397e-04
 5.1254e-01	 8.5866e-01	-2.3712e-05	 1.1687e-04	 1.1925e-04
 4.4127e-01	 8.9738e-01	-2.0479e-05	 1.2187e-04	 1.2358e-04
 3.6809e-01	 9.2979e-01	-1.7176e-05	 1.2590e-04	 1.2706e-04
 2.9381e-01	 9.5586e-01	-1.3782e-05	 1.2917e-04	 1.2990e-04
 2.1918e-01	 9.7568e-01	-1.0318e-05	 1.3183e-04	 1.3223e-04
 1.4492e-01	 9.8944e-01	-6.8317e-06	 1.3391e-04	 1.3408e-04
 7.1669e-02	 9.9743e-01	-3.3768e-06	 1.3539e-04	 1.3543e-04
 0.0000e+00	 1.0000e+00	 0.0000e+00	 1.3622e-04	 1.3622e-04
 1.0625e+00	 0.0000e+00	-4.9814e-05	 0.0000e+00	 4.9814e-05
 1.0598e+00	 7.6149e-02	-4.9746e-05	 8.8494e-06	 5.0527e-05
 1.0513e+00	 1.5398e-01	-4.9122e-05	 1.7920e-05	 5.2289e-05
 1.0367e+00	 2.3288e-01	-4.8010e-05	 2.7209e-05	 5.5184e-05
 1.0156e+00	 3.1218e-01	-4.6489e-05	 3.6683e-05	 5.9219e-05
 9.8790e-01	 3.9110e-01	-4.4656e-05	 4.6245e-05	 6.4287e-05
