patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-4.721073257935544e-05	 0.000000000000000e+00
1	 9.999652819873316e-01	 8.333048840547298e-03	-4.720904682964732e-05	 1.135954795742825e-06
1	 9.998606548526504e-01	 1.669391286202172e-02	-4.720408166698053e-05	 2.275721373822026e-06
1	 9.996854145678035e-01	 2.508186591579744e-02	-4.719579748643901e-05	 3.419195116091749e-06
1	 9.994388649236412e-01	 3.349616549931930e-02	-4.718415610240939e-05	 4.566270124414404e-06
1	 9.991203179452327e-01	 4.193605278629495e-02	-4.716912057673125e-05	 5.716839098597439e-06
1	 9.987290943103193e-01	 5.040075266753075e-02	-4.715065503896021e-05	 6.870793204838153e-06
1	 9.982645237707195e-01	 5.888947380262372e-02	-4.712872449986712e-05	 8.028021935787867e-06
1	 9.977259455763865e-01	 6.740140868271496e-02	-4.710329465936642e-05	 9.188412963476282e-06
1	 9.971127089018138e-01	 7.593573370450242e-02	-4.707433171014051e-05	 1.035185198646081e-05
1	 9.964241732744672e-01	 8.449160925570288e-02	-4.704180213829435e-05	 1.151822257268392e-05
1	 9.956595725195881e-01	 9.306963622590368e-02	-4.700566772141148e-05	 1.268760578540096e-05
1	 9.948183983547721e-01	 1.016674728801871e-01	-4.696590842703177e-05	 1.385968624783037e-05
1	 9.939000435131441e-01	 1.102842106753847e-01	-4.692250045089232e-05	 1.503434481588000e-05
1	 9.929039128517897e-01	 1.189189249707242e-01	-4.687541960483205e-05	 1.621145959100758e-05
1	 9.918294237927018e-01	 1.275706751727545e-01	-4.682464112171921e-05	 1.739090576534297e-05
1	 9.906760067638285e-01	 1.362385048931707e-01	-4.677013946636912e-05	 1.857255547342561e-05
1	 9.894431056398209e-01	 1.449214421196757e-01	-4.671188815406098e-05	 1.975627765260511e-05
1	 9.881301781820826e-01	 1.536184993999990e-01	-4.664985957826109e-05	 2.094193791417558e-05
1	 9.867366964777042e-01	 1.623286740391850e-01	-4.658402484914636e-05	 2.212939842731961e-05
1	 9.852621473768629e-01	 1.710509483102449e-01	-4.651435364449715e-05	 2.331851781792346e-05
1	 9.837063042735066e-01	 1.797828046792139e-01	-4.644083016639883e-05	 2.450895010193944e-05
1	 9.820684407268566e-01	 1.885246801511627e-01	-4.636342571562517e-05	 2.570075630310896e-05
1	 9.803480899544126e-01	 1.972755162273639e-01	-4.628212477570412e-05	 2.689379333615609e-05
1	 9.785448016382446e-01	 2.060342404108244e-01	-4.619691016373758e-05	 2.808791445867346e-05
1	 9.766581423474189e-01	 2.147997664840680e-01	-4.610776295897749e-05	 2.928296927049288e-05
1	 9.746876959562029e-01	 2.235709948004863e-01	-4.601466245166583e-05	 3.047880373867854e-05
1	 9.726330640575948e-01	 2.323468125892456e-01	-4.591758611316552e-05	 3.167526024950508e-05
1	 9.704938663716977e-01	 2.411260942737208e-01	-4.581650958827935e-05	 3.287217768859362e-05
1	 9.682697411484724e-01	 2.499077018034106e-01	-4.571140671051176e-05	 3.406939155016685e-05
1	 9.659603455643851e-01	 2.586904849992691e-01	-4.560224954087388e-05	 3.526673407615018e-05
1	 9.635653563227460e-01	 2.674732820350743e-01	-4.548901407412072e-05	 3.646403945550127e-05
1	 9.610844706690255e-01	 2.762549201886375e-01	-4.537169736359669e-05	 3.766115921094223e-05
1	 9.585174061376137e-01	 2.850342158783321e-01	-4.525030088515752e-05	 3.885794750492846e-05
1	 9.558639007082445e-01	 2.938099749412080e-01	-4.512482504511127e-05	 4.005425638463940e-05
1	 9.531237131637238e-01	 3.025809930437929e-01	-4.499526932766713e-05	 4.124993606106214e-05
1	 9.502966234386567e-01	 3.113460561054973e-01	-4.486163246532270e-05	 4.244483521594868e-05
1	 9.473824329586863e-01	 3.201039407344277e-01	-4.472391263143863e-05	 4.363880133522968e-05
1	 9.443809649697816e-01	 3.288534146753910e-01	-4.458210765402936e-05	 4.483168106710949e-05
1	 9.412920648570995e-01	 3.375932372698591e-01	-4.443621524957671e-05	 4.602332060270316e-05
1	 9.381156004529616e-01	 3.463221599276365e-01	-4.428623327544923e-05	 4.721356607670910e-05
1	 9.348508998318095e-01	 3.550404073758257e-01	-4.413212632853067e-05	 4.840244725776736e-05
1	 9.314984086111489e-01	 3.637452306608892e-01	-4.397388276458691e-05	 4.958951519424909e-05
1	 9.280580630371016e-01	 3.724353592601340e-01	-4.381145944429503e-05	 5.077450546112313e-05
1	 9.245298229341035e-01	 3.811095166967163e-01	-4.364482781745914e-05	 5.195719481839776e-05
1	 9.209136719525729e-01	 3.897664210659201e-01	-4.347398920790603e-05	 5.313743968009014e-05
1	 9.172096178030529e-01	 3.984047855712462e-01	-4.329895176958614e-05	 5.431510042661379e-05
1	 9.134176924764241e-01	 4.070233190699295e-01	-4.311972719225715e-05	 5.549003094972249e-05
1	 9.095379524497916e-01	 4.156207266274775e-01	-4.293633061649228e-05	 5.666207837256921e-05
1	 9.055704788776667e-01	 4.241957100808110e-01	-4.274878050641096e-05	 5.783108277498063e-05
