x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	-9.7434836634e-03
 9.9996528199e-01	 8.3330488405e-03	-8.5616297240e-03
 9.9986065485e-01	 1.6693912862e-02	-2.9984574218e-03
 9.9968541457e-01	 2.5081865916e-02	 6.9400846345e-03
 9.9943886492e-01	 3.3496165499e-02	 2.1246768787e-02
 9.9912031795e-01	 4.1936052786e-02	 3.9913325456e-02
 9.9872909431e-01	 5.0400752668e-02	 6.2930691490e-02
 9.9826452377e-01	 5.8889473803e-02	 9.0289269009e-02
 9.9772594558e-01	 6.7401408683e-02	 1.2197919392e-01
 9.9711270890e-01	 7.5935733705e-02	 1.5799061318e-01
 9.9642417327e-01	 8.4491609256e-02	 1.9831396978e-01
 1.0088234573e+00	 0.0000000000e+00	 2.5544690330e-01
 1.0087884330e+00	 8.4065751451e-03	 2.5687068105e-01
 1.0086828827e+00	 1.6841210896e-02	 2.6234430277e-01
 1.0085060962e+00	 2.5303174698e-02	 2.7185930057e-01
 1.0082573711e+00	 3.3791717495e-02	 2.8540562234e-01
 1.0079360134e+00	 4.2306073768e-02	 3.0297187426e-01
 1.0075413379e+00	 5.0845461567e-02	 3.2454557547e-01
 1.0070726682e+00	 5.9409082570e-02	 3.5011342425e-01
 1.0065293379e+00	 6.7996122144e-02	 3.7966157477e-01
 1.0059106903e+00	 7.6605749417e-02	 4.1317592351e-01
 1.0052160794e+00	 8.5237117371e-02	 4.5064240432e-01
 1.0176467822e+00	 0.0000000000e+00	 5.0822935956e-01
 1.0176114515e+00	 8.4801003449e-03	 5.0982949081e-01
 1.0175049780e+00	 1.6988506717e-02	 5.1514981152e-01
 1.0173266453e+00	 2.5524480155e-02	 5.2418069902e-01
 1.0170757449e+00	 3.4087265052e-02	 5.3691067588e-01
 1.0167515765e+00	 4.2676089192e-02	 5.5332665737e-01
 1.0163534491e+00	 5.1290163788e-02	 5.7341421205e-01
 1.0158806804e+00	 5.9928683534e-02	 5.9715783467e-01
 1.0153325980e+00	 6.8590826674e-02	 6.2454123068e-01
 1.0147085397e+00	 7.7275755068e-02	 6.5554761121e-01
 1.0140078536e+00	 8.5982614290e-02	 6.9015999768e-01
 1.0264699920e+00	 0.0000000000e+00	 7.4786451867e-01
 1.0264343550e+00	 8.5536245858e-03	 7.4957347550e-01
 1.0263269584e+00	 1.7135800618e-02	 7.5467554331e-01
 1.0261470795e+00	 2.5745782726e-02	 7.6316126465e-01
 1.0258940037e+00	 3.4382808755e-02	 7.7501909012e-01
 1.0255670248e+00	 4.3046099791e-02	 7.9023563040e-01
 1.0251654454e+00	 5.1734860210e-02	 8.0879592224e-01
 1.0246885777e+00	 6.0448277725e-02	 8.3068370769e-01
 1.0241357434e+00	 6.9185523451e-02	 8.5588172578e-01
 1.0235062743e+00	 7.7945751986e-02	 8.8437201561e-01
 1.0227995132e+00	 8.6728101492e-02	 9.1613622983e-01
 1.0352931043e+00	 0.0000000000e+00	 9.7363840903e-01
 1.0352571610e+00	 8.6271480136e-03	 9.7538674684e-01
 1.0351488413e+00	 1.7283092889e-02	 9.8020443054e-01
 1.0349674162e+00	 2.5967082851e-02	 9.8808344452e-01
 1.0347121651e+00	 3.4678349190e-02	 9.9901347618e-01
 1.0343823756e+00	 4.3416106301e-02	 1.0129821720e+00
 1.0339773444e+00	 5.2179551718e-02	 1.0299754088e+00
 1.0334963778e+00	 6.0967866172e-02	 1.0499775782e+00
 1.0329387915e+00	 6.9780213656e-02	 1.0729718859e+00
 1.0323039118e+00	 7.8615741499e-02	 1.0989406616e+00
 1.0315910756e+00	 8.7473580456e-02	 1.1278656810e+00
 1.0441161367e+00	 0.0000000000e+00	 1.1848613919e+00
 1.0440798870e+00	 8.7006707743e-03	 1.1865777877e+00
 1.0439706441e+00	 1.7430383825e-02	 1.1910437974e+00
 1.0437876729e+00	 2.6188380968e-02	 1.1982540814e+00
 1.0435302465e+00	 3.4973886945e-02	 1.2082008294e+00
 1.0431976464e+00	 4.3786109454e-02	 1.2208740195e+00
 1.0427891635e+00	 5.2624239192e-02	 1.2362616938e+00
 1.0423040979e+00	 6.1487449908e-02	 1.2543502497e+00
 1.0417417598e+00	 7.0374898468e-02	 1.2751247435e+00
 1.0411014694e+00	 7.9285724937e-02	 1.2985692088e+00
 1.0403825583e+00	 8.8219052661e-02	 1.3246669862e+00
 1.0529391065e+00	 0.0000000000e+00	 1.3808671532e+00
 1.0529025505e+00	 8.7741930137e-03	 1.3824784415e+00
 1.0527923845e+00	 1.7577673716e-02	 1.3865243474e+00
 1.0526078672e+00	 2.6409677516e-02	 1.3930034013e+00
 1.0523482654e+00	 3.5269422605e-02	 1.4019115174e+00
 1.0520128549e+00	 4.4156109986e-02	 1.4132422575e+00
 1.0516009202e+00	 5.3068923516e-02	 1.4269871105e+00
 1.0511117557e+00	 6.2007029962e-02	 1.4431357882e+00
 1.0505446657e+00	 7.0969579067e-02	 1.4616765354e+00
 1.0498989648e+00	 7.9955703628e-02	 1.4825964547e+00
 1.0491739787e+00	 8.8964519584e-02	 1.5058818431e+00
 1.0617620313e+00	 0.0000000000e+00	 1.5610117454e+00
 1.0617251691e+00	 8.8477148777e-03	 1.5624429514e+00
 1.0616140799e+00	 1.7724962855e-02	 1.5659992024e+00
 1.0614280165e+00	 2.6630972935e-02	 1.5716840511e+00
 1.0611662394e+00	 3.5564956757e-02	 1.5794983182e+00
 1.0608280183e+00	 4.4526108629e-02	 1.5894403586e+00
 1.0604126319e+00	 5.3513605570e-02	 1.6015063450e+00
 1.0599193686e+00	 6.2526607365e-02	 1.6156905681e+00
 1.0593475267e+00	 7.1564256632e-02	 1.6319857523e+00
 1.0586964153e+00	 8.0625678901e-02	 1.6503833868e+00
 1.0579653543e+00	 8.9709982704e-02	 1.6708740693e+00
 1.0705849287e+00	 0.0000000000e+00	 1.7246726776e+00
 1.0705477601e+00	 8.9212365123e-03	 1.7258470487e+00
 1.0704357479e+00	 1.7872251535e-02	 1.7288429880e+00
 1.0702481382e+00	 2.6852267663e-02	 1.7336701848e+00
 1.0699841859e+00	 3.5860489987e-02	 1.7403355071e+00
 1.0696431543e+00	 4.4896106119e-02	 1.7488432707e+00
 1.0692243162e+00	 5.3958286238e-02	 1.7591955262e+00
 1.0687269540e+00	 6.3046183148e-02	 1.7713923638e+00
 1.0681503603e+00	 7.2158932343e-02	 1.7854322338e+00
 1.0674938383e+00	 8.1295652086e-02	 1.8013122835e+00
 1.0667567025e+00	 9.0455443500e-02	 1.8190287074e+00
 1.0794078160e+00	 0.0000000000e+00	 1.8712480500e+00
 1.0793703411e+00	 8.9947580632e-03	 1.8720870846e+00
 1.0792574058e+00	 1.8019540047e-02	 1.8744509657e+00
 1.0790682500e+00	 2.7073562140e-02	 1.8783565945e+00
 1.0788021224e+00	 3.6156022882e-02	 1.8838179878e+00
 1.0784582803e+00	 4.5266103188e-02	 1.8908465495e+00
 1.0780359905e+00	 5.4402966401e-02	 1.8994513606e+00
 1.0775345294e+00	 6.3565758341e-02	 1.9096394880e+00
 1.0769531839e+00	 7.2753607379e-02	 1.9214163100e+00
 1.0762912514e+00	 8.1965624510e-02	 1.9347858581e+00
 1.0755480407e+00	 9.1200903452e-02	 1.9497511742e+00
 1.0882307108e+00	 0.0000000000e+00	 2.0001557309e+00
