x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 3.085457170310215e+01
 9.999652819873316e-01	 8.333048840547298e-03	 3.084977529757973e+01
 9.998606548526504e-01	 1.669391286202172e-02	 3.083474029003654e+01
 9.996854145678035e-01	 2.508186591579744e-02	 3.080938256495578e+01
 9.994388649236412e-01	 3.349616549931930e-02	 3.077362614000538e+01
 9.991203179452327e-01	 4.193605278629495e-02	 3.072740346667424e+01
 9.987290943103193e-01	 5.040075266753075e-02	 3.067065574374455e+01
 9.982645237707195e-01	 5.888947380262372e-02	 3.060333324375302e+01
 9.977259455763865e-01	 6.740140868271496e-02	 3.052539565250146e+01
 9.971127089018138e-01	 7.593573370450242e-02	 3.043681242157797e+01
 9.964241732744672e-01	 8.449160925570288e-02	 3.033756313373855e+01
 1.008823457328410e+00	 0.000000000000000e+00	 3.023050545631489e+01
 1.008788432982907e+00	 8.406575145132409e-03	 3.022593061384466e+01
 1.008682882675344e+00	 1.684121089620530e-02	 3.021162032062217e+01
 1.008506096165558e+00	 2.530317469758155e-02	 3.018749789091116e+01
 1.008257371101382e+00	 3.379171749539848e-02	 3.015349323999176e+01
 1.007936013437521e+00	 4.230607376802643e-02	 3.010954314483238e+01
 1.007541337857695e+00	 5.084546156726499e-02	 3.005559151962213e+01
 1.007072668199768e+00	 5.940908257049081e-02	 2.999158970645326e+01
 1.006529337883544e+00	 6.799612214396498e-02	 2.991749678135205e+01
 1.005910690340937e+00	 7.660574941749865e-02	 2.983327987574839e+01
 1.005216079448178e+00	 8.523711737066911e-02	 2.973891451336553e+01
 1.017646782159778e+00	 0.000000000000000e+00	 2.963248800935489e+01
 1.017611451486040e+00	 8.480100344912849e-03	 2.962816041674961e+01
 1.017504978019459e+00	 1.698850671730691e-02	 2.961456262893054e+01
 1.017326645307965e+00	 2.552448015460338e-02	 2.959162581922092e+01
 1.017075744856467e+00	 3.408726505170349e-02	 2.955928628828370e+01
 1.016751576549402e+00	 4.267608919171342e-02	 2.951748568556748e+01
 1.016353449076568e+00	 5.129016378750074e-02	 2.946617124764489e+01
 1.015880680361970e+00	 5.992868353429856e-02	 2.940529605387579e+01
 1.015332597995354e+00	 6.859082667356628e-02	 2.933481929972597e+01
 1.014708539666144e+00	 7.727575506830839e-02	 2.925470658796796e+01
 1.014007853599432e+00	 8.598261429004454e-02	 2.916493023787084e+01
 1.026469991993312e+00	 0.000000000000000e+00	 2.905880364118040e+01
 1.026434354995330e+00	 8.553624585774041e-03	 2.905473955873256e+01
 1.026326958381762e+00	 1.713580061756481e-02	 2.904183563728291e+01
 1.026147079488713e+00	 2.574578272591117e-02	 2.902003133446086e+01
 1.025894003678258e+00	 3.438280875453906e-02	 2.898926981734183e+01
 1.025567024764651e+00	 4.304609979135286e-02	 2.894949814535124e+01
 1.025165445443851e+00	 5.173486021035203e-02	 2.890066747210912e+01
 1.024688577726083e+00	 6.044827772469145e-02	 2.884273326678536e+01
 1.024135743371121e+00	 6.918552345109567e-02	 2.877565555543641e+01
 1.023506274325981e+00	 7.794575198583098e-02	 2.869939918268165e+01
 1.022799513164692e+00	 8.672810149242928e-02	 2.861393409395543e+01
 1.035293104328222e+00	 0.000000000000000e+00	 2.850779524655986e+01
 1.035257161009377e+00	 8.627148013601409e-03	 2.850400167842988e+01
 1.035148841259015e+00	 1.728309288921725e-02	 2.849176665272735e+01
 1.034967416201492e+00	 2.596708285055307e-02	 2.847103833291159e+01
 1.034712165056120e+00	 3.467834919020986e-02	 2.844176722708874e+01
 1.034382375567044e+00	 4.341610630094170e-02	 2.840390633300618e+01
 1.033977344436454e+00	 5.217955171793285e-02	 2.835741130405263e+01
 1.033496377760867e+00	 6.096786617231392e-02	 2.830224063697474e+01
 1.032938791470156e+00	 6.978021365613013e-02	 2.823835588191958e+01
 1.032303911768995e+00	 7.861574149896601e-02	 2.816572187529603e+01
