xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.5248064311e+00	-2.7966461269e+01
 0.0000000000e+00	 5.8820000000e-03	 9.9996528199e-01	 8.3330488405e-03	-1.8704560289e+01	-3.3211222611e+01
 0.0000000000e+00	 1.1764000000e-02	 9.9986065485e-01	 1.6693912862e-02	-2.6043788126e+01	-4.3434553294e+01
 0.0000000000e+00	 1.7646000000e-02	 9.9968541457e-01	 2.5081865916e-02	-2.5638489119e+01	-5.2903441083e+01
 0.0000000000e+00	 2.3528000000e-02	 9.9943886492e-01	 3.3496165499e-02	-2.2851485393e+01	-5.7672869223e+01
 0.0000000000e+00	 2.9410000000e-02	 9.9912031795e-01	 4.1936052786e-02	-1.8782710215e+01	-5.8064273174e+01
 0.0000000000e+00	 3.5292000000e-02	 9.9872909431e-01	 5.0400752668e-02	-1.3986751464e+01	-5.4946307056e+01
 0.0000000000e+00	 4.1174000000e-02	 9.9826452377e-01	 5.8889473803e-02	-8.9139237663e+00	-4.9292034699e+01
 0.0000000000e+00	 4.7056000000e-02	 9.9772594558e-01	 6.7401408683e-02	-3.9783555699e+00	-4.2109060309e+01
 0.0000000000e+00	 5.2938000000e-02	 9.9711270890e-01	 7.5935733705e-02	 4.2502645643e-01	-3.4420717736e+01
 0.0000000000e+00	 5.8820000000e-02	 9.9642417327e-01	 8.4491609256e-02	 3.9105959113e+00	-2.7254300107e+01
 5.8820000000e-03	 0.0000000000e+00	 1.0088234573e+00	 0.0000000000e+00	 8.2694408472e+00	-2.9784922739e+01
 5.8820000000e-03	 5.8820000000e-03	 1.0087884330e+00	 8.4065751451e-03	-4.4995443155e+00	-3.1701857190e+01
 5.8820000000e-03	 1.1764000000e-02	 1.0086828827e+00	 1.6841210896e-02	-1.1120112096e+01	-3.4121811010e+01
 5.8820000000e-03	 1.7646000000e-02	 1.0085060962e+00	 2.5303174698e-02	-1.2897996667e+01	-3.6560546662e+01
 5.8820000000e-03	 2.3528000000e-02	 1.0082573711e+00	 3.3791717495e-02	-1.1913058942e+01	-3.7758425709e+01
 5.8820000000e-03	 2.9410000000e-02	 1.0079360134e+00	 4.2306073768e-02	-9.5716472879e+00	-3.7126982005e+01
 5.8820000000e-03	 3.5292000000e-02	 1.0075413379e+00	 5.0845461567e-02	-6.6069584206e+00	-3.4747469265e+01
 5.8820000000e-03	 4.1174000000e-02	 1.0070726682e+00	 5.9409082570e-02	-3.4450558117e+00	-3.1003726586e+01
 5.8820000000e-03	 4.7056000000e-02	 1.0065293379e+00	 6.7996122144e-02	-3.7875145610e-01	-2.6407157047e+01
 5.8820000000e-03	 5.2938000000e-02	 1.0059106903e+00	 7.6605749417e-02	 2.3706048911e+00	-2.1533776357e+01
 5.8820000000e-03	 5.8820000000e-02	 1.0052160794e+00	 8.5237117371e-02	 4.6319253333e+00	-1.7001829003e+01
 1.1764000000e-02	 0.0000000000e+00	 1.0176467822e+00	 0.0000000000e+00	 1.1780864297e+01	-3.2722755587e+01
 1.1764000000e-02	 5.8820000000e-03	 1.0176114515e+00	 8.4801003449e-03	 5.0513297656e+00	-2.9212579955e+01
 1.1764000000e-02	 1.1764000000e-02	 1.0175049780e+00	 1.6988506717e-02	 6.9602525008e-01	-2.6134732119e+01
 1.1764000000e-02	 1.7646000000e-02	 1.0173266453e+00	 2.5524480155e-02	-1.5232477428e+00	-2.3568797233e+01
 1.1764000000e-02	 2.3528000000e-02	 1.0170757449e+00	 3.4087265052e-02	-2.0003525528e+00	-2.1432022287e+01
 1.1764000000e-02	 2.9410000000e-02	 1.0167515765e+00	 4.2676089192e-02	-1.2905943864e+00	-1.9472971903e+01
 1.1764000000e-02	 3.5292000000e-02	 1.0163534491e+00	 5.1290163788e-02	 4.8909360000e-02	-1.7430584592e+01
 1.1764000000e-02	 4.1174000000e-02	 1.0158806804e+00	 5.9928683534e-02	 1.6056136669e+00	-1.5179978334e+01
 1.1764000000e-02	 4.7056000000e-02	 1.0153325980e+00	 6.8590826674e-02	 3.1330529729e+00	-1.2753373859e+01
 1.1764000000e-02	 5.2938000000e-02	 1.0147085397e+00	 7.7275755068e-02	 4.5172089088e+00	-1.0305874510e+01
 1.1764000000e-02	 5.8820000000e-02	 1.0140078536e+00	 8.5982614290e-02	 5.7486371624e+00	-8.0870019994e+00
 1.7646000000e-02	 0.0000000000e+00	 1.0264699920e+00	 0.0000000000e+00	 1.2343820138e+01	-3.4627433711e+01
 1.7646000000e-02	 5.8820000000e-03	 1.0264343550e+00	 8.5536245858e-03	 1.0477893314e+01	-2.5937334394e+01
 1.7646000000e-02	 1.1764000000e-02	 1.0263269584e+00	 1.7135800618e-02	 8.9246822417e+00	-1.8756737147e+01
 1.7646000000e-02	 1.7646000000e-02	 1.0261470795e+00	 2.5745782726e-02	 7.6999320217e+00	-1.3000529235e+01
 1.7646000000e-02	 2.3528000000e-02	 1.0258940037e+00	 3.4382808755e-02	 6.8294586705e+00	-8.5826547120e+00
 1.7646000000e-02	 2.9410000000e-02	 1.0255670248e+00	 4.3046099791e-02	 6.3357517705e+00	-5.4025727850e+00
 1.7646000000e-02	 3.5292000000e-02	 1.0251654454e+00	 5.1734860210e-02	 6.1975997401e+00	-3.3047485632e+00
 1.7646000000e-02	 4.1174000000e-02	 1.0246885777e+00	 6.0448277725e-02	 6.3090734102e+00	-2.0375123771e+00
 1.7646000000e-02	 4.7056000000e-02	 1.0241357434e+00	 6.9185523451e-02	 6.5294192890e+00	-1.3028395630e+00
 1.7646000000e-02	 5.2938000000e-02	 1.0235062743e+00	 7.7945751986e-02	 6.8061437082e+00	-8.7933241923e-01
 1.7646000000e-02	 5.8820000000e-02	 1.0227995132e+00	 8.6728101492e-02	 7.2311979491e+00	-6.7831494648e-01
 2.3528000000e-02	 0.0000000000e+00	 1.0352931043e+00	 0.0000000000e+00	 1.0341156024e+01	-3.5459432395e+01
