x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	-1.1039934559e+00
 9.9996528199e-01	 8.3330488405e-03	-2.5351105107e+01
 9.9986065485e-01	 1.6693912862e-02	-4.2220507474e+01
 9.9968541457e-01	 2.5081865916e-02	-5.2653256729e+01
 9.9943886492e-01	 3.3496165499e-02	-5.7601346799e+01
 9.9912031795e-01	 4.1936052786e-02	-5.8026780974e+01
 9.9872909431e-01	 5.0400752668e-02	-5.4900606224e+01
 9.9826452377e-01	 5.8889473803e-02	-4.9201910596e+01
 9.9772594558e-01	 6.7401408683e-02	-4.1916784138e+01
 9.9711270890e-01	 7.5935733705e-02	-3.4037243883e+01
 9.9642417327e-01	 8.4491609256e-02	-2.6560123510e+01
 1.0088234573e+00	 0.0000000000e+00	-7.0087011886e+00
 1.0087884330e+00	 8.4065751451e-03	-2.0287594246e+01
 1.0086828827e+00	 1.6841210896e-02	-2.9377704097e+01
 1.0085060962e+00	 2.5303174698e-02	-3.4815413984e+01
 1.0082573711e+00	 3.3791717495e-02	-3.7142041412e+01
 1.0079360134e+00	 4.2306073768e-02	-3.6903269675e+01
 1.0075413379e+00	 5.0845461567e-02	-3.4648558556e+01
 1.0070726682e+00	 5.9409082570e-02	-3.0930534473e+01
 1.0065293379e+00	 6.7996122144e-02	-2.6304360405e+01
 1.0059106903e+00	 7.6605749417e-02	-2.1327085994e+01
 1.0052160794e+00	 8.5237117371e-02	-1.6556978254e+01
 1.0176467822e+00	 0.0000000000e+00	-1.3006883756e+01
 1.0176114515e+00	 8.4801003449e-03	-1.6661040761e+01
 1.0175049780e+00	 1.6988506717e-02	-1.8875796342e+01
 1.0173266453e+00	 2.5524480155e-02	-1.9843020698e+01
 1.0170757449e+00	 3.4087265052e-02	-1.9754425439e+01
 1.0167515765e+00	 4.2676089192e-02	-1.8801305509e+01
 1.0163534491e+00	 5.1290163788e-02	-1.7174274394e+01
 1.0158806804e+00	 5.9928683534e-02	-1.5062992809e+01
 1.0153325980e+00	 6.8590826674e-02	-1.2655891125e+01
 1.0147085397e+00	 7.7275755068e-02	-1.0139885763e+01
 1.0140078536e+00	 8.5982614290e-02	-7.7000898559e+00
 1.0264699920e+00	 0.0000000000e+00	-1.8967298498e+01
 1.0264343550e+00	 8.5536245858e-03	-1.4362817531e+01
 1.0263269584e+00	 1.7135800618e-02	-1.0632779669e+01
 1.0261470795e+00	 2.5745782726e-02	-7.6831094704e+00
 1.0258940037e+00	 3.4382808755e-02	-5.4153722770e+00
 1.0255670248e+00	 4.3046099791e-02	-3.7267777537e+00
 1.0251654454e+00	 5.1734860210e-02	-2.5101885121e+00
 1.0246885777e+00	 6.0448277725e-02	-1.6541339705e+00
 1.0241357434e+00	 6.9185523451e-02	-1.0428295978e+00
 1.0235062743e+00	 7.7945751986e-02	-5.5620168706e-01
 1.0227995132e+00	 8.6728101492e-02	-6.9917803062e-02
 1.0352931043e+00	 0.0000000000e+00	-2.4763178827e+01
 1.0352571610e+00	 8.6271480136e-03	-1.3287991407e+01
 1.0351488413e+00	 1.7283092889e-02	-4.5694282594e+00
 1.0349674162e+00	 2.5967082851e-02	 1.7155029243e+00
 1.0347121651e+00	 3.4678349190e-02	 5.8974798693e+00
 1.0343823756e+00	 4.3416106301e-02	 8.3146486277e+00
 1.0339773444e+00	 5.2179551718e-02	 9.3123918581e+00
 1.0334963778e+00	 6.0967866172e-02	 9.2430823889e+00
 1.0329387915e+00	 6.9780213656e-02	 8.4658219890e+00
 1.0323039118e+00	 7.8615741499e-02	 7.3461652917e+00
 1.0315910756e+00	 8.7473580456e-02	 6.2558288427e+00
 1.0441161367e+00	 0.0000000000e+00	-3.0272045322e+01
 1.0440798870e+00	 8.7006707743e-03	-1.3335166648e+01
 1.0439706441e+00	 1.7430383825e-02	-6.0917662852e-01
 1.0437876729e+00	 2.6188380968e-02	 8.4022922101e+00
 1.0435302465e+00	 3.4973886945e-02	 1.4205761749e+01
 1.0431976464e+00	 4.3786109454e-02	 1.7317524983e+01
 1.0427891635e+00	 5.2624239192e-02	 1.8263240800e+01
 1.0423040979e+00	 6.1487449908e-02	 1.7577506793e+01
 1.0417417598e+00	 7.0374898468e-02	 1.5803410082e+01
 1.0411014694e+00	 7.9285724937e-02	 1.3492056184e+01
 1.0403825583e+00	 8.8219052661e-02	 1.1202075974e+01
 1.0529391065e+00	 0.0000000000e+00	-3.5375526381e+01
 1.0529025505e+00	 8.7741930137e-03	-1.4406336270e+01
 1.0527923845e+00	 1.7577673716e-02	 1.3219927755e+00
 1.0526078672e+00	 2.6409677516e-02	 1.2425099414e+01
 1.0523482654e+00	 3.5269422605e-02	 1.9530405122e+01
 1.0520128549e+00	 4.4156109986e-02	 2.3276611376e+01
 1.0516009202e+00	 5.3068923516e-02	 2.4313169816e+01
 1.0511117557e+00	 6.2007029962e-02	 2.3299725381e+01
 1.0505446657e+00	 7.0969579067e-02	 2.0905532470e+01
 1.0498989648e+00	 7.9955703628e-02	 1.7808844185e+01
 1.0491739787e+00	 8.8964519584e-02	 1.4696274800e+01
