xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.1532758729e+01	 1.1162276298e+00
 0.0000000000e+00	 5.0000000000e-02	 9.9742844691e-01	 7.1669333080e-02	 3.0771427026e+01	 3.7795918849e-01
 0.0000000000e+00	 1.0000000000e-01	 9.8944345048e-01	 1.4491948904e-01	 2.9902797148e+01	 7.0174801488e-02
 0.0000000000e+00	 1.5000000000e-01	 9.7568388346e-01	 2.1918248005e-01	 2.8847748537e+01	 7.2069715978e-02
 0.0000000000e+00	 2.0000000000e-01	 9.5586324611e-01	 2.9381193773e-01	 2.7451556466e+01	 2.4573687476e-01
 0.0000000000e+00	 2.5000000000e-01	 9.2978830106e-01	 3.6809470958e-01	 2.5492823790e+01	 4.2966114081e-01
 0.0000000000e+00	 3.0000000000e-01	 8.9737565000e-01	 4.4126742776e-01	 2.2918185234e+01	 5.5684924518e-01
 0.0000000000e+00	 3.5000000000e-01	 8.5866475921e-01	 5.1253763891e-01	 1.9941960296e+01	 6.6613240579e-01
 0.0000000000e+00	 4.0000000000e-01	 8.1382603605e-01	 5.8110858112e-01	 1.6761077491e+01	 7.3392674435e-01
 0.0000000000e+00	 4.5000000000e-01	 7.6316284108e-01	 6.4620621940e-01	 1.3611399659e+01	 7.6259685708e-01
 0.0000000000e+00	 5.0000000000e-01	 7.0710678119e-01	 7.0710678119e-01	 1.0645492701e+01	 7.8332101578e-01
 5.0000000000e-02	 0.0000000000e+00	 1.0750000000e+00	 0.0000000000e+00	 2.6836901060e+01	 2.4052255704e+00
 5.0000000000e-02	 5.0000000000e-02	 1.0722355804e+00	 7.7044533058e-02	 2.6291457586e+01	 1.9780404018e+00
 5.0000000000e-02	 1.0000000000e-01	 1.0636517093e+00	 1.5578845071e-01	 2.5625333388e+01	 1.7484327470e+00
 5.0000000000e-02	 1.5000000000e-01	 1.0488601747e+00	 2.3562116605e-01	 2.4811169386e+01	 1.6578740540e+00
 5.0000000000e-02	 2.0000000000e-01	 1.0275529896e+00	 3.1584783305e-01	 2.3737482524e+01	 1.6189018845e+00
 5.0000000000e-02	 2.5000000000e-01	 9.9952242364e-01	 3.9570181279e-01	 2.2198416129e+01	 1.5206664702e+00
 5.0000000000e-02	 3.0000000000e-01	 9.6467882374e-01	 4.7436248484e-01	 2.0102576888e+01	 1.3331097396e+00
 5.0000000000e-02	 3.5000000000e-01	 9.2306461615e-01	 5.5097796182e-01	 1.7583945394e+01	 1.0627048267e+00
 5.0000000000e-02	 4.0000000000e-01	 8.7486298875e-01	 6.2469172470e-01	 1.4904638087e+01	 7.3484238139e-01
 5.0000000000e-02	 4.5000000000e-01	 8.2040005416e-01	 6.9467168585e-01	 1.2377926392e+01	 3.9255839758e-01
 5.0000000000e-02	 5.0000000000e-01	 7.6013978977e-01	 7.6013978977e-01	 1.0200716285e+01	 4.0476020101e-02
 1.0000000000e-01	 0.0000000000e+00	 1.1500000000e+00	 0.0000000000e+00	 2.3034454212e+01	 2.7194655813e+00
 1.0000000000e-01	 5.0000000000e-02	 1.1470427139e+00	 8.2419733036e-02	 2.2638065248e+01	 2.5110405521e+00
 1.0000000000e-01	 1.0000000000e-01	 1.1378599681e+00	 1.6665741238e-01	 2.2122884883e+01	 2.3326793888e+00
 1.0000000000e-01	 1.5000000000e-01	 1.1220364660e+00	 2.5205985205e-01	 2.1528754227e+01	 2.2221348824e+00
 1.0000000000e-01	 2.0000000000e-01	 1.0992427330e+00	 3.3788372837e-01	 2.0835597904e+01	 2.1770517197e+00
