x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 3.153269191615232e+01
 9.974284469059532e-01	 7.166933307989243e-02	 3.064784708782588e+01
 9.894434504816298e-01	 1.449194890387739e-01	 2.938629406701612e+01
 9.756838834611086e-01	 2.191824800515997e-01	 2.768992569921276e+01
 9.558632461068471e-01	 2.938119377281626e-01	 2.547452572517446e+01
 9.297883010623589e-01	 3.680947095758919e-01	 2.262843019600404e+01
 8.973756499953162e-01	 4.412674277632060e-01	 1.925209723828096e+01
 8.586647592086445e-01	 5.125376389107853e-01	 1.570921428990398e+01
 8.138260360508662e-01	 5.811085811189265e-01	 1.228625331661312e+01
 7.631628410841520e-01	 6.462062193992625e-01	 9.277284753151918e+00
 7.071067811868699e-01	 7.071067811868699e-01	 6.877661911955835e+00
 1.075000000000000e+00	 0.000000000000000e+00	 2.683618547270660e+01
 1.072235580423897e+00	 7.704453305765518e-02	 2.620809980861799e+01
 1.063651709267727e+00	 1.557884507110800e-01	 2.530379187134892e+01
 1.048860174720603e+00	 2.356211660483044e-01	 2.409566639962826e+01
 1.027552989564645e+00	 3.158478330497876e-01	 2.250986834503295e+01
 9.995224236416065e-01	 3.957018127859281e-01	 2.041718615327193e+01
 9.646788237442117e-01	 4.743624848376666e-01	 1.784578602830497e+01
 9.230646161480831e-01	 5.509779618221077e-01	 1.500745951714051e+01
 8.748629887528598e-01	 6.246917246969276e-01	 1.219367649391196e+01
 8.204000541628570e-01	 6.946716858494774e-01	 9.708784196217763e+00
 7.601397897723038e-01	 7.601397897723037e-01	 7.708478363108606e+00
 1.150000000000000e+00	 0.000000000000000e+00	 2.303265822815050e+01
 1.147042713941840e+00	 8.241973303606141e-02	 2.259330439376190e+01
 1.137859968053828e+00	 1.666574123845024e-01	 2.196183542037407e+01
 1.122036465980114e+00	 2.520598520464369e-01	 2.116595034369421e+01
 1.099242733022485e+00	 3.378837283730043e-01	 2.018954273297699e+01
 1.069256546220940e+00	 4.233089159975895e-01	 1.885920854326103e+01
 1.031981997493258e+00	 5.074575419136776e-01	 1.701922966351416e+01
 9.874644730877626e-01	 5.894182847348221e-01	 1.481985182786086e+01
 9.358999414552172e-01	 6.682748682761077e-01	 1.255652612926683e+01
 8.776372672420815e-01	 7.431371523006348e-01	 1.057080973586699e+01
 8.131727983584517e-01	 8.131727983584517e-01	 8.832436586271504e+00
 1.225000000000000e+00	 0.000000000000000e+00	 2.032390405399104e+01
 1.221849847459785e+00	 8.779493301503960e-02	 2.003142527284377e+01
 1.212068226839934e+00	 1.775263740589171e-01	 1.957743696749880e+01
 1.195212757239641e+00	 2.684985380458384e-01	 1.902571759868922e+01
 1.170932476480365e+00	 3.599196236976357e-01	 1.842582808531251e+01
 1.138990668800349e+00	 4.509160192106954e-01	 1.763194936735932e+01
 1.099285171242437e+00	 5.405525989910663e-01	 1.643625596758918e+01
 1.051864330027657e+00	 6.278586076487742e-01	 1.484701521079468e+01
 9.969368941578959e-01	 7.118580118563361e-01	 1.310778078088183e+01
 9.348744803217679e-01	 7.916026187526299e-01	 1.150498419003009e+01
 8.662058069452333e-01	 8.662058069452333e-01	 9.920989721307146e+00
 1.300000000000000e+00	 0.000000000000000e+00	 1.847386146410612e+01
 1.296656980977730e+00	 9.317013299451823e-02	 1.830170175753057e+01
 1.286276485626044e+00	 1.883953357341998e-01	 1.797985908392909e+01
 1.268389048499183e+00	 2.849372240463505e-01	 1.759909194291516e+01
 1.242622219938277e+00	 3.819555190235049e-01	 1.725974546969622e+01
 1.208724791379824e+00	 4.785231224250655e-01	 1.674429146060477e+01
 1.166588344991733e+00	 5.736476560696609e-01	 1.590567227567742e+01
 1.116264186967738e+00	 6.662989305638091e-01	 1.481852379211797e+01
 1.057973846860858e+00	 7.554411554374821e-01	 1.360055616978098e+01
 9.921116934018577e-01	 8.400680852053579e-01	 1.222693164205656e+01
 9.192388155325706e-01	 9.192388155325706e-01	 1.079818643045785e+01
 1.375000000000000e+00	 0.000000000000000e+00	 1.721240690185699e+01
 1.371464114495675e+00	 9.854533297442584e-02	 1.713166360683346e+01
 1.360484744412158e+00	 1.992642974102268e-01	 1.690551536977365e+01
 1.341565339758736e+00	 3.013759100478144e-01	 1.663640015066617e+01
 1.314311963396217e+00	 4.039914143504350e-01	 1.644065475330016e+01
 1.278458913959357e+00	 5.061302256405186e-01	 1.607857646484118e+01
 1.233891518741129e+00	 6.067427131492892e-01	 1.547939022549122e+01
 1.180664043907980e+00	 7.047392534797717e-01	 1.470096936839319e+01
 1.119010799564061e+00	 7.990242990194144e-01	 1.381540141166769e+01
 1.049348906482294e+00	 8.885335516587144e-01	 1.266462345246488e+01
 9.722718241203830e-01	 9.722718241203829e-01	 1.139574613767587e+01
 1.450000000000000e+00	 0.000000000000000e+00	 1.630252241741187e+01
 1.446271248013621e+00	 1.039205329546909e-01	 1.628059355340370e+01
 1.434693003198274e+00	 2.101332590868739e-01	 1.612919834307489e+01
 1.414741631018299e+00	 3.178145960500714e-01	 1.593888175290234e+01
 1.386001706854183e+00	 4.260273096782494e-01	 1.580369089192831e+01
 1.348193036538937e+00	 5.337373288568749e-01	 1.552362264123968e+01
 1.301194692490608e+00	 6.398377702297785e-01	 1.509186238568954e+01
 1.245063900848356e+00	 7.431795763965081e-01	 1.455668809573339e+01
 1.180047752267466e+00	 8.426074426020015e-01	 1.383123141363314e+01
 1.106586119563019e+00	 9.369990181125943e-01	 1.283863469208368e+01
 1.025304832708592e+00	 1.025304832708592e+00	 1.172761719492781e+01
 1.525000000000000e+00	 0.000000000000000e+00	 1.553948743139178e+01
 1.521078381531567e+00	 1.092957329352419e-01	 1.554258276792222e+01
 1.508901261984392e+00	 2.210022207640170e-01	 1.546320301379668e+01
 1.487917922277870e+00	 3.342532820529632e-01	 1.535811088894880e+01
 1.457691450312167e+00	 4.480632050067711e-01	 1.526026888270433e+01
 1.417927159118556e+00	 5.613444320739530e-01	 1.503176990596621e+01
 1.368497866240154e+00	 6.729328273109567e-01	 1.472271352317621e+01
 1.309463757788840e+00	 7.816198993138632e-01	 1.436596561016541e+01
 1.241084704971033e+00	 8.861905861851129e-01	 1.375052433723855e+01
 1.163823332643974e+00	 9.854644845668933e-01	 1.285384149604659e+01
 1.078337841297118e+00	 1.078337841297118e+00	 1.186327215869009e+01
 1.600000000000000e+00	 0.000000000000000e+00	 1.481946911684380e+01
 1.595885515049513e+00	 1.146709329160075e-01	 1.483290263016425e+01
 1.583109520770513e+00	 2.318711824415323e-01	 1.481893486046802e+01
 1.561094213537447e+00	 3.506919680563308e-01	 1.480735856444952e+01
 1.529381193770165e+00	 4.700991003358233e-01	 1.477208243166571e+01
 1.487661281698202e+00	 5.889515352915732e-01	 1.460031804933940e+01
 1.435801039989750e+00	 7.060278843926517e-01	 1.438013442389646e+01
 1.373863614729403e+00	 8.200602222316823e-01	 1.412739441639956e+01
 1.302121657674719e+00	 9.297737297686171e-01	 1.360557143663340e+01
 1.221060545725103e+00	 1.033929951021506e+00	 1.280941113177023e+01
 1.131370849885882e+00	 1.131370849885883e+00	 1.189284995998503e+01
 1.675000000000000e+00	 0.000000000000000e+00	 1.410049824095439e+01
 1.670692648567460e+00	 1.200461328969160e-01	 1.411984514118522e+01
 1.657317779556635e+00	 2.427401441192957e-01	 1.416323472638398e+01
 1.634270504797028e+00	 3.671306540600157e-01	 1.424382068092109e+01
 1.601070937228173e+00	 4.921349956652292e-01	 1.428620358380844e+01
 1.557395404277869e+00	 6.165586385095544e-01	 1.420284314572225e+01
 1.503104213739380e+00	 7.391229414746914e-01	 1.407689776596459e+01
 1.438263471670020e+00	 8.585005451498104e-01	 1.384973189036011e+01
 1.363158610378488e+00	 9.733568733523841e-01	 1.341745651230818e+01
 1.278297758806347e+00	 1.082395417476329e+00	 1.274776765366125e+01
 1.184403858474805e+00	 1.184403858474805e+00	 1.185350804025710e+01
 1.750000000000000e+00	 0.000000000000000e+00	 1.335244005424260e+01
 1.745499782085407e+00	 1.254213328778960e-01	 1.337993480843992e+01
 1.731526038342757e+00	 2.536091057971830e-01	 1.346619933428811e+01
 1.707446796056611e+00	 3.835693400638593e-01	 1.362425229643769e+01
 1.672760680686186e+00	 5.141708909948119e-01	 1.374377961436689e+01
 1.627129526857544e+00	 6.441657417277161e-01	 1.376232685679668e+01
 1.570407387489025e+00	 7.722179985569031e-01	 1.374421794319394e+01
 1.502663328610663e+00	 8.969408680680937e-01	 1.352780698154422e+01
 1.424195563082296e+00	 1.016940016936282e+00	 1.319710770052626e+01
 1.335534971887649e+00	 1.130860883931256e+00	 1.270049530976804e+01
 1.237436867063807e+00	 1.237436867063807e+00	 1.183898780923548e+01
 7.071067811868699e-01	 7.071067811868699e-01	 6.877661911955835e+00
 6.462062193992625e-01	 7.631628410841519e-01	 5.003197823775791e+00
 5.811085811189264e-01	 8.138260360508661e-01	 3.459868439535469e+00
 5.125376389107852e-01	 8.586647592086446e-01	 2.332869964264153e+00
 4.412674277632058e-01	 8.973756499953163e-01	 1.712620757601692e+00
 3.680947095758915e-01	 9.297883010623589e-01	 1.611302564685676e+00
 2.938119377281621e-01	 9.558632461068473e-01	 1.899822040080158e+00
 2.191824800515992e-01	 9.756838834611086e-01	 2.214699260711973e+00
 1.449194890387733e-01	 9.894434504816300e-01	 2.153195050912359e+00
 7.166933307989184e-02	 9.974284469059531e-01	 1.376701541003149e+00
 0.000000000000000e+00	 1.000000000000000e+00	-3.694236171304039e-01
 7.601397897723038e-01	 7.601397897723037e-01	 7.708478363108606e+00
 6.946716858494775e-01	 8.204000541628572e-01	 5.828071138905559e+00
 6.246917246969276e-01	 8.748629887528601e-01	 3.916366070527871e+00
 5.509779618221076e-01	 9.230646161480829e-01	 2.169362953313818e+00
 4.743624848376664e-01	 9.646788237442120e-01	 8.192268204859059e-01
 3.957018127859278e-01	 9.995224236416067e-01	 6.378245707094887e-03
 3.158478330497873e-01	 1.027552989564645e+00	-2.934965067994337e-01
 2.356211660483039e-01	 1.048860174720603e+00	-3.473666205503139e-01
 1.557884507110794e-01	 1.063651709267727e+00	-4.976277114137342e-01
 7.704453305765459e-02	 1.072235580423897e+00	-9.902148303322411e-01
 0.000000000000000e+00	 1.075000000000000e+00	-1.970834665878165e+00
 8.131727983584517e-01	 8.131727983584517e-01	 8.832436586271504e+00
 7.431371523006347e-01	 8.776372672420815e-01	 6.997356004091597e+00
 6.682748682761077e-01	 9.358999414552172e-01	 4.934616134766767e+00
 5.894182847348219e-01	 9.874644730877628e-01	 2.923333110969316e+00
 5.074575419136773e-01	 1.031981997493258e+00	 1.329162867124405e+00
 4.233089159975891e-01	 1.069256546220940e+00	 3.823611557424913e-01
 3.378837283730039e-01	 1.099242733022485e+00	 6.270075695799449e-02
 2.520598520464364e-01	 1.122036465980114e+00	 5.895417544606074e-02
 1.666574123845018e-01	 1.137859968053828e+00	-8.855130988942106e-02
 8.241973303606075e-02	 1.147042713941841e+00	-3.846496052839878e-01
 0.000000000000000e+00	 1.150000000000000e+00	-7.327484306193746e-01
 8.662058069452333e-01	 8.662058069452333e-01	 9.920989721307146e+00
 7.916026187526300e-01	 9.348744803217679e-01	 8.199641281178391e+00
 7.118580118563360e-01	 9.969368941578959e-01	 6.239151640642660e+00
 6.278586076487739e-01	 1.051864330027657e+00	 4.353117848178736e+00
 5.405525989910660e-01	 1.099285171242437e+00	 3.044211843978543e+00
 4.509160192106950e-01	 1.138990668800349e+00	 2.403050825477764e+00
 3.599196236976353e-01	 1.170932476480365e+00	 1.848630123216916e+00
 2.684985380458378e-01	 1.195212757239642e+00	 1.270162541092824e+00
 1.775263740589164e-01	 1.212068226839934e+00	 7.066534439889240e-01
 8.779493301503889e-02	 1.221849847459785e+00	 3.299107775421815e-01
 0.000000000000000e+00	 1.225000000000000e+00	 3.624641418925520e-01
 9.192388155325706e-01	 9.192388155325706e-01	 1.079818643045785e+01
 8.400680852053579e-01	 9.921116934018575e-01	 9.244726863336616e+00
 7.554411554374822e-01	 1.057973846860858e+00	 7.572638407481772e+00
 6.662989305638090e-01	 1.116264186967739e+00	 6.188924634737550e+00
 5.736476560696607e-01	 1.166588344991733e+00	 5.080478436472248e+00
 4.785231224250650e-01	 1.208724791379825e+00	 4.042771373821687e+00
 3.819555190235043e-01	 1.242622219938277e+00	 3.058215507206202e+00
 2.849372240463498e-01	 1.268389048499183e+00	 2.078444698650421e+00
 1.883953357341991e-01	 1.286276485626044e+00	 1.218499362187858e+00
 9.317013299451750e-02	 1.296656980977730e+00	 7.477112753475814e-01
 0.000000000000000e+00	 1.300000000000000e+00	 9.758745478882176e-01
 9.722718241203830e-01	 9.722718241203829e-01	 1.139574613767587e+01
 8.885335516587143e-01	 1.049348906482294e+00	 1.004875690620657e+01
 7.990242990194144e-01	 1.119010799564061e+00	 8.775527975189249e+00
 7.047392534797717e-01	 1.180664043907981e+00	 7.567705002838032e+00
 6.067427131492888e-01	 1.233891518741129e+00	 6.252947999192411e+00
 5.061302256405180e-01	 1.278458913959357e+00	 4.968330743346856e+00
 4.039914143504345e-01	 1.314311963396218e+00	 3.746591697996213e+00
 3.013759100478138e-01	 1.341565339758737e+00	 2.562966376793368e+00
 1.992642974102260e-01	 1.360484744412158e+00	 1.536474505558113e+00
 9.854533297442503e-02	 1.371464114495676e+00	 9.798491815060959e-01
 0.000000000000000e+00	 1.375000000000000e+00	 1.230068320792342e+00
 1.025304832708592e+00	 1.025304832708592e+00	 1.172761719492781e+01
