1	10	10
21	21	2	2
 1.0000e+00	 0.0000e+00	-4.7143e-05	 0.0000e+00	 4.7143e-05
 9.9743e-01	 7.1669e-02	-4.6954e-05	 9.7937e-06	 4.7964e-05
 9.8944e-01	 1.4492e-01	-4.6488e-05	 1.9758e-05	 5.0512e-05
 9.7568e-01	 2.1918e-01	-4.5763e-05	 2.9861e-05	 5.4644e-05
 9.5586e-01	 2.9381e-01	-4.4789e-05	 4.0043e-05	 6.0079e-05
 9.2979e-01	 3.6809e-01	-4.3566e-05	 5.0190e-05	 6.6460e-05
 8.9738e-01	 4.4127e-01	-4.2086e-05	 6.0125e-05	 7.3391e-05
 8.5866e-01	 5.1254e-01	-4.0310e-05	 6.9709e-05	 8.0525e-05
 8.1383e-01	 5.8111e-01	-3.8211e-05	 7.8859e-05	 8.7629e-05
 7.6316e-01	 6.4621e-01	-3.5787e-05	 8.7556e-05	 9.4588e-05
 7.0711e-01	 7.0711e-01	-3.3079e-05	 9.5830e-05	 1.0138e-04
 6.4621e-01	 7.6316e-01	-3.0163e-05	 1.0362e-04	 1.0792e-04
 5.8111e-01	 8.1383e-01	-2.7106e-05	 1.1071e-04	 1.1398e-04
 5.1254e-01	 8.5866e-01	-2.3936e-05	 1.1689e-04	 1.1932e-04
 4.4127e-01	 8.9738e-01	-2.0672e-05	 1.2209e-04	 1.2382e-04
 3.6809e-01	 9.2979e-01	-1.7328e-05	 1.2633e-04	 1.2751e-04
 2.9381e-01	 9.5586e-01	-1.3916e-05	 1.2973e-04	 1.3047e-04
 2.1918e-01	 9.7568e-01	-1.0454e-05	 1.3241e-04	 1.3282e-04
 1.4492e-01	 9.8944e-01	-6.9661e-06	 1.3442e-04	 1.3460e-04
 7.1669e-02	 9.9743e-01	-3.4741e-06	 1.3578e-04	 1.3582e-04
 0.0000e+00	 1.0000e+00	 0.0000e+00	 1.3645e-04	 1.3645e-04
 1.0750e+00	 0.0000e+00	-5.0661e-05	 0.0000e+00	 5.0661e-05
 1.0722e+00	 7.7045e-02	-5.0505e-05	 8.7506e-06	 5.1257e-05
 1.0637e+00	 1.5579e-01	-4.9817e-05	 1.7688e-05	 5.2864e-05
 1.0489e+00	 2.3562e-01	-4.8644e-05	 2.6835e-05	 5.5554e-05
 1.0276e+00	 3.1585e-01	-4.7028e-05	 3.6190e-05	 5.9341e-05
 9.9952e-01	 3.9570e-01	-4.5017e-05	 4.5695e-05	 6.4144e-05
 9.6468e-01	 4.7436e-01	-4.2644e-05	 5.5209e-05	 6.9760e-05
 9.2306e-01	 5.5098e-01	-3.9918e-05	 6.4586e-05	 7.5927e-05
 8.7486e-01	 6.2469e-01	-3.6874e-05	 7.3727e-05	 8.2434e-05
 8.2040e-01	 6.9467e-01	-3.3581e-05	 8.2609e-05	 8.9173e-05
 7.6014e-01	 7.6014e-01	-3.0153e-05	 9.1264e-05	 9.6116e-05
 6.9467e-01	 8.2040e-01	-2.6713e-05	 9.9660e-05	 1.0318e-04
 6.2469e-01	 8.7486e-01	-2.3322e-05	 1.0752e-04	 1.1002e-04
 5.5098e-01	 9.2306e-01	-2.0016e-05	 1.1455e-04	 1.1629e-04
 4.7436e-01	 9.6468e-01	-1.6818e-05	 1.2059e-04	 1.2176e-04
 3.9570e-01	 9.9952e-01	-1.3732e-05	 1.2563e-04	 1.2638e-04
 3.1585e-01	 1.0276e+00	-1.0755e-05	 1.2978e-04	 1.3022e-04
 2.3562e-01	 1.0489e+00	-7.8916e-06	 1.3307e-04	 1.3330e-04
 1.5579e-01	 1.0637e+00	-5.1448e-06	 1.3548e-04	 1.3558e-04
 7.7045e-02	 1.0722e+00	-2.5148e-06	 1.3694e-04	 1.3696e-04
 0.0000e+00	 1.0750e+00	 0.0000e+00	 1.3735e-04	 1.3735e-04
 1.1500e+00	 0.0000e+00	-5.3328e-05	 0.0000e+00	 5.3328e-05
 1.1470e+00	 8.2420e-02	-5.3152e-05	 7.9331e-06	 5.3741e-05
 1.1379e+00	 1.6666e-01	-5.2271e-05	 1.6058e-05	 5.4682e-05
 1.1220e+00	 2.5206e-01	-5.0740e-05	 2.4435e-05	 5.6318e-05
 1.0992e+00	 3.3788e-01	-4.8630e-05	 3.3118e-05	 5.8837e-05
 1.0693e+00	 4.2331e-01	-4.6026e-05	 4.2113e-05	 6.2385e-05
 1.0320e+00	 5.0746e-01	-4.2987e-05	 5.1310e-05	 6.6937e-05
 9.8746e-01	 5.8942e-01	-3.9564e-05	 6.0547e-05	 7.2327e-05
 9.3590e-01	 6.6827e-01	-3.5834e-05	 6.9702e-05	 7.8373e-05
 8.7764e-01	 7.4314e-01	-3.1919e-05	 7.8739e-05	 8.4963e-05
 8.1317e-01	 8.1317e-01	-2.7981e-05	 8.7677e-05	 9.2034e-05
 7.4314e-01	 8.7764e-01	-2.4152e-05	 9.6441e-05	 9.9419e-05
 6.6827e-01	 9.3590e-01	-2.0505e-05	 1.0479e-04	 1.0677e-04
 5.8942e-01	 9.8746e-01	-1.7092e-05	 1.1237e-04	 1.1366e-04
 5.0746e-01	 1.0320e+00	-1.3936e-05	 1.1898e-04	 1.1979e-04
 4.2331e-01	 1.0693e+00	-1.1039e-05	 1.2460e-04	 1.2509e-04
 3.3788e-01	 1.0992e+00	-8.3931e-06	 1.2931e-04	 1.2959e-04
 2.5206e-01	 1.1220e+00	-5.9867e-06	 1.3313e-04	 1.3326e-04
 1.6666e-01	 1.1379e+00	-3.8048e-06	 1.3591e-04	 1.3596e-04
 8.2420e-02	 1.1470e+00	-1.8192e-06	 1.3751e-04	 1.3753e-04
 0.0000e+00	 1.1500e+00	 0.0000e+00	 1.3780e-04	 1.3780e-04
 1.2250e+00	 0.0000e+00	-5.5438e-05	 0.0000e+00	 5.5438e-05
 1.2218e+00	 8.7795e-02	-5.5215e-05	 7.3483e-06	 5.5702e-05
 1.2121e+00	 1.7753e-01	-5.4189e-05	 1.4892e-05	 5.6198e-05
 1.1952e+00	 2.6850e-01	-5.2408e-05	 2.2709e-05	 5.7116e-05
 1.1709e+00	 3.5992e-01	-4.9939e-05	 3.0888e-05	 5.8719e-05
 1.1390e+00	 4.5092e-01	-4.6879e-05	 3.9488e-05	 6.1294e-05
 1.0993e+00	 5.4055e-01	-4.3323e-05	 4.8438e-05	 6.4985e-05
 1.0519e+00	 6.2786e-01	-3.9376e-05	 5.7585e-05	 6.9761e-05
 9.9694e-01	 7.1186e-01	-3.5153e-05	 6.6781e-05	 7.5468e-05
 9.3487e-01	 7.9160e-01	-3.0806e-05	 7.5966e-05	 8.1975e-05
 8.6621e-01	 8.6621e-01	-2.6501e-05	 8.5106e-05	 8.9137e-05
 7.9160e-01	 9.3487e-01	-2.2381e-05	 9.4109e-05	 9.6734e-05
 7.1186e-01	 9.9694e-01	-1.8530e-05	 1.0273e-04	 1.0439e-04
 6.2786e-01	 1.0519e+00	-1.5017e-05	 1.1068e-04	 1.1169e-04
