xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.6763005192e+01	 1.7244198731e-01
 0.0000000000e+00	 1.4286000000e-02	 9.9979421360e-01	 2.0285918027e-02	 2.6744295770e+01	 1.7185826389e-01
 0.0000000000e+00	 2.8572000000e-02	 9.9917015173e-01	 4.0730438957e-02	 2.6697371048e+01	 1.7217544338e-01
 0.0000000000e+00	 4.2858000000e-02	 9.9811797387e-01	 6.1322427094e-02	 2.6620494851e+01	 1.7256289026e-01
 0.0000000000e+00	 5.7144000000e-02	 9.9662815290e-01	 8.2050164801e-02	 2.6512228178e+01	 1.7238729117e-01
 0.0000000000e+00	 7.1430000000e-02	 9.9469151154e-01	 1.0290135811e-01	 2.6371446578e+01	 1.7123386989e-01
 0.0000000000e+00	 8.5716000000e-02	 9.9229925915e-01	 1.2386314479e-01	 2.6197355827e+01	 1.6892749525e-01
 0.0000000000e+00	 1.0000200000e-01	 9.8944302882e-01	 1.4492210489e-01	 2.5989505749e+01	 1.6555339860e-01
 0.0000000000e+00	 1.1428800000e-01	 9.8611491462e-01	 1.6606427394e-01	 2.5747801995e+01	 1.6147720755e-01
 0.0000000000e+00	 1.2857400000e-01	 9.8230750859e-01	 1.8727515887e-01	 2.5472515651e+01	 1.5736399663e-01
 0.0000000000e+00	 1.4286000000e-01	 9.7801393759e-01	 2.0853975653e-01	 2.5164290502e+01	 1.5419605182e-01
 1.4286000000e-02	 0.0000000000e+00	 1.0214286435e+00	 0.0000000000e+00	 2.5462474504e+01	 5.6164205501e-01
 1.4286000000e-02	 1.4286000000e-02	 1.0212184474e+00	 2.0720617734e-02	 2.5444365793e+01	 5.6058059567e-01
 1.4286000000e-02	 2.8572000000e-02	 1.0205810127e+00	 4.1603237015e-02	 2.5399993942e+01	 5.5991834393e-01
 1.4286000000e-02	 4.2858000000e-02	 1.0195062881e+00	 6.2636483525e-02	 2.5327750521e+01	 5.5889938870e-01
 1.4286000000e-02	 5.7144000000e-02	 1.0179845423e+00	 8.3808388534e-02	 2.5226310316e+01	 5.5694738527e-01
 1.4286000000e-02	 7.1430000000e-02	 1.0160064013e+00	 1.0510639464e-01	 2.5094646837e+01	 5.5368568237e-01
 1.4286000000e-02	 8.5716000000e-02	 1.0135628862e+00	 1.2651736396e-01	 2.4932046197e+01	 5.4895731316e-01
 1.4286000000e-02	 1.0000200000e-01	 1.0106454507e+00	 1.4802758901e-01	 2.4738119195e+01	 5.4284458162e-01
 1.4286000000e-02	 1.1428800000e-01	 1.0072460196e+00	 1.6962280607e-01	 2.4512811457e+01	 5.3568796874e-01
 1.4286000000e-02	 1.2857400000e-01	 1.0033570260e+00	 1.9128821148e-01	 2.4256411474e+01	 5.2810407936e-01
 1.4286000000e-02	 1.4286000000e-01	 9.9897144959e-01	 2.1300848063e-01	 2.3969556428e+01	 5.2100234976e-01
 2.8572000000e-02	 0.0000000000e+00	 1.0428574195e+00	 0.0000000000e+00	 2.4303123078e+01	 9.4305312903e-01
 2.8572000000e-02	 1.4286000000e-02	 1.0426428136e+00	 2.1155320128e-02	 2.4285829408e+01	 9.4149094118e-01
 2.8572000000e-02	 2.8572000000e-02	 1.0419920061e+00	 4.2476040469e-02	 2.4244061517e+01	 9.3969874048e-01
 2.8572000000e-02	 4.2858000000e-02	 1.0408947346e+00	 6.3950548080e-02	 2.4176336704e+01	 9.3698851501e-01
 2.8572000000e-02	 5.7144000000e-02	 1.0393410637e+00	 8.5566623137e-02	 2.4081443165e+01	 9.3283607629e-01
 2.8572000000e-02	 7.1430000000e-02	 1.0373214229e+00	 1.0731144479e-01	 2.3958453835e+01	 9.2690012100e-01
 2.8572000000e-02	 8.5716000000e-02	 1.0348266448e+00	 1.2917159955e-01	 2.3806738670e+01	 9.1904109263e-01
 2.8572000000e-02	 1.0000200000e-01	 1.0318480038e+00	 1.5113309233e-01	 2.3625975237e+01	 9.0933958557e-01
 2.8572000000e-02	 1.1428800000e-01	 1.0283772552e+00	 1.7318136019e-01	 2.3416157451e+01	 8.9811402940e-01
 2.8572000000e-02	 1.2857400000e-01	 1.0244066736e+00	 1.9530128891e-01	 2.3177602341e+01	 8.8593738902e-01
 2.8572000000e-02	 1.4286000000e-01	 1.0199290912e+00	 2.1747723235e-01	 2.2910954711e+01	 8.7365261672e-01
 4.2858000000e-02	 0.0000000000e+00	 1.0642863105e+00	 0.0000000000e+00	 2.3267861268e+01	 1.3093546403e+00
 4.2858000000e-02	 1.4286000000e-02	 1.0640672949e+00	 2.1590024854e-02	 2.3251560031e+01	 1.3072896532e+00
 4.2858000000e-02	 2.8572000000e-02	 1.0634031144e+00	 4.3348848607e-02	 2.3212435169e+01	 1.3042598295e+00
 4.2858000000e-02	 4.2858000000e-02	 1.0622832959e+00	 6.5264619687e-02	 2.3149127959e+01	 1.2996386466e+00
 4.2858000000e-02	 5.7144000000e-02	 1.0606976998e+00	 8.7324867176e-02	 2.3060539584e+01	 1.2929498322e+00
 4.2858000000e-02	 7.1430000000e-02	 1.0586365589e+00	 1.0951650678e-01	 2.2945843493e+01	 1.2838853879e+00
 4.2858000000e-02	 8.5716000000e-02	 1.0560905174e+00	 1.3182584938e-01	 2.2804496282e+01	 1.2723233207e+00
 4.2858000000e-02	 1.0000200000e-01	 1.0530506706e+00	 1.5423861232e-01	 2.2636246981e+01	 1.2583448349e+00
 4.2858000000e-02	 1.1428800000e-01	 1.0495086042e+00	 1.7673993342e-01	 2.2441144609e+01	 1.2422507315e+00
 4.2858000000e-02	 1.2857400000e-01	 1.0454564341e+00	 1.9931438788e-01	 2.2219543877e+01	 1.2245767632e+00
 4.2858000000e-02	 1.4286000000e-01	 1.0408868453e+00	 2.2194600806e-01	 2.1972108936e+01	 1.2061076926e+00
 5.7144000000e-02	 0.0000000000e+00	 1.0857152990e+00	 0.0000000000e+00	 2.2340913259e+01	 1.6537887775e+00
 5.7144000000e-02	 1.4286000000e-02	 1.0854918736e+00	 2.2024731558e-02	 2.2325748257e+01	 1.6512427031e+00
 5.7144000000e-02	 2.8572000000e-02	 1.0848143201e+00	 4.4221660715e-02	 2.2289292242e+01	 1.6469139194e+00
 5.7144000000e-02	 4.2858000000e-02	 1.0836719545e+00	 6.6578697272e-02	 2.2230308792e+01	 1.6402315089e+00
 5.7144000000e-02	 5.7144000000e-02	 1.0820544331e+00	 8.9083119214e-02	 2.2147811464e+01	 1.6307635414e+00
 5.7144000000e-02	 7.1430000000e-02	 1.0799517919e+00	 1.1172157880e-01	 2.2041074821e+01	 1.6182340924e+00
 5.7144000000e-02	 8.5716000000e-02	 1.0773544869e+00	 1.3448011128e-01	 2.1909644086e+01	 1.6025398593e+00
 5.7144000000e-02	 1.0000200000e-01	 1.0742534339e+00	 1.5734414644e-01	 2.1753343297e+01	 1.5837661341e+00
 5.7144000000e-02	 1.1428800000e-01	 1.0706400494e+00	 1.8029852284e-01	 2.1572281846e+01	 1.5622018897e+00
