x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 3.076491649248394e+01
 9.999652819873316e-01	 8.333048840547298e-03	 3.076145288981884e+01
 9.998606548526504e-01	 1.669391286202172e-02	 3.074717039375638e+01
 9.996854145678035e-01	 2.508186591579744e-02	 3.072214785793655e+01
 9.994388649236412e-01	 3.349616549931930e-02	 3.068646646845624e+01
 9.991203179452327e-01	 4.193605278629495e-02	 3.064020967693468e+01
 9.987290943103193e-01	 5.040075266753075e-02	 3.058346313214969e+01
 9.982645237707195e-01	 5.888947380262372e-02	 3.051631461011364e+01
 9.977259455763865e-01	 6.740140868271496e-02	 3.043885394237012e+01
 9.971127089018138e-01	 7.593573370450242e-02	 3.035117294230333e+01
 9.964241732744672e-01	 8.449160925570288e-02	 3.025336532925689e+01
 1.008823457328410e+00	 0.000000000000000e+00	 3.013626232190330e+01
 1.008788432982907e+00	 8.406575145132409e-03	 3.013298069823199e+01
 1.008682882675344e+00	 1.684121089620530e-02	 3.011937050986031e+01
 1.008506096165558e+00	 2.530317469758155e-02	 3.009551595737956e+01
 1.008257371101382e+00	 3.379171749539848e-02	 3.006150269342634e+01
 1.007936013437521e+00	 4.230607376802643e-02	 3.001741773745560e+01
 1.007541337857695e+00	 5.084546156726499e-02	 2.996334938946993e+01
 1.007072668199768e+00	 5.940908257049081e-02	 2.989938714257406e+01
 1.006529337883544e+00	 6.799612214396498e-02	 2.982562159414265e+01
 1.005910690340937e+00	 7.660574941749865e-02	 2.974214435539104e+01
 1.005216079448178e+00	 8.523711737066911e-02	 2.964904795915314e+01
 1.017646782159778e+00	 0.000000000000000e+00	 2.953527118931463e+01
 1.017611451486040e+00	 8.480100344912849e-03	 2.953219029212967e+01
 1.017504978019459e+00	 1.698850671730691e-02	 2.951924278581617e+01
 1.017326645307965e+00	 2.552448015460338e-02	 2.949651777618732e+01
 1.017075744856467e+00	 3.408726505170349e-02	 2.946410500308639e+01
 1.016751576549402e+00	 4.267608919171342e-02	 2.942209473908272e+01
 1.016353449076568e+00	 5.129016378750074e-02	 2.937057768746265e+01
 1.015880680361970e+00	 5.992868353429856e-02	 2.930964487938696e+01
 1.015332597995354e+00	 6.859082667356628e-02	 2.923938756999559e+01
 1.014708539666144e+00	 7.727575506830839e-02	 2.915989713324769e+01
 1.014007853599432e+00	 8.598261429004454e-02	 2.907126495529560e+01
