patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-3.329151161985555e-06	 0.000000000000000e+00
1	 9.999652819873316e-01	 8.333048840547298e-03	-3.136055664112238e-06	 6.963444539999722e-07
1	 9.998606548526504e-01	 1.669391286202172e-02	-2.801045905077756e-06	 1.199467189627879e-06
1	 9.996854145678035e-01	 2.508186591579744e-02	-2.354357131681962e-06	 1.534055437472941e-06
1	 9.994388649236412e-01	 3.349616549931930e-02	-1.826805626977570e-06	 1.725110521933748e-06
1	 9.991203179452327e-01	 4.193605278629495e-02	-1.249781641835774e-06	 1.797945094585143e-06
1	 9.987290943103193e-01	 5.040075266753075e-02	-6.552414857611759e-07	 1.778180259409117e-06
1	 9.982645237707195e-01	 5.888947380262372e-02	-7.569877130751241e-08	 1.691742586077204e-06
1	 9.977259455763865e-01	 6.740140868271496e-02	 4.557851954524252e-07	 1.564861008595239e-06
1	 9.971127089018138e-01	 7.593573370450242e-02	 9.056118845210940e-07	 1.424063606532151e-06
1	 9.964241732744672e-01	 8.449160925570288e-02	 1.239656876215294e-06	 1.296174265944025e-06
1	 9.956595725195881e-01	 9.306963622590368e-02	 1.432327024624546e-06	 1.203158700823888e-06
1	 9.948183983547721e-01	 1.016674728801871e-01	 1.493764310666070e-06	 1.146629345003673e-06
1	 9.939000435131441e-01	 1.102842106753847e-01	 1.443329347076776e-06	 1.122972316669404e-06
1	 9.929039128517897e-01	 1.189189249707242e-01	 1.300563716286041e-06	 1.128482848041040e-06
1	 9.918294237927018e-01	 1.275706751727545e-01	 1.085192115653199e-06	 1.159369038961297e-06
1	 9.906760067638285e-01	 1.362385048931707e-01	 8.171247051642083e-07	 1.211755841633007e-06
1	 9.894431056398209e-01	 1.449214421196757e-01	 5.164596463974852e-07	 1.281689272371734e-06
1	 9.881301781820826e-01	 1.536184993999990e-01	 2.034858196956630e-07	 1.365140845377694e-06
1	 9.867366964777042e-01	 1.623286740391850e-01	-1.013142955128944e-07	 1.458012222606811e-06
1	 9.852621473768629e-01	 1.710509483102449e-01	-3.772615944111623e-07	 1.556140072830861e-06
1	 9.837063042735066e-01	 1.797828046792139e-01	-6.074629181672552e-07	 1.656108497338877e-06
1	 9.820684407268566e-01	 1.885246801511627e-01	-7.910794522112375e-07	 1.757796597138353e-06
1	 9.803480899544126e-01	 1.972755162273639e-01	-9.312755054739954e-07	 1.861891313214084e-06
1	 9.785448016382446e-01	 2.060342404108244e-01	-1.031261776296031e-06	 1.969088480766329e-06
1	 9.766581423474189e-01	 2.147997664840680e-01	-1.094284639412086e-06	 2.080097085788107e-06
1	 9.746876959562029e-01	 2.235709948004863e-01	-1.123615157089460e-06	 2.195643606868640e-06
1	 9.726330640575948e-01	 2.323468125892456e-01	-1.122537850865008e-06	 2.316476427033736e-06
1	 9.704938663716977e-01	 2.411260942737208e-01	-1.094339273560908e-06	 2.443370299061633e-06
1	 9.682697411484724e-01	 2.499077018034106e-01	-1.042296424541888e-06	 2.577130846302282e-06
1	 9.659603455643851e-01	 2.586904849992691e-01	-9.696650544870495e-07	 2.718599079587945e-06
1	 9.635653563227460e-01	 2.674732820350743e-01	-8.795480020021964e-07	 2.868222386319516e-06
1	 9.610844706690255e-01	 2.762549201886375e-01	-7.745214214216839e-07	 3.024750186910688e-06
