xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.4713441720e+01	 6.5880977882e+00
 0.0000000000e+00	 5.8820000000e-03	 9.9996528199e-01	 8.3330488405e-03	 1.9601560503e+01	 8.0133493988e+00
 0.0000000000e+00	 1.1764000000e-02	 9.9986065485e-01	 1.6693912862e-02	 1.4713647363e+01	 8.3251920214e+00
 0.0000000000e+00	 1.7646000000e-02	 9.9968541457e-01	 2.5081865916e-02	 1.0301588300e+01	 7.6105868562e+00
 0.0000000000e+00	 2.3528000000e-02	 9.9943886492e-01	 3.3496165499e-02	 7.4275082567e+00	 5.1385611772e+00
 0.0000000000e+00	 2.9410000000e-02	 9.9912031795e-01	 4.1936052786e-02	 5.6589301775e+00	 1.6644758024e+00
 0.0000000000e+00	 3.5292000000e-02	 9.9872909431e-01	 5.0400752668e-02	 3.8742749261e+00	-1.3760530974e+00
 0.0000000000e+00	 4.1174000000e-02	 9.9826452377e-01	 5.8889473803e-02	 2.0884288555e+00	-3.6933039119e+00
 0.0000000000e+00	 4.7056000000e-02	 9.9772594558e-01	 6.7401408683e-02	 4.3332621257e-01	-5.1246176441e+00
 0.0000000000e+00	 5.2938000000e-02	 9.9711270890e-01	 7.5935733705e-02	-9.5949207934e-01	-5.5175448477e+00
 0.0000000000e+00	 5.8820000000e-02	 9.9642417327e-01	 8.4491609256e-02	-1.9681776984e+00	-4.7211361800e+00
 5.8820000000e-03	 0.0000000000e+00	 1.0088234573e+00	 0.0000000000e+00	 1.8137326013e+01	 3.7670424733e+00
 5.8820000000e-03	 5.8820000000e-03	 1.0087884330e+00	 8.4065751451e-03	 1.4735209108e+01	 5.0163793604e+00
 5.8820000000e-03	 1.1764000000e-02	 1.0086828827e+00	 1.6841210896e-02	 1.1586370476e+01	 5.2584098479e+00
 5.8820000000e-03	 1.7646000000e-02	 1.0085060962e+00	 2.5303174698e-02	 8.9593282654e+00	 4.4846099684e+00
 5.8820000000e-03	 2.3528000000e-02	 1.0082573711e+00	 3.3791717495e-02	 7.0320505868e+00	 2.7705947975e+00
 5.8820000000e-03	 2.9410000000e-02	 1.0079360134e+00	 4.2306073768e-02	 5.5069638504e+00	 6.6065891319e-01
 5.8820000000e-03	 3.5292000000e-02	 1.0075413379e+00	 5.0845461567e-02	 4.0791762632e+00	-1.3009016850e+00
 5.8820000000e-03	 4.1174000000e-02	 1.0070726682e+00	 5.9409082570e-02	 2.6912100079e+00	-2.8249791338e+00
 5.8820000000e-03	 4.7056000000e-02	 1.0065293379e+00	 6.7996122144e-02	 1.3887237055e+00	-3.7338357184e+00
 5.8820000000e-03	 5.2938000000e-02	 1.0059106903e+00	 7.6605749417e-02	 2.4101549846e-01	-3.8820680332e+00
 5.8820000000e-03	 5.8820000000e-02	 1.0052160794e+00	 8.5237117371e-02	-6.8362089858e-01	-3.1324249657e+00
 1.1764000000e-02	 0.0000000000e+00	 1.0176467822e+00	 0.0000000000e+00	 1.3580792819e+01	 1.4421817747e+00
