xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.6677202202e+01
 0.0000000000e+00	 1.4286000000e-02	 9.9979421360e-01	 2.0285918027e-02	 2.6658782104e+01
 0.0000000000e+00	 2.8572000000e-02	 9.9917015173e-01	 4.0730438957e-02	 2.6611701065e+01
 0.0000000000e+00	 4.2858000000e-02	 9.9811797387e-01	 6.1322427094e-02	 2.6534634245e+01
 0.0000000000e+00	 5.7144000000e-02	 9.9662815290e-01	 8.2050164801e-02	 2.6426456235e+01
 0.0000000000e+00	 7.1430000000e-02	 9.9469151154e-01	 1.0290135811e-01	 2.6286247940e+01
 0.0000000000e+00	 8.5716000000e-02	 9.9229925915e-01	 1.2386314479e-01	 2.6113301881e+01
 0.0000000000e+00	 1.0000200000e-01	 9.8944302882e-01	 1.4492210489e-01	 2.5907125776e+01
 0.0000000000e+00	 1.1428800000e-01	 9.8611491462e-01	 1.6606427394e-01	 2.5667444347e+01
 0.0000000000e+00	 1.2857400000e-01	 9.8230750859e-01	 1.8727515887e-01	 2.5394199341e+01
 0.0000000000e+00	 1.4286000000e-01	 9.7801393759e-01	 2.0853975653e-01	 2.5087547881e+01
 1.4286000000e-02	 0.0000000000e+00	 1.0214286435e+00	 0.0000000000e+00	 2.5186350533e+01
 1.4286000000e-02	 1.4286000000e-02	 1.0212184474e+00	 2.0720617734e-02	 2.5168758084e+01
 1.4286000000e-02	 2.8572000000e-02	 1.0205810127e+00	 4.1603237015e-02	 2.5124714491e+01
 1.4286000000e-02	 4.2858000000e-02	 1.0195062881e+00	 6.2636483525e-02	 2.5052976883e+01
 1.4286000000e-02	 5.7144000000e-02	 1.0179845423e+00	 8.3808388534e-02	 2.4952498772e+01
 1.4286000000e-02	 7.1430000000e-02	 1.0160064013e+00	 1.0510639464e-01	 2.4822435840e+01
 1.4286000000e-02	 8.5716000000e-02	 1.0135628862e+00	 1.2651736396e-01	 2.4662150202e+01
 1.4286000000e-02	 1.0000200000e-01	 1.0106454507e+00	 1.4802758901e-01	 2.4471213039e+01
 1.4286000000e-02	 1.1428800000e-01	 1.0072460196e+00	 1.6962280607e-01	 2.4249405538e+01
 1.4286000000e-02	 1.2857400000e-01	 1.0033570260e+00	 1.9128821148e-01	 2.3996718144e+01
 1.4286000000e-02	 1.4286000000e-01	 9.9897144959e-01	 2.1300848063e-01	 2.3713348215e+01
 2.8572000000e-02	 0.0000000000e+00	 1.0428574195e+00	 0.0000000000e+00	 2.3845586683e+01
