patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-4.720069461540542e-05	 0.000000000000000e+00
1	 9.997942136041430e-01	 2.028591802679378e-02	-4.719395745696859e-05	 2.766005552614651e-06
1	 9.991701517322812e-01	 4.073043895732996e-02	-4.716624903214803e-05	 5.553116178085303e-06
1	 9.981179738659461e-01	 6.132242709398375e-02	-4.711721122333352e-05	 8.359895547276845e-06
1	 9.966281528999331e-01	 8.205016480108969e-02	-4.704654015999803e-05	 1.118486616406436e-05
1	 9.946915115410935e-01	 1.029013581149163e-01	-4.695398353281729e-05	 1.402649287400793e-05
1	 9.922992591451227e-01	 1.238631447915628e-01	-4.683933750216822e-05	 1.688316538498143e-05
1	 9.894430288203904e-01	 1.449221048859623e-01	-4.670244298648696e-05	 1.975318027610457e-05
1	 9.861149146151664e-01	 1.660642739430359e-01	-4.654318108416085e-05	 2.263472302904317e-05
1	 9.823075085927058e-01	 1.872751588682954e-01	-4.636146736796881e-05	 2.552585066714782e-05
1	 9.780139375877577e-01	 2.085397565298897e-01	-4.615724479807043e-05	 2.842447563138105e-05
1	 9.732282518626567e-01	 2.298410867697774e-01	-4.593046663052091e-05	 3.132822158682760e-05
1	 9.679444735972303e-01	 2.511647027528097e-01	-4.568096271145046e-05	 3.423524566596521e-05
1	 9.621575490304195e-01	 2.724942383587359e-01	-4.540854403515111e-05	 3.714340663191552e-05
1	 9.558630981313170e-01	 2.938129209596946e-01	-4.511300021878741e-05	 4.005038980377997e-05
1	 9.490574463164518e-01	 3.151036037782406e-01	-4.479408418417615e-05	 4.295370636148904e-05
1	 9.417376544619561e-01	 3.363488008802307e-01	-4.445149565595596e-05	 4.585069784444057e-05
1	 9.339015469729997e-01	 3.575307247119079e-01	-4.408486403894587e-05	 4.873854641575697e-05
1	 9.255477376767898e-01	 3.786313260672552e-01	-4.369373047916804e-05	 5.161430644067257e-05
1	 9.166756533117869e-01	 3.996323363483558e-01	-4.327750925214965e-05	 5.447552831077575e-05
1	 9.072855543946887e-01	 4.205153119584039e-01	-4.283554544759728e-05	 5.732046780469843e-05
1	 8.973778426309759e-01	 4.412631267957646e-01	-4.236734803483613e-05	 6.014745866469373e-05
1	 8.869551416254857e-01	 4.618556531118257e-01	-4.187322730059808e-05	 6.295409619765105e-05
1	 8.760203156838144e-01	 4.822741974000463e-01	-4.135368568158216e-05	 6.573800198072286e-05
1	 8.645771165329884e-01	 5.025000860247010e-01	-4.080927410060574e-05	 6.849668560363504e-05
1	 8.526301882742356e-01	 5.225147171506273e-01	-4.024059229829496e-05	 7.122755335142231e-05
1	 8.401850687269298e-01	 5.422996134099225e-01	-3.964828919671679e-05	 7.392791940643889e-05
1	 8.272481870752481e-01	 5.618364750149920e-01	-3.903306339494177e-05	 7.659502006796164e-05
1	 8.138268577557128e-01	 5.811072330167580e-01	-3.839566387254138e-05	 7.922603146501267e-05
1	 7.999292705517563e-01	 6.000941023989975e-01	-3.773689094742980e-05	 8.181809117563369e-05
1	 7.855644768903997e-01	 6.187796346948449e-01	-3.705759750068187e-05	 8.436832406252576e-05
1	 7.707423701765810e-01	 6.371467715387087e-01	-3.635850317320510e-05	 8.687398176733507e-05
1	 7.554736580333883e-01	 6.551789005581102e-01	-3.563963273526196e-05	 8.933280597974648e-05
1	 7.397698440641727e-01	 6.728598994536507e-01	-3.490087849863683e-05	 9.174274001321424e-05
1	 7.236432017326105e-01	 6.901741818186914e-01	-3.414230911698785e-05	 9.410180131536070e-05
1	 7.071067426773200e-01	 7.071067426773202e-01	-3.336444479076531e-05	 9.640792896222394e-05
1	 6.901741818186911e-01	 7.236432017326108e-01	-3.256792982866289e-05	 9.865908631630774e-05
1	 6.728598994536503e-01	 7.397698440641729e-01	-3.175342885267772e-05	 1.008533178512224e-04
1	 6.551789005581099e-01	 7.554736580333886e-01	-3.092155590323352e-05	 1.029889686457156e-04
1	 6.371467715387082e-01	 7.707423701765813e-01	-3.007268342725086e-05	 1.050654123498682e-04
1	 6.187796346948450e-01	 7.855644768903999e-01	-2.920713318454907e-05	 1.070823699581686e-04
1	 6.000941023989972e-01	 7.999292705517564e-01	-2.832537743249828e-05	 1.090393920318859e-04
1	 5.811072330167577e-01	 8.138268577557130e-01	-2.742843272100698e-05	 1.109351878219212e-04
1	 5.618364750149918e-01	 8.272481870752482e-01	-2.651744194716082e-05	 1.127682747200269e-04
1	 5.422996134099223e-01	 8.401850687269302e-01	-2.559353075645902e-05	 1.145371920524949e-04
1	 5.225147171506268e-01	 8.526301882742356e-01	-2.465780141995419e-05	 1.162404999510022e-04
1	 5.025000860247008e-01	 8.645771165329886e-01	-2.371132831244046e-05	 1.178767821083658e-04
1	 4.822741974000460e-01	 8.760203156838146e-01	-2.275515468596322e-05	 1.194446518177076e-04
1	 4.618556531118254e-01	 8.869551416254861e-01	-2.179029041380400e-05	 1.209427605636339e-04
1	 4.412631267957642e-01	 8.973778426309756e-01	-2.081771038402949e-05	 1.223698083510796e-04
1	 4.205153119584038e-01	 9.072855543946884e-01	-1.983835324654776e-05	 1.237245549223427e-04
1	 3.996323363483559e-01	 9.166756533117867e-01	-1.885311309366096e-05	 1.250059894604933e-04
1	 3.786313260672554e-01	 9.255477376767897e-01	-1.786240516337585e-05	 1.262143407592154e-04
1	 3.575307247119081e-01	 9.339015469729992e-01	-1.686663138846826e-05	 1.273500737455974e-04
1	 3.363488008802308e-01	 9.417376544619560e-01	-1.586655504624545e-05	 1.284140218422480e-04
1	 3.151036037782408e-01	 9.490574463164519e-01	-1.486322080242326e-05	 1.294072105799682e-04
1	 2.938129209596947e-01	 9.558630981313170e-01	-1.385766510729829e-05	 1.303305926668642e-04
1	 2.724942383587361e-01	 9.621575490304196e-01	-1.285089545004556e-05	 1.311850568955140e-04
1	 2.511647027528098e-01	 9.679444735972303e-01	-1.184387840278983e-05	 1.319714460268602e-04
1	 2.298410867697775e-01	 9.732282518626566e-01	-1.083752968630103e-05	 1.326905759760833e-04
1	 2.085397565298897e-01	 9.780139375877577e-01	-9.832706377317475e-06	 1.333432552679737e-04
1	 1.872751588682954e-01	 9.823075085927059e-01	-8.830121504053638e-06	 1.339302687983318e-04
1	 1.660642739430359e-01	 9.861149146151665e-01	-7.830522671214880e-06	 1.344520522262656e-04
1	 1.449221048859622e-01	 9.894430288203904e-01	-6.834509684452857e-06	 1.349090720706849e-04
1	 1.238631447915627e-01	 9.922992591451227e-01	-5.842615388169196e-06	 1.353018677362346e-04
1	 1.029013581149162e-01	 9.946915115410935e-01	-4.855307961401731e-06	 1.356310646462880e-04
1	 8.205016480108950e-02	 9.966281528999332e-01	-3.872994681879673e-06	 1.358973854088261e-04
1	 6.132242709398352e-02	 9.981179738659459e-01	-2.896026902703863e-06	 1.361016590930432e-04
1	 4.073043895732970e-02	 9.991701517322813e-01	-1.924705972969455e-06	 1.362448287407893e-04
1	 2.028591802679350e-02	 9.997942136041430e-01	-9.592898304251070e-07	 1.363279572577485e-04
1	 0.000000000000000e+00	 1.000000000000000e+00	 0.000000000000000e+00	 1.363522318289644e-04
1	 1.028571524673962e+00	 0.000000000000000e+00	-4.873460762433788e-05	 0.000000000000000e+00
1	 1.028359858646923e+00	 2.086551763399812e-02	-4.872391203255038e-05	 2.636389049241792e-06
1	 1.027717966375624e+00	 4.189416969848920e-02	-4.868607878819475e-05	 5.293126983797823e-06
1	 1.026635726183013e+00	 6.307450233200076e-02	-4.862068694134112e-05	 7.969257717303660e-06
1	 1.025103338759998e+00	 8.439446310816293e-02	-4.852737186291217e-05	 1.066379894764365e-05
1	 1.023111364604206e+00	 1.058414068059686e-01	-4.840582408210313e-05	 1.337572095942490e-05
1	 1.020650761909257e+00	 1.274021036876108e-01	-4.825578799695409e-05	 1.610392424463974e-05
1	 1.017712924728706e+00	 1.490627503797446e-01	-4.807706014115387e-05	 1.884721649438193e-05
1	 1.014289721225768e+00	 1.708089834415316e-01	-4.786948663785461e-05	 2.160428957791925e-05
1	 1.010373531807687e+00	 1.926258956886906e-01	-4.763295944060438e-05	 2.437369718190631e-05
1	 1.005957286932442e+00	 2.144980553270330e-01	-4.736741095842684e-05	 2.715383383042398e-05
1	 1.001034866869323e+00	 2.364079970495257e-01	-4.707285152890984e-05	 2.994280303707666e-05
1	 9.956001230027207e-01	 2.583408612529186e-01	-4.674936963972991e-05	 3.273923861749355e-05
1	 9.896478571779088e-01	 2.802798142119563e-01	-4.639710882658350e-05	 3.554146736563222e-05
1	 9.831735642198082e-01	 3.022076040792304e-01	-4.601621222485798e-05	 3.834761321151868e-05
1	 9.761734645564871e-01	 3.241065941677249e-01	-4.560680515056844e-05	 4.115559375516411e-05
1	 9.686445350888163e-01	 3.459587989435013e-01	-4.516897558200687e-05	 4.396312272899386e-05
1	 9.605845380618937e-01	 3.677459226352754e-01	-4.470275312884998e-05	 4.676771905892547e-05
1	 9.519920476978457e-01	 3.894494003436981e-01	-4.420806286443757e-05	 4.956690706964657e-05
1	 9.428664743561648e-01	 4.110504415091603e-01	-4.368463062949131e-05	 5.235911990041026e-05
1	 9.332080859968964e-01	 4.325300755731782e-01	-4.313215855318750e-05	 5.514303209169085e-05
1	 9.230172958028483e-01	 4.538706871152773e-01	-4.255056591987874e-05	 5.791728603858010e-05
1	 9.122968023392436e-01	 4.750515733063471e-01	-4.194075649708877e-05	 6.067964151959016e-05
1	 9.010495517492522e-01	 4.960535065378229e-01	-4.130387416712523e-05	 6.342782518399880e-05
1	 8.892794029524570e-01	 5.168572796396937e-01	-4.064112744207709e-05	 6.615942888822101e-05
1	 8.769911327391363e-01	 5.374437592939640e-01	-3.995378721253734e-05	 6.887191720920228e-05
1	 8.641904371526012e-01	 5.577939402061163e-01	-3.924318454789776e-05	 7.156263758294709e-05
1	 8.508839290686183e-01	 5.778889997356799e-01	-3.851070870101025e-05	 7.422883374338880e-05
1	 8.370791319083113e-01	 5.977103526761108e-01	-3.775780543987496e-05	 7.686766312262686e-05
1	 8.227844694497054e-01	 6.172397058661132e-01	-3.698597579183352e-05	 7.947621880926539e-05
1	 8.080092517328882e-01	 6.364591123094784e-01	-3.619677524327441e-05	 8.205155654527242e-05
1	 7.927636548324526e-01	 6.553510262570685e-01	-3.539160160014417e-05	 8.459074509030424e-05
1	 7.770586923045764e-01	 6.738983606956130e-01	-3.457105800958851e-05	 8.709095820564406e-05
1	 7.609061964280683e-01	 6.920845326870669e-01	-3.373558739009163e-05	 8.954946380716363e-05
1	 7.443187913381445e-01	 7.098935104974183e-01	-3.288568772008965e-05	 9.196365365234087e-05
1	 7.273098604357455e-01	 7.273098604357457e-01	-3.202196737240998e-05	 9.433106079505314e-05
1	 7.098935104974181e-01	 7.443187913381450e-01	-3.114548229608512e-05	 9.664913778107418e-05
