xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.1097527567e+01	 5.3238152851e-01
 0.0000000000e+00	 1.4286000000e-02	 9.9979421360e-01	 2.0285918027e-02	 3.1076754100e+01	 5.3678052997e-01
 0.0000000000e+00	 2.8572000000e-02	 9.9917015173e-01	 4.0730438957e-02	 3.1020011856e+01	 5.3780806817e-01
 0.0000000000e+00	 4.2858000000e-02	 9.9811797387e-01	 6.1322427094e-02	 3.0926993531e+01	 5.3514191973e-01
 0.0000000000e+00	 5.7144000000e-02	 9.9662815290e-01	 8.2050164801e-02	 3.0797392530e+01	 5.2867388388e-01
 0.0000000000e+00	 7.1430000000e-02	 9.9469151154e-01	 1.0290135811e-01	 3.0630893806e+01	 5.1850789741e-01
 0.0000000000e+00	 8.5716000000e-02	 9.9229925915e-01	 1.2386314479e-01	 3.0427167658e+01	 5.0495280044e-01
 0.0000000000e+00	 1.0000200000e-01	 9.8944302882e-01	 1.4492210489e-01	 3.0185866803e+01	 4.8851036038e-01
 0.0000000000e+00	 1.1428800000e-01	 9.8611491462e-01	 1.6606427394e-01	 2.9906626954e+01	 4.6985941847e-01
 0.0000000000e+00	 1.2857400000e-01	 9.8230750859e-01	 1.8727515887e-01	 2.9589071104e+01	 4.4983724948e-01
 0.0000000000e+00	 1.4286000000e-01	 9.7801393759e-01	 2.0853975653e-01	 2.9232817697e+01	 4.2941940530e-01
 1.4286000000e-02	 0.0000000000e+00	 1.0285715247e+00	 0.0000000000e+00	 2.8991347843e+01	 8.9987412069e-01
 1.4286000000e-02	 1.4286000000e-02	 1.0283598586e+00	 2.0865517634e-02	 2.8970654873e+01	 9.0360560386e-01
 1.4286000000e-02	 2.8572000000e-02	 1.0277179664e+00	 4.1894169698e-02	 2.8918275656e+01	 9.0470048102e-01
 1.4286000000e-02	 4.2858000000e-02	 1.0266357262e+00	 6.3074502332e-02	 2.8833984167e+01	 9.0292164850e-01
 1.4286000000e-02	 5.7144000000e-02	 1.0251033388e+00	 8.4394463108e-02	 2.8717493236e+01	 8.9822124881e-01
 1.4286000000e-02	 7.1430000000e-02	 1.0231113646e+00	 1.0584140681e-01	 2.8568442780e+01	 8.9072938189e-01
 1.4286000000e-02	 8.5716000000e-02	 1.0206507619e+00	 1.2740210369e-01	 2.8386391307e+01	 8.8073677502e-01
 1.4286000000e-02	 1.0000200000e-01	 1.0177129247e+00	 1.4906275038e-01	 2.8170810928e+01	 8.6867229224e-01
 1.4286000000e-02	 1.1428800000e-01	 1.0142897212e+00	 1.7080898344e-01	 2.7921086130e+01	 8.5507647025e-01
 1.4286000000e-02	 1.2857400000e-01	 1.0103735318e+00	 1.9262589569e-01	 2.7636516464e+01	 8.4057253391e-01
 1.4286000000e-02	 1.4286000000e-01	 1.0059572869e+00	 2.1449805533e-01	 2.7316323319e+01	 8.2583655118e-01
 2.8572000000e-02	 0.0000000000e+00	 1.0571432260e+00	 0.0000000000e+00	 2.7191510493e+01	 1.3172762725e+00
 2.8572000000e-02	 1.4286000000e-02	 1.0569256803e+00	 2.1445120825e-02	 2.7170295024e+01	 1.3193434453e+00
 2.8572000000e-02	 2.8572000000e-02	 1.0562659575e+00	 4.3057907636e-02	 2.7121372911e+01	 1.3189445900e+00
 2.8572000000e-02	 4.2858000000e-02	 1.0551536548e+00	 6.4826588404e-02	 2.7044559619e+01	 1.3158973153e+00
 2.8572000000e-02	 5.7144000000e-02	 1.0535787007e+00	 8.6738775911e-02	 2.6939550931e+01	 1.3101904037e+00
 2.8572000000e-02	 7.1430000000e-02	 1.0515313934e+00	 1.0878147368e-01	 2.6805908917e+01	 1.3019625427e+00
 2.8572000000e-02	 8.5716000000e-02	 1.0490024400e+00	 1.3094108447e-01	 2.6643051363e+01	 1.2914742162e+00
 2.8572000000e-02	 1.0000200000e-01	 1.0459829954e+00	 1.5320342148e-01	 2.6450244924e+01	 1.2790739334e+00
 2.8572000000e-02	 1.1428800000e-01	 1.0424647021e+00	 1.7555372228e-01	 2.6226602178e+01	 1.2651603309e+00
 2.8572000000e-02	 1.2857400000e-01	 1.0384397286e+00	 1.9797666560e-01	 2.5971082746e+01	 1.2501419862e+00
 2.8572000000e-02	 1.4286000000e-01	 1.0339008091e+00	 2.2045639097e-01	 2.5682498644e+01	 1.2343970167e+00
 4.2858000000e-02	 0.0000000000e+00	 1.0857150807e+00	 0.0000000000e+00	 2.5653504438e+01	 1.7655157912e+00
 4.2858000000e-02	 1.4286000000e-02	 1.0854916553e+00	 2.2024727127e-02	 2.5630971384e+01	 1.7647684815e+00
 4.2858000000e-02	 2.8572000000e-02	 1.0848141019e+00	 4.4221651818e-02	 2.5584498577e+01	 1.7612043632e+00
 4.2858000000e-02	 4.2858000000e-02	 1.0836717365e+00	 6.6578683879e-02	 2.5513906209e+01	 1.7546779135e+00
 4.2858000000e-02	 5.7144000000e-02	 1.0820542155e+00	 8.9083101296e-02	 2.5418839924e+01	 1.7452035002e+00
