xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.0834783956e+01
 0.0000000000e+00	 1.4286000000e-02	 9.9979421360e-01	 2.0285918027e-02	 3.0811870800e+01
 0.0000000000e+00	 2.8572000000e-02	 9.9917015173e-01	 4.0730438957e-02	 3.0754634780e+01
 0.0000000000e+00	 4.2858000000e-02	 9.9811797387e-01	 6.1322427094e-02	 3.0662925089e+01
 0.0000000000e+00	 5.7144000000e-02	 9.9662815290e-01	 8.2050164801e-02	 3.0536488102e+01
 0.0000000000e+00	 7.1430000000e-02	 9.9469151154e-01	 1.0290135811e-01	 3.0374959184e+01
 0.0000000000e+00	 8.5716000000e-02	 9.9229925915e-01	 1.2386314479e-01	 3.0177859857e+01
 0.0000000000e+00	 1.0000200000e-01	 9.8944302882e-01	 1.4492210489e-01	 2.9944600321e+01
 0.0000000000e+00	 1.1428800000e-01	 9.8611491462e-01	 1.6606427394e-01	 2.9674487245e+01
 0.0000000000e+00	 1.2857400000e-01	 9.8230750859e-01	 1.8727515887e-01	 2.9366736557e+01
 0.0000000000e+00	 1.4286000000e-01	 9.7801393759e-01	 2.0853975653e-01	 2.9020490905e+01
 1.4286000000e-02	 0.0000000000e+00	 1.0285715247e+00	 0.0000000000e+00	 2.8552048254e+01
 1.4286000000e-02	 1.4286000000e-02	 1.0283598586e+00	 2.0865517634e-02	 2.8529586411e+01
 1.4286000000e-02	 2.8572000000e-02	 1.0277179664e+00	 4.1894169698e-02	 2.8476705778e+01
 1.4286000000e-02	 4.2858000000e-02	 1.0266357262e+00	 6.3074502332e-02	 2.8393292904e+01
 1.4286000000e-02	 5.7144000000e-02	 1.0251033388e+00	 8.4394463108e-02	 2.8279083375e+01
 1.4286000000e-02	 7.1430000000e-02	 1.0231113646e+00	 1.0584140681e-01	 2.8133655474e+01
 1.4286000000e-02	 8.5716000000e-02	 1.0206507619e+00	 1.2740210369e-01	 2.7956429850e+01
 1.4286000000e-02	 1.0000200000e-01	 1.0177129247e+00	 1.4906275038e-01	 2.7746675061e+01
 1.4286000000e-02	 1.1428800000e-01	 1.0142897212e+00	 1.7080898344e-01	 2.7503518732e+01
