x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	 5.3238810440e-01
 9.9979421360e-01	 2.0285918027e-02	 5.4957294319e-01
 9.9917015173e-01	 4.0730438957e-02	 5.8818402296e-01
 9.9811797387e-01	 6.1322427094e-02	 6.4826596000e-01
 9.9662815290e-01	 8.2050164801e-02	 7.2984148999e-01
 9.9469151154e-01	 1.0290135811e-01	 8.3289331052e-01
 9.9229925915e-01	 1.2386314479e-01	 9.5734392408e-01
 9.8944302882e-01	 1.4492210489e-01	 1.1030341442e+00
 9.8611491462e-01	 1.6606427394e-01	 1.2697010707e+00
 9.8230750859e-01	 1.8727515887e-01	 1.4569564732e+00
 9.7801393759e-01	 2.0853975653e-01	 1.6642666359e+00
 1.0285715247e+00	 0.0000000000e+00	 8.9987794538e-01
 1.0283598586e+00	 2.0865517634e-02	 9.1364011984e-01
 1.0277179664e+00	 4.1894169698e-02	 9.4436643692e-01
 1.0266357262e+00	 6.3074502332e-02	 9.9213062098e-01
 1.0251033388e+00	 8.4394463108e-02	 1.0569901491e+00
 1.0231113646e+00	 1.0584140681e-01	 1.1389629811e+00
 1.0206507619e+00	 1.2740210369e-01	 1.2380016883e+00
 1.0177129247e+00	 1.4906275038e-01	 1.3539657758e+00
 1.0142897212e+00	 1.7080898344e-01	 1.4865931679e+00
 1.0103735318e+00	 1.9262589569e-01	 1.6354719892e+00
 1.0059572869e+00	 2.1449805533e-01	 1.8000139124e+00
 1.0571432260e+00	 0.0000000000e+00	 1.3172781429e+00
 1.0569256803e+00	 2.1445120825e-02	 1.3270634564e+00
 1.0562659575e+00	 4.3057907636e-02	 1.3496095181e+00
 1.0551536548e+00	 6.4826588404e-02	 1.3849978011e+00
 1.0535787007e+00	 8.6738775911e-02	 1.4333018772e+00
 1.0515313934e+00	 1.0878147368e-01	 1.4945584516e+00
 1.0490024400e+00	 1.3094108447e-01	 1.5687350904e+00
 1.0459829954e+00	 1.5320342148e-01	 1.6556955879e+00
 1.0424647021e+00	 1.7555372228e-01	 1.7551641256e+00
 1.0384397286e+00	 1.9797666560e-01	 1.8666895741e+00
 1.0339008091e+00	 2.2045639097e-01	 1.9896114601e+00
 1.0857150807e+00	 0.0000000000e+00	 1.7655165171e+00
 1.0854916553e+00	 2.2024727127e-02	 1.7705896907e+00
 1.0848141019e+00	 4.4221651818e-02	 1.7844562521e+00
 1.0836717365e+00	 6.6578683879e-02	 1.8071947834e+00
 1.0820542155e+00	 8.9083101296e-02	 1.8388875883e+00
 1.0799515747e+00	 1.1172155633e-01	 1.8795853041e+00
 1.0773542702e+00	 1.3448008424e-01	 1.9292673819e+00
 1.0742532179e+00	 1.5734411480e-01	 1.9877995484e+00
 1.0706398341e+00	 1.8029848658e-01	 2.0548896119e+00
 1.0665060760e+00	 2.0332746422e-01	 2.1300432104e+00
