x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 3.109752099862372e+01
 9.997942136041430e-01	 2.028591802679378e-02	 3.106396169185972e+01
 9.991701517322812e-01	 4.073043895732996e-02	 3.096963590529830e+01
 9.981179738659461e-01	 6.132242709398375e-02	 3.081386949326406e+01
 9.966281528999331e-01	 8.205016480108969e-02	 3.059622492619378e+01
 9.946915115410935e-01	 1.029013581149163e-01	 3.031650839541787e+01
 9.922992591451227e-01	 1.238631447915628e-01	 2.997477653758806e+01
 9.894430288203904e-01	 1.449221048859623e-01	 2.957134302286522e+01
 9.861149146151664e-01	 1.660642739430359e-01	 2.910678530548625e+01
 9.823075085927058e-01	 1.872751588682954e-01	 2.858195188533278e+01
 9.780139375877577e-01	 2.085397565298897e-01	 2.799797047170783e+01
 1.028571524673962e+00	 0.000000000000000e+00	 2.899134403015121e+01
 1.028359858646923e+00	 2.086551763399812e-02	 2.896062036753490e+01
 1.027717966375624e+00	 4.189416969848920e-02	 2.887860970797183e+01
 1.026635726183013e+00	 6.307450233200076e-02	 2.874477520103703e+01
 1.025103338759998e+00	 8.439446310816293e-02	 2.855872433987948e+01
 1.023111364604206e+00	 1.058414068059686e-01	 2.832020918443299e+01
 1.020650761909257e+00	 1.274021036876108e-01	 2.802912639569841e+01
 1.017712924728706e+00	 1.490627503797446e-01	 2.768551744510200e+01
 1.014289721225768e+00	 1.708089834415316e-01	 2.728956943224526e+01
 1.010373531807687e+00	 1.926258956886906e-01	 2.684161700813033e+01
 1.005957286932442e+00	 2.144980553270330e-01	 2.634214595563249e+01
 1.057143226019696e+00	 0.000000000000000e+00	 2.719150863606515e+01
 1.056925680325119e+00	 2.144512082513255e-02	 2.716257502564453e+01
 1.056265957544136e+00	 4.305790763559049e-02	 2.709070799339333e+01
 1.055153654839367e+00	 6.482658840407383e-02	 2.697545914166774e+01
 1.053578700696151e+00	 8.673877591142540e-02	 2.681643946464900e+01
 1.051531393401269e+00	 1.087814736771771e-01	 2.661331301314112e+01
 1.049002439984713e+00	 1.309410844673300e-01	 2.636579049150547e+01
 1.045982995443745e+00	 1.532034214778755e-01	 2.607362326992664e+01
 1.042464702055124e+00	 1.755537222797343e-01	 2.573659838158639e+01
 1.038439728568777e+00	 1.979766655962570e-01	 2.535453515425653e+01
 1.033900809064698e+00	 2.204563909682513e-01	 2.492728419507462e+01
 1.085715080702975e+00	 0.000000000000000e+00	 2.565350372329070e+01
 1.085491655309309e+00	 2.202472712684339e-02	 2.562515018669638e+01
 1.084814101922956e+00	 4.422165181821740e-02	 2.556124669965025e+01
 1.083671736544706e+00	 6.657868387927643e-02	 2.546138934982685e+01
 1.082054215452861e+00	 8.908310129626797e-02	 2.532515584490576e+01
 1.079951574721949e+00	 1.117215563273666e-01	 2.515209287210764e+01
 1.077354270216985e+00	 1.344800842403968e-01	 2.494170343070988e+01
 1.074253217877654e+00	 1.573441147986167e-01	 2.469343473973604e+01
 1.070639834093048e+00	 1.802984865825520e-01	 2.440666742904509e+01
 1.066506075954637e+00	 2.033274642209498e-01	 2.408070682088498e+01
 1.061844481163376e+00	 2.264147585873002e-01	 2.371477719560301e+01
 1.114287065389571e+00	 0.000000000000000e+00	 2.433707750050622e+01
 1.114057760270067e+00	 2.260433606577688e-02	 2.430802477750159e+01
 1.113362376197227e+00	 4.538540129595352e-02	 2.424999318354548e+01
 1.112189948008726e+00	 6.833078732668195e-02	 2.416256172740821e+01
 1.110529859774593e+00	 9.142743734808156e-02	 2.404521476204446e+01
 1.108371885355909e+00	 1.146616523553616e-01	 2.389737432595445e+01
 1.105706229451566e+00	 1.380191001164878e-01	 2.371832924831120e+01
 1.102523568942582e+00	 1.614848269602298e-01	 2.350721253462719e+01
 1.098815094329352e+00	 1.850432724748923e-01	 2.326299567999316e+01
 1.094572551043929e+00	 2.086782871927238e-01	 2.298447443416638e+01
 1.089788280407326e+00	 2.323731533179351e-01	 2.267025810983941e+01
 1.142859156745255e+00	 0.000000000000000e+00	 2.319600650955644e+01
 1.142623971877968e+00	 2.318394716857931e-02	 2.316548678079980e+01
 1.141910757052089e+00	 4.654915511838248e-02	 2.311213797462067e+01
 1.140708265941126e+00	 7.008289731536385e-02	 2.303545672292954e+01
 1.139005610405818e+00	 9.377178215225720e-02	 2.293476754967941e+01
 1.136792302092816e+00	 1.176017593599867e-01	 2.280920573818820e+01
 1.134058294533950e+00	 1.415581292052795e-01	 2.265770134596842e+01
 1.130794025550678e+00	 1.656255545809765e-01	 2.247896493701985e+01
