xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 3.1097552859e+01	 5.3239646156e-01
 0.0000000000e+00	 1.4285714286e-02	 9.9979422093e-01	 2.0285852044e-02	 3.1076781115e+01	 5.3679636052e-01
 0.0000000000e+00	 2.8571428571e-02	 9.9917018182e-01	 4.0730182473e-02	 3.1020040383e+01	 5.3782368192e-01
 0.0000000000e+00	 4.2857142857e-02	 9.9811804340e-01	 6.1321867598e-02	 3.0927022894e+01	 5.3515667038e-01
 0.0000000000e+00	 5.7142857143e-02	 9.9662827990e-01	 8.2049202936e-02	 3.0797421961e+01	 5.2868757906e-01
 0.0000000000e+00	 7.1428571429e-02	 9.9469171544e-01	 1.0289990885e-01	 3.0630922817e+01	 5.1852078431e-01
 0.0000000000e+00	 8.5714285714e-02	 9.9229956079e-01	 1.2386113861e-01	 3.0427196422e+01	 5.0496555192e-01
 0.0000000000e+00	 1.0000000000e-01	 9.8944345048e-01	 1.4491948902e-01	 3.0185896537e+01	 4.8852406188e-01
 0.0000000000e+00	 1.1428571429e-01	 9.8611547993e-01	 1.6606101359e-01	 2.9906660298e+01	 4.6987555600e-01
 0.0000000000e+00	 1.2857142857e-01	 9.8230824249e-01	 1.8727123840e-01	 2.9589112491e+01	 4.4985769846e-01
 0.0000000000e+00	 1.4285714286e-01	 9.7801486613e-01	 2.0853518078e-01	 2.9232873711e+01	 4.2944641981e-01
 1.4285714286e-02	 0.0000000000e+00	 1.0285714286e+00	 0.0000000000e+00	 2.8991358192e+01	 8.9984248222e-01
 1.4285714286e-02	 1.4285714286e-02	 1.0283597701e+00	 2.0865447817e-02	 2.8970667274e+01	 9.0357445537e-01
 1.4285714286e-02	 2.8571428571e-02	 1.0277179013e+00	 4.1893901972e-02	 2.8918289226e+01	 9.0466853777e-01
 1.4285714286e-02	 4.2857142857e-02	 1.0266357018e+00	 6.3073920958e-02	 2.8833997786e+01	 9.0288812187e-01
 1.4285714286e-02	 5.7142857143e-02	 1.0251033736e+00	 8.4393465877e-02	 2.8717505870e+01	 8.9818582766e-01
 1.4285714286e-02	 7.1428571429e-02	 1.0231114787e+00	 1.0583990624e-01	 2.8568453821e+01	 8.9069221536e-01
 1.4285714286e-02	 8.5714285714e-02	 1.0206509768e+00	 1.2740002829e-01	 2.8386400895e+01	 8.8069845754e-01
 1.4285714286e-02	 1.0000000000e-01	 1.0177132634e+00	 1.4906004585e-01	 2.8170820285e+01	 8.6863385107e-01
 1.4285714286e-02	 1.1428571429e-01	 1.0142902079e+00	 1.7080561397e-01	 2.7921097881e+01	 8.5503935589e-01
 1.4285714286e-02	 1.2857142857e-01	 1.0103741923e+00	 1.9262184522e-01	 2.7636534951e+01	 8.4053861295e-01
 1.4285714286e-02	 1.4285714286e-01	 1.0059581480e+00	 2.1449332880e-01	 2.7316354906e+01	 8.2580810092e-01
 2.8571428571e-02	 0.0000000000e+00	 1.0571428571e+00	 0.0000000000e+00	 2.7191522355e+01	 1.3172217237e+00
 2.8571428571e-02	 1.4285714286e-02	 1.0569253193e+00	 2.1445043590e-02	 2.7170309391e+01	 1.3192891373e+00
 2.8571428571e-02	 2.8571428571e-02	 1.0562656208e+00	 4.3057621472e-02	 2.7121388194e+01	 1.3188890747e+00
 2.8571428571e-02	 4.2857142857e-02	 1.0551533602e+00	 6.4825974318e-02	 2.7044574224e+01	 1.3158396599e+00
 2.8571428571e-02	 5.7142857143e-02	 1.0535784673e+00	 8.6737728818e-02	 2.6939563549e+01	 1.3101301704e+00
