xi	eta	x	y	stress_r	stress_theta
 0.0000000000e+00	 0.0000000000e+00	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 1.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 2.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 3.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 4.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 5.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 6.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 7.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 8.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 9.0000000000e-01	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 0.0000000000e+00	 1.0000000000e+00	 7.0710678119e+00	 7.0710678119e+00	 1.2297404364e+00	-8.5734010329e-02
 5.0000000000e-02	 0.0000000000e+00	 7.0746033458e+00	 7.0746033458e+00	 3.5444379879e+01	-5.0690873088e-01
 5.0000000000e-02	 1.0000000000e-01	 7.0742497924e+00	 7.0749568992e+00	 3.3526046950e+01	-1.5905544706e+00
 5.0000000000e-02	 2.0000000000e-01	 7.0738962390e+00	 7.0753104526e+00	 3.1783409377e+01	-2.6148420011e+00
 5.0000000000e-02	 3.0000000000e-01	 7.0735426856e+00	 7.0756640060e+00	 3.0215270467e+01	-3.5785746293e+00
 5.0000000000e-02	 4.0000000000e-01	 7.0731891322e+00	 7.0760175594e+00	 2.8820892099e+01	-4.4810142339e+00
 5.0000000000e-02	 5.0000000000e-01	 7.0728355789e+00	 7.0763711128e+00	 2.7600062302e+01	-5.3219488430e+00
