x	y	stress_xx
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0710678119e+00	 7.0710678119e+00	-5.9043875305e-02
 7.0746033458e+00	 7.0746033458e+00	-5.0416125757e-01
 7.0742497924e+00	 7.0749568992e+00	-1.4553495432e+00
 7.0738962390e+00	 7.0753104526e+00	-2.2245484487e+00
 7.0735426856e+00	 7.0756640060e+00	-2.8117579740e+00
 7.0731891322e+00	 7.0760175594e+00	-3.2169781190e+00
 7.0728355789e+00	 7.0763711128e+00	-3.4402088839e+00
 7.0724820255e+00	 7.0767246661e+00	-3.4814502686e+00
 7.0721284721e+00	 7.0770782195e+00	-3.3407022732e+00
 7.0717749187e+00	 7.0774317729e+00	-3.0179648975e+00
 7.0714213653e+00	 7.0777853263e+00	-2.5132381416e+00
 7.0710678119e+00	 7.0781388797e+00	-1.8265220055e+00
 7.0852099475e+00	 7.0852099475e+00	-2.5625976041e-01
 7.0837957340e+00	 7.0866241611e+00	-7.3052938985e-01
 7.0823815204e+00	 7.0880383746e+00	-1.1135524431e+00
 7.0809673068e+00	 7.0894525882e+00	-1.4053289201e+00
 7.0795530933e+00	 7.0908668018e+00	-1.6058588209e+00
 7.0781388797e+00	 7.0922810153e+00	-1.7151421455e+00
 7.0767246661e+00	 7.0936952289e+00	-1.7331788938e+00
 7.0753104526e+00	 7.0951094425e+00	-1.6599690659e+00
 7.0738962390e+00	 7.0965236560e+00	-1.4955126618e+00
 7.0724820255e+00	 7.0979378696e+00	-1.2398096814e+00
 7.0710678119e+00	 7.0993520831e+00	-8.9286012471e-01
 7.1028876171e+00	 7.1028876171e+00	-1.6888814168e-01
 7.0997056365e+00	 7.1060695976e+00	-4.8567967920e-01
 7.0965236560e+00	 7.1092515781e+00	-7.4156632310e-01
 7.0933416755e+00	 7.1124335586e+00	-9.3654807331e-01
 7.0901596950e+00	 7.1156155391e+00	-1.0706249297e+00
 7.0869777145e+00	 7.1187975196e+00	-1.1437968923e+00
 7.0837957340e+00	 7.1219795001e+00	-1.1560639610e+00
 7.0806137534e+00	 7.1251614807e+00	-1.1074261356e+00
 7.0774317729e+00	 7.1283434612e+00	-9.9788341611e-01
 7.0742497924e+00	 7.1315254417e+00	-8.2743580245e-01
 7.0710678119e+00	 7.1347074222e+00	-5.9608329453e-01
 7.1276363544e+00	 7.1276363544e+00	-1.2517330924e-01
 7.1219795001e+00	 7.1332932086e+00	-3.6344280963e-01
 7.1163226459e+00	 7.1389500629e+00	-5.5599583100e-01
 7.1106657916e+00	 7.1446069171e+00	-7.0283237289e-01
 7.1050089374e+00	 7.1502637714e+00	-8.0395243486e-01
