1	10	10
21	11	2	1
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1091e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1091e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1091e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1092e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1092e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1092e-05	 4.4770e-05
 7.0711e+00	 7.0711e+00	-3.2212e-05	 3.1092e-05	 4.4770e-05
 7.0711e+00	 7.0711e+00	-3.2211e-05	 3.1092e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2211e-05	 3.1092e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2211e-05	 3.1093e-05	 4.4769e-05
 7.0711e+00	 7.0711e+00	-3.2210e-05	 3.1093e-05	 4.4769e-05
 7.0746e+00	 7.0746e+00	-3.1668e-05	 3.1103e-05	 4.4387e-05
 7.0742e+00	 7.0750e+00	-3.1594e-05	 3.1213e-05	 4.4412e-05
 7.0739e+00	 7.0753e+00	-3.1523e-05	 3.1323e-05	 4.4440e-05
 7.0735e+00	 7.0757e+00	-3.1456e-05	 3.1435e-05	 4.4471e-05
 7.0732e+00	 7.0760e+00	-3.1393e-05	 3.1546e-05	 4.4505e-05
 7.0728e+00	 7.0764e+00	-3.1332e-05	 3.1658e-05	 4.4542e-05
 7.0725e+00	 7.0767e+00	-3.1275e-05	 3.1771e-05	 4.4582e-05
 7.0721e+00	 7.0771e+00	-3.1221e-05	 3.1884e-05	 4.4625e-05
 7.0718e+00	 7.0774e+00	-3.1171e-05	 3.1998e-05	 4.4671e-05
 7.0714e+00	 7.0778e+00	-3.1124e-05	 3.2112e-05	 4.4720e-05
 7.0711e+00	 7.0781e+00	-3.1080e-05	 3.2227e-05	 4.4772e-05
 7.0852e+00	 7.0852e+00	-3.1155e-05	 3.1149e-05	 4.4056e-05
 7.0838e+00	 7.0866e+00	-3.1011e-05	 3.1366e-05	 4.4108e-05
 7.0824e+00	 7.0880e+00	-3.0873e-05	 3.1585e-05	 4.4167e-05
 7.0810e+00	 7.0895e+00	-3.0741e-05	 3.1804e-05	 4.4233e-05
 7.0796e+00	 7.0909e+00	-3.0617e-05	 3.2025e-05	 4.4306e-05
 7.0781e+00	 7.0923e+00	-3.0499e-05	 3.2247e-05	 4.4385e-05
 7.0767e+00	 7.0937e+00	-3.0387e-05	 3.2469e-05	 4.4471e-05
 7.0753e+00	 7.0951e+00	-3.0283e-05	 3.2693e-05	 4.4563e-05
 7.0739e+00	 7.0965e+00	-3.0185e-05	 3.2918e-05	 4.4662e-05
 7.0725e+00	 7.0979e+00	-3.0094e-05	 3.3144e-05	 4.4768e-05
 7.0711e+00	 7.0994e+00	-3.0009e-05	 3.3371e-05	 4.4879e-05
 7.1029e+00	 7.1029e+00	-3.0675e-05	 3.1229e-05	 4.3774e-05
 7.0997e+00	 7.1061e+00	-3.0462e-05	 3.1551e-05	 4.3857e-05
 7.0965e+00	 7.1093e+00	-3.0259e-05	 3.1875e-05	 4.3951e-05
 7.0933e+00	 7.1124e+00	-3.0066e-05	 3.2201e-05	 4.4056e-05
 7.0902e+00	 7.1156e+00	-2.9884e-05	 3.2528e-05	 4.4171e-05
 7.0870e+00	 7.1188e+00	-2.9711e-05	 3.2857e-05	 4.4298e-05
 7.0838e+00	 7.1220e+00	-2.9548e-05	 3.3187e-05	 4.4435e-05
 7.0806e+00	 7.1252e+00	-2.9395e-05	 3.3519e-05	 4.4583e-05
 7.0774e+00	 7.1283e+00	-2.9253e-05	 3.3852e-05	 4.4740e-05
 7.0742e+00	 7.1315e+00	-2.9120e-05	 3.4187e-05	 4.4908e-05
 7.0711e+00	 7.1347e+00	-2.8997e-05	 3.4524e-05	 4.5086e-05
 7.1276e+00	 7.1276e+00	-3.0226e-05	 3.1343e-05	 4.3543e-05
 7.1220e+00	 7.1333e+00	-2.9948e-05	 3.1768e-05	 4.3659e-05
 7.1163e+00	 7.1390e+00	-2.9683e-05	 3.2195e-05	 4.3791e-05
 7.1107e+00	 7.1446e+00	-2.9432e-05	 3.2624e-05	 4.3938e-05
 7.1050e+00	 7.1503e+00	-2.9193e-05	 3.3056e-05	 4.4101e-05
 7.0994e+00	 7.1559e+00	-2.8969e-05	 3.3489e-05	 4.4280e-05
 7.0937e+00	 7.1616e+00	-2.8757e-05	 3.3924e-05	 4.4473e-05
 7.0880e+00	 7.1672e+00	-2.8559e-05	 3.4361e-05	 4.4680e-05
 7.0824e+00	 7.1729e+00	-2.8374e-05	 3.4801e-05	 4.4902e-05
 7.0767e+00	 7.1785e+00	-2.8203e-05	 3.5242e-05	 4.5137e-05
 7.0711e+00	 7.1842e+00	-2.8045e-05	 3.5685e-05	 4.5386e-05
 7.1595e+00	 7.1595e+00	-2.9809e-05	 3.1490e-05	 4.3361e-05
 7.1506e+00	 7.1683e+00	-2.9468e-05	 3.2016e-05	 4.3513e-05
 7.1418e+00	 7.1771e+00	-2.9144e-05	 3.2544e-05	 4.3686e-05
 7.1329e+00	 7.1860e+00	-2.8836e-05	 3.3074e-05	 4.3880e-05
 7.1241e+00	 7.1948e+00	-2.8546e-05	 3.3607e-05	 4.4094e-05
 7.1153e+00	 7.2037e+00	-2.8271e-05	 3.4142e-05	 4.4328e-05
 7.1064e+00	 7.2125e+00	-2.8014e-05	 3.4680e-05	 4.4581e-05
 7.0976e+00	 7.2213e+00	-2.7773e-05	 3.5220e-05	 4.4853e-05
 7.0887e+00	 7.2302e+00	-2.7549e-05	 3.5763e-05	 4.5143e-05
 7.0799e+00	 7.2390e+00	-2.7341e-05	 3.6307e-05	 4.5451e-05
 7.0711e+00	 7.2478e+00	-2.7150e-05	 3.6855e-05	 4.5776e-05
 7.1983e+00	 7.1983e+00	-2.9424e-05	 3.1670e-05	 4.3229e-05
 7.1856e+00	 7.2111e+00	-2.9023e-05	 3.2294e-05	 4.3419e-05
 7.1729e+00	 7.2238e+00	-2.8642e-05	 3.2921e-05	 4.3636e-05
 7.1602e+00	 7.2365e+00	-2.8281e-05	 3.3550e-05	 4.3880e-05
 7.1474e+00	 7.2493e+00	-2.7940e-05	 3.4182e-05	 4.4148e-05
 7.1347e+00	 7.2620e+00	-2.7619e-05	 3.4817e-05	 4.4441e-05
 7.1220e+00	 7.2747e+00	-2.7318e-05	 3.5455e-05	 4.4758e-05
 7.1093e+00	 7.2874e+00	-2.7037e-05	 3.6095e-05	 4.5098e-05
 7.0965e+00	 7.3002e+00	-2.6776e-05	 3.6738e-05	 4.5460e-05
 7.0838e+00	 7.3129e+00	-2.6535e-05	 3.7384e-05	 4.5844e-05
 7.0711e+00	 7.3256e+00	-2.6314e-05	 3.8032e-05	 4.6248e-05
 7.2443e+00	 7.2443e+00	-2.9070e-05	 3.1883e-05	 4.3146e-05
 7.2270e+00	 7.2616e+00	-2.8611e-05	 3.2603e-05	 4.3377e-05
 7.2097e+00	 7.2790e+00	-2.8176e-05	 3.3326e-05	 4.3641e-05
 7.1923e+00	 7.2963e+00	-2.7765e-05	 3.4052e-05	 4.3936e-05
 7.1750e+00	 7.3136e+00	-2.7376e-05	 3.4781e-05	 4.4262e-05
 7.1577e+00	 7.3309e+00	-2.7011e-05	 3.5512e-05	 4.4617e-05
 7.1404e+00	 7.3483e+00	-2.6669e-05	 3.6247e-05	 4.5001e-05
 7.1230e+00	 7.3656e+00	-2.6350e-05	 3.6985e-05	 4.5412e-05
 7.1057e+00	 7.3829e+00	-2.6055e-05	 3.7726e-05	 4.5849e-05
 7.0884e+00	 7.4002e+00	-2.5783e-05	 3.8470e-05	 4.6311e-05
 7.0711e+00	 7.4176e+00	-2.5534e-05	 3.9217e-05	 4.6797e-05
 7.2973e+00	 7.2973e+00	-2.8747e-05	 3.2128e-05	 4.3111e-05
 7.2747e+00	 7.3200e+00	-2.8234e-05	 3.2942e-05	 4.3385e-05
 7.2521e+00	 7.3426e+00	-2.7747e-05	 3.3758e-05	 4.3698e-05
 7.2295e+00	 7.3652e+00	-2.7287e-05	 3.4578e-05	 4.4048e-05
 7.2068e+00	 7.3879e+00	-2.6853e-05	 3.5402e-05	 4.4434e-05
 7.1842e+00	 7.4105e+00	-2.6446e-05	 3.6228e-05	 4.4854e-05
 7.1616e+00	 7.4331e+00	-2.6066e-05	 3.7058e-05	 4.5307e-05
 7.1390e+00	 7.4557e+00	-2.5712e-05	 3.7891e-05	 4.5791e-05
 7.1163e+00	 7.4784e+00	-2.5385e-05	 3.8727e-05	 4.6305e-05
 7.0937e+00	 7.5010e+00	-2.5084e-05	 3.9566e-05	 4.6848e-05
 7.0711e+00	 7.5236e+00	-2.4810e-05	 4.0409e-05	 4.7417e-05
 7.3574e+00	 7.3574e+00	-2.8455e-05	 3.2404e-05	 4.3124e-05
 7.3288e+00	 7.3861e+00	-2.7889e-05	 3.3309e-05	 4.3443e-05
 7.3002e+00	 7.4147e+00	-2.7354e-05	 3.4218e-05	 4.3807e-05
 7.2715e+00	 7.4434e+00	-2.6847e-05	 3.5130e-05	 4.4214e-05
 7.2429e+00	 7.4720e+00	-2.6371e-05	 3.6045e-05	 4.4662e-05
 7.2143e+00	 7.5006e+00	-2.5925e-05	 3.6964e-05	 4.5149e-05
 7.1856e+00	 7.5293e+00	-2.5508e-05	 3.7886e-05	 4.5673e-05
 7.1570e+00	 7.5579e+00	-2.5121e-05	 3.8811e-05	 4.6232e-05
 7.1283e+00	 7.5865e+00	-2.4764e-05	 3.9740e-05	 4.6824e-05
 7.0997e+00	 7.6152e+00	-2.4437e-05	 4.0671e-05	 4.7448e-05
 7.0711e+00	 7.6438e+00	-2.4140e-05	 4.1607e-05	 4.8103e-05
 7.4246e+00	 7.4246e+00	-2.8194e-05	 3.2710e-05	 4.3184e-05
 7.3893e+00	 7.4600e+00	-2.7578e-05	 3.3705e-05	 4.3550e-05
 7.3539e+00	 7.4953e+00	-2.6995e-05	 3.4704e-05	 4.3967e-05
 7.3186e+00	 7.5307e+00	-2.6446e-05	 3.5705e-05	 4.4433e-05
 7.2832e+00	 7.5660e+00	-2.5929e-05	 3.6710e-05	 4.4944e-05
 7.2478e+00	 7.6014e+00	-2.5445e-05	 3.7719e-05	 4.5499e-05
 7.2125e+00	 7.6368e+00	-2.4995e-05	 3.8730e-05	 4.6095e-05
 7.1771e+00	 7.6721e+00	-2.4577e-05	 3.9745e-05	 4.6730e-05
 7.1418e+00	 7.7075e+00	-2.4193e-05	 4.0763e-05	 4.7402e-05
 7.1064e+00	 7.7428e+00	-2.3842e-05	 4.1785e-05	 4.8108e-05
 7.0711e+00	 7.7782e+00	-2.3524e-05	 4.2809e-05	 4.8847e-05
 7.4989e+00	 7.4989e+00	-2.7962e-05	 3.3049e-05	 4.3292e-05
 7.4561e+00	 7.5416e+00	-2.7298e-05	 3.4133e-05	 4.3706e-05
 7.4133e+00	 7.5844e+00	-2.6670e-05	 3.5219e-05	 4.4178e-05
 7.3705e+00	 7.6272e+00	-2.6078e-05	 3.6309e-05	 4.4704e-05
 7.3277e+00	 7.6700e+00	-2.5522e-05	 3.7403e-05	 4.5281e-05
 7.2850e+00	 7.7128e+00	-2.5003e-05	 3.8499e-05	 4.5906e-05
 7.2422e+00	 7.7555e+00	-2.4520e-05	 3.9599e-05	 4.6576e-05
 7.1994e+00	 7.7983e+00	-2.4072e-05	 4.0703e-05	 4.7288e-05
 7.1566e+00	 7.8411e+00	-2.3662e-05	 4.1809e-05	 4.8040e-05
 7.1138e+00	 7.8839e+00	-2.3287e-05	 4.2919e-05	 4.8830e-05
 7.0711e+00	 7.9267e+00	-2.2949e-05	 4.4032e-05	 4.9653e-05
 7.5802e+00	 7.5802e+00	-2.7757e-05	 3.3423e-05	 4.3446e-05
 7.5293e+00	 7.6311e+00	-2.7046e-05	 3.4594e-05	 4.3912e-05
 7.4784e+00	 7.6820e+00	-2.6374e-05	 3.5768e-05	 4.4441e-05
 7.4274e+00	 7.7329e+00	-2.5741e-05	 3.6946e-05	 4.5029e-05
 7.3765e+00	 7.7838e+00	-2.5147e-05	 3.8127e-05	 4.5674e-05
 7.3256e+00	 7.8347e+00	-2.4592e-05	 3.9312e-05	 4.6371e-05
 7.2747e+00	 7.8857e+00	-2.4076e-05	 4.0501e-05	 4.7116e-05
 7.2238e+00	 7.9366e+00	-2.3599e-05	 4.1693e-05	 4.7908e-05
 7.1729e+00	 7.9875e+00	-2.3161e-05	 4.2888e-05	 4.8742e-05
 7.1220e+00	 8.0384e+00	-2.2762e-05	 4.4087e-05	 4.9616e-05
 7.0711e+00	 8.0893e+00	-2.2402e-05	 4.5289e-05	 5.0527e-05
 7.6686e+00	 7.6686e+00	-2.7578e-05	 3.3831e-05	 4.3647e-05
 7.6088e+00	 7.7283e+00	-2.6822e-05	 3.5088e-05	 4.4166e-05
 7.5491e+00	 7.7881e+00	-2.6107e-05	 3.6350e-05	 4.4753e-05
 7.4893e+00	 7.8478e+00	-2.5434e-05	 3.7615e-05	 4.5407e-05
