x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 3.083469452118078e+01
 9.974284469059532e-01	 7.166933307989243e-02	 3.008039593307181e+01
 9.894434504816298e-01	 1.449194890387739e-01	 2.900674084847781e+01
 9.756838834611086e-01	 2.191824800515997e-01	 2.748602538329067e+01
 9.558632461068471e-01	 2.938119377281626e-01	 2.535663110835183e+01
 9.297883010623589e-01	 3.680947095758919e-01	 2.242825852254285e+01
 8.973756499953162e-01	 4.412674277632060e-01	 1.885682318961704e+01
 8.586647592086445e-01	 5.125376389107853e-01	 1.515316841763756e+01
 8.138260360508662e-01	 5.811085811189265e-01	 1.167789966983951e+01
 7.631628410841520e-01	 6.462062193992625e-01	 8.803947400675028e+00
 7.071067811868699e-01	 7.071067811868699e-01	 6.744235297253998e+00
 1.062499999991450e+00	 0.000000000000000e+00	 2.733959791122846e+01
 1.059767724829280e+00	 7.614866639371579e-02	 2.682504520710151e+01
 1.051283666129144e+00	 1.539769570976441e-01	 2.595699757232889e+01
 1.036664126170904e+00	 2.328813850475538e-01	 2.471091453043177e+01
 1.015604698983310e+00	 3.121751838286934e-01	 2.298554961573917e+01
 9.879000698749633e-01	 3.911006289175163e-01	 2.060532537789908e+01
 9.534616281176274e-01	 4.688466419927447e-01	 1.772616037422262e+01
 9.123313066580088e-01	 5.445712413386022e-01	 1.465549454276242e+01
 8.646901633037583e-01	 6.174278674363841e-01	 1.174846650891908e+01
 8.108605186520278e-01	 6.865941081106673e-01	 9.365570977147893e+00
 7.513009550109346e-01	 7.513009550109346e-01	 7.637271147647810e+00
 1.124999999985600e+00	 0.000000000000000e+00	 2.407301282427413e+01
 1.122107002755244e+00	 8.062799970815197e-02	 2.375758251546042e+01
 1.113123881779120e+00	 1.630344251575163e-01	 2.310189976792388e+01
 1.097644368882893e+00	 2.465802900446999e-01	 2.219237156959840e+01
 1.075346151861628e+00	 3.305384299304368e-01	 2.097408368616574e+01
 1.046011838689047e+00	 4.141065482602412e-01	 1.927975480068334e+01
 1.009547606241033e+00	 4.964258562231809e-01	 1.710159599474586e+01
 9.659978541081075e-01	 5.766048437670697e-01	 1.463072000626654e+01
 9.155542905570850e-01	 6.537471537542512e-01	 1.222487224424468e+01
 8.585581962201339e-01	 7.269819968222992e-01	 1.027789037189133e+01
 7.954951288351546e-01	 7.954951288351546e-01	 8.737044202069635e+00
 1.187499999982150e+00	 0.000000000000000e+00	 2.144271295555279e+01
 1.184446280683552e+00	 8.510733302313281e-02	 2.127320631393093e+01
 1.174964097431282e+00	 1.720918932182795e-01	 2.072983273142250e+01
 1.158624611596830e+00	 2.602791950429054e-01	 1.999309619602732e+01
 1.135087604741596e+00	 3.489016760332582e-01	 1.916346704724858e+01
 1.104123607504447e+00	 4.371124676039442e-01	 1.815806120461313e+01
 1.065633584365411e+00	 5.240050704544148e-01	 1.669738499115995e+01
 1.019664401558859e+00	 6.086384461961150e-01	 1.482026759416717e+01
 9.664184178107981e-01	 6.900664400724821e-01	 1.288152568145906e+01
 9.062558737884437e-01	 7.673698855341323e-01	 1.130506818869467e+01
 8.396893026595115e-01	 8.396893026595114e-01	 9.760649434804844e+00
 1.249999999980800e+00	 0.000000000000000e+00	 1.949303062155025e+01
 1.246785558613912e+00	 8.958666633859030e-02	 1.944946106484050e+01
 1.236804313085360e+00	 1.811493612798219e-01	 1.901209535702331e+01
 1.219604854312473e+00	 2.739781000420379e-01	 1.841550079680082e+01
 1.194829057623008e+00	 3.672649221370227e-01	 1.783640048938043e+01
 1.162235376320997e+00	 4.601183869485032e-01	 1.718271025945170e+01
 1.121719562490641e+00	 5.515842846863469e-01	 1.625533103460443e+01
 1.073330949010183e+00	 6.406720486256667e-01	 1.499123595262237e+01
 1.017282545064849e+00	 7.263857263910318e-01	 1.351056130517878e+01
 9.539535513569332e-01	 8.077577742461420e-01	 1.212009052971168e+01
 8.838834764839885e-01	 8.838834764839886e-01	 1.056614273349271e+01
 1.312499999981250e+00	 0.000000000000000e+00	 1.808249941209765e+01
 1.309124836546029e+00	 9.406599965445629e-02	 1.813366878485739e+01
 1.298644528741079e+00	 1.902068293420325e-01	 1.778669611035157e+01
 1.280585097029578e+00	 2.876770050419652e-01	 1.730463415628934e+01
 1.254570510505657e+00	 3.856281682415954e-01	 1.692095889974210e+01
 1.220347145138533e+00	 4.831243062937955e-01	 1.649978970069806e+01
 1.177805540616601e+00	 5.791634989188773e-01	 1.585991737559735e+01
 1.126997496461995e+00	 6.727056510556521e-01	 1.497371514585241e+01
 1.068146672319191e+00	 7.627050127098547e-01	 1.393280020795353e+01
 1.001651228925576e+00	 8.481456629583028e-01	 1.263217269411962e+01
 9.280776503085684e-01	 9.280776503085684e-01	 1.110186425819233e+01
 1.374999999983200e+00	 0.000000000000000e+00	 1.706827122297747e+01
 1.371464114479612e+00	 9.854533297066267e-02	 1.718439922366764e+01
 1.360484744398165e+00	 1.992642974047998e-01	 1.691517234146016e+01
 1.341565339747901e+00	 3.013759100425546e-01	 1.652184962709456e+01
 1.314311963389337e+00	 4.039914143468419e-01	 1.626069437275920e+01
 1.278458913956892e+00	 5.061302256396994e-01	 1.598139820592151e+01
 1.233891518743168e+00	 6.067427131519062e-01	 1.554495126435258e+01
 1.180664043914217e+00	 7.047392534859986e-01	 1.488320864613272e+01
 1.119010799573773e+00	 7.990242990289047e-01	 1.402360298703466e+01
 1.049348906494346e+00	 8.885335516705897e-01	 1.284524461121282e+01
 9.722718241332340e-01	 9.722718241332340e-01	 1.138900952478707e+01
 1.437499999986350e+00	 0.000000000000000e+00	 1.630641998020519e+01
 1.433803392414367e+00	 1.030246662871415e-01	 1.647034211577371e+01
 1.422324960056345e+00	 2.083217654680125e-01	 1.628062318226840e+01
 1.402545582467200e+00	 3.150748150436739e-01	 1.596044323890029e+01
 1.374053416273843e+00	 4.223546604526272e-01	 1.575430599875302e+01
 1.336570682775907e+00	 5.291361449860923e-01	 1.554414266627688e+01
 1.289977496870222e+00	 6.343219273853342e-01	 1.524660350900849e+01
 1.234330591366764e+00	 7.367728559166346e-01	 1.476010552527370e+01
 1.169874926828549e+00	 8.353435853481372e-01	 1.394102560844253e+01
 1.097046584063218e+00	 9.289214403829771e-01	 1.282306442833186e+01
 1.016465997957968e+00	 1.016465997957968e+00	 1.150315243070528e+01
 1.499999999990400e+00	 0.000000000000000e+00	 1.564926375023495e+01
 1.496142670350002e+00	 1.075039996038245e-01	 1.586511954713775e+01
 1.484165175715346e+00	 2.173792335315593e-01	 1.578616044955833e+01
 1.463525825187228e+00	 3.287737200451903e-01	 1.554434074033730e+01
 1.433794869158967e+00	 4.407179065588168e-01	 1.534364223983732e+01
 1.394682451595417e+00	 5.521420643328522e-01	 1.514213284860169e+01
 1.346063474997641e+00	 6.619011416190613e-01	 1.493222245806744e+01
 1.287997138819557e+00	 7.688064583474871e-01	 1.458209919497273e+01
 1.220739054083469e+00	 8.716628716675054e-01	 1.379105448247901e+01
 1.144744261632166e+00	 9.693093290954403e-01	 1.269084916960887e+01
 1.060660171782754e+00	 1.060660171782754e+00	 1.155502495382155e+01
 1.562499999995050e+00	 0.000000000000000e+00	 1.495604715543734e+01
 1.558481948286222e+00	 1.119833329206437e-01	 1.517990643171172e+01
